,Empty_droplet_sum,Cell_sum,Soup_probability,Selected
PBX2,2316.0,1151.0,0.6680126910873955,False
FECH,1199.0,548.0,0.6863194046937607,False
PLCB4,1.0,0.0,1.0,False
KCNK9,1.0,0.0,1.0,False
NF1,5090.0,3311.0,0.6058802523509106,True
LINC00847,76.0,48.0,0.6129032258064516,True
LOXHD1,1.0,0.0,1.0,False
LINC01134,29.0,17.0,0.6304347826086957,True
AC009087.1,3.0,0.0,1.0,False
AC104653.2,1.0,0.0,1.0,False
C21orf91-OT1,11.0,4.0,0.7333333333333333,False
WDR3,1032.0,573.0,0.6429906542056075,False
AL162431.2,55.0,42.0,0.5670103092783505,True
GSR,2122.0,1024.0,0.6745073108709473,False
COX20,7607.0,3901.0,0.6610184219673271,False
AC007389.3,1.0,0.0,1.0,False
GAPDH,184165.0,103345.0,0.6405516329866787,False
C1orf53,834.0,427.0,0.6613798572561459,False
AL157392.2,7.0,3.0,0.7,False
MAGEB17,1.0,0.0,1.0,False
ZNF350-AS1,126.0,110.0,0.5338983050847458,True
U52111.1,9.0,7.0,0.5625,True
PDZD9,2.0,0.0,1.0,False
MANEA-DT,34.0,27.0,0.5573770491803278,True
FAM96A,3064.0,1975.0,0.6080571541972614,True
ANKK1,48.0,19.0,0.7164179104477612,False
AC135048.3,12.0,6.0,0.6666666666666666,False
NEURL1B,28.0,13.0,0.6829268292682927,False
MFAP2,23653.0,12819.0,0.6485248958104848,False
OSTM1,2921.0,1603.0,0.6456675508399646,False
VAX1,1.0,0.0,1.0,False
BCS1L,1019.0,595.0,0.6313506815365552,True
SAP130,1100.0,574.0,0.6571087216248507,False
AL132780.2,25.0,15.0,0.625,True
RBKS,185.0,102.0,0.6445993031358885,False
ALG13,1790.0,1061.0,0.6278498772360576,True
ZNF407,605.0,377.0,0.6160896130346232,True
TERF2,1873.0,976.0,0.6574236574236574,False
AC138781.1,5.0,3.0,0.625,True
ACBD3,16238.0,8039.0,0.668863533385509,False
AC004803.1,34.0,22.0,0.6071428571428571,True
OR1N2,2.0,0.0,1.0,False
ZNF93,338.0,221.0,0.6046511627906976,True
AC007378.1,9.0,7.0,0.5625,True
HIST1H2BD,2297.0,1326.0,0.6340049682583494,False
STYX,2256.0,1044.0,0.6836363636363636,False
TMEM242,1884.0,1226.0,0.6057877813504823,True
HRH4,10.0,0.0,1.0,False
MYCBPAP,25.0,14.0,0.6410256410256411,False
OSR2,3021.0,1098.0,0.7334304442825929,False
PLA2G2F,30.0,7.0,0.8108108108108109,False
JUP,19721.0,9967.0,0.6642751279978443,False
SPIN4-AS1,1.0,0.0,1.0,False
SPATA31D1,1.0,0.0,1.0,False
PPP1R1A,1.0,0.0,1.0,False
AC008105.3,72.0,49.0,0.5950413223140496,True
RTKN,30.0,14.0,0.6818181818181818,False
GGCX,6921.0,4046.0,0.6310750433117535,True
AC087752.4,13.0,10.0,0.5652173913043478,True
PMPCB,2758.0,1507.0,0.6466588511137163,False
TMEM150B,11.0,0.0,1.0,False
TTC39A,238.0,134.0,0.6397849462365591,False
PTRH1,1332.0,670.0,0.6653346653346653,False
C2-AS1,4.0,3.0,0.5714285714285714,True
