,Empty_droplet_sum,Cell_sum,Soup_probability,Selected
FNIP2,641.0,1216.0,0.3451803984921917,True
C4orf45,2.0,0.0,1.0,False
RAPGEF2,1110.0,1616.0,0.4071900220102714,True
FSTL5,15.0,12.0,0.5555555555555556,False
AC023136.1,2.0,0.0,1.0,False
NAF1,178.0,283.0,0.386117136659436,True
NPY1R,1.0,0.0,1.0,False
TKTL2,1.0,0.0,1.0,False
TMA16,2388.0,3019.0,0.4416497133345663,False
MARCH1,54.0,111.0,0.3272727272727272,True
AC093788.1,11.0,22.0,0.3333333333333333,True
SMIM31,2.0,0.0,1.0,False
APELA,14.0,21.0,0.4,True
TRIM61,1.0,0.0,1.0,False
FAM218A,9.0,20.0,0.3103448275862069,True
TRIM60,97.0,200.0,0.3265993265993266,True
TRIM75P,2.0,6.0,0.25,True
TMEM192,420.0,819.0,0.3389830508474576,True
KLHL2,454.0,494.0,0.4789029535864978,False
GK3P,0.0,5.0,0.0,True
MSMO1,5176.0,9001.0,0.365098398814982,True
CPE,31.0,15.0,0.6739130434782609,False
TLL1,88.0,110.0,0.4444444444444444,False
SPOCK3,4.0,10.0,0.2857142857142857,True
DDX60,1454.0,1872.0,0.4371617558628983,False
DDX60L,2201.0,3477.0,0.3876364917224374,True
PALLD,3003.0,4189.0,0.4175472747497219,False
CBR4,427.0,588.0,0.4206896551724138,False
SH3RF1,1444.0,1637.0,0.4686790003245699,False
AC096741.1,2.0,11.0,0.1538461538461538,True
NEK1,315.0,411.0,0.4338842975206611,False
CLCN3,1335.0,1521.0,0.4674369747899159,False
HPF1,1137.0,1259.0,0.4745409015025041,False
LINC02275,5.0,4.0,0.5555555555555556,False
MFAP3L,103.0,53.0,0.6602564102564102,False
AADAT,221.0,208.0,0.5151515151515151,False
LINC01612,71.0,103.0,0.4080459770114942,True
LINC02512,1.0,19.0,0.05,True
LINC02504,3.0,5.0,0.375,True
GALNTL6,3.0,4.0,0.4285714285714285,False
AC105285.1,9.0,20.0,0.3103448275862069,True
GALNT7,1935.0,3839.0,0.3351229650155871,True
AC097534.1,6.0,12.0,0.3333333333333333,True
HMGB2,1550.0,2080.0,0.4269972451790633,False
AC097534.2,51.0,135.0,0.2741935483870967,True
SAP30,181.0,400.0,0.3115318416523235,True
SCRG1,11.0,20.0,0.3548387096774194,True
HAND2-AS1,15.0,7.0,0.6818181818181818,False
AC106895.1,1.0,0.0,1.0,False
LINC02269,1.0,0.0,1.0,False
AC106895.2,1.0,0.0,1.0,False
LINC02268,1.0,0.0,1.0,False
FBXO8,814.0,922.0,0.4688940092165898,False
CEP44,451.0,640.0,0.4133822181484876,True
HPGD,53875.0,37820.0,0.5875456677027101,False
AC096751.2,25.0,49.0,0.3378378378378378,True
GLRA3,8.0,13.0,0.3809523809523809,True
ADAM29,3.0,0.0,1.0,False
AC095050.1,1.0,3.0,0.25,True
GPM6A,8.0,0.0,1.0,False
WDR17,5.0,9.0,0.3571428571428571,True
SPCS3,11119.0,11298.0,0.4960074943123522,False
AC093801.1,2.0,3.0,0.4,True
VEGFC,2.0,0.0,1.0,False
AC097518.1,2.0,0.0,1.0,False
NEIL3,11.0,25.0,0.3055555555555556,True
AGA,1280.0,1694.0,0.4303967720242098,False
AC078881.1,803.0,1156.0,0.409903011740684,True
LINC01098,5.0,3.0,0.625,False
LINC01099,2.0,7.0,0.2222222222222222,True
AC098864.1,98.0,195.0,0.3344709897610921,True
TENM3,3162.0,6951.0,0.3126668644319193,True
AC079226.2,3.0,5.0,0.375,True
AC079766.1,1.0,0.0,1.0,False
DCTD,692.0,828.0,0.4552631578947368,False
AC019193.2,1.0,0.0,1.0,False
WWC2-AS2,18.0,32.0,0.36,True
WWC2,823.0,1636.0,0.3346888979259861,True
WWC2-AS1,2.0,4.0,0.3333333333333333,True
CLDN22,4.0,4.0,0.5,False
CDKN2AIP,1337.0,1333.0,0.5007490636704119,False
AC107214.1,10.0,14.0,0.4166666666666667,True
ING2,2883.0,4296.0,0.401587964897618,True
AC107214.2,23.0,14.0,0.6216216216216216,False
RWDD4,1089.0,1425.0,0.4331742243436754,False
TRAPPC11,533.0,569.0,0.4836660617059891,False
STOX2,40.0,52.0,0.4347826086956521,False
ENPP6,1.0,0.0,1.0,False
LINC02363,4.0,6.0,0.4,True
IRF2,713.0,957.0,0.4269461077844311,False
LINC02427,1.0,0.0,1.0,False
LINC02365,6.0,5.0,0.5454545454545454,False
CASP3,1407.0,1435.0,0.4950738916256157,False
PRIMPOL,165.0,233.0,0.414572864321608,True
CENPU,138.0,210.0,0.396551724137931,True
ACSL1,403.0,402.0,0.5006211180124224,False
AC084871.2,0.0,4.0,0.0,True
MIR3945HG,51.0,113.0,0.3109756097560975,True
LINC01093,1.0,0.0,1.0,False
SLC25A4,2312.0,3002.0,0.4350771546857357,False
CFAP97,2538.0,3022.0,0.4564748201438849,False
SNX25,251.0,403.0,0.3837920489296636,True
LRP2BP,32.0,108.0,0.2285714285714285,True
AC112722.1,0.0,4.0,0.0,True
ANKRD37,1708.0,1905.0,0.4727373373927484,False
UFSP2,717.0,781.0,0.4786381842456609,False
C4orf47,6.0,27.0,0.1818181818181818,True
CCDC110,1.0,5.0,0.1666666666666666,True
AC106897.1,19.0,26.0,0.4222222222222222,False
PDLIM3,74.0,82.0,0.4743589743589743,False
SORBS2,152.0,403.0,0.2738738738738738,True
AC093797.1,3.0,25.0,0.1071428571428571,True
AC108472.1,1.0,0.0,1.0,False
TLR3,247.0,567.0,0.3034398034398034,True
FAM149A,40.0,47.0,0.4597701149425287,False
CYP4V2,127.0,125.0,0.503968253968254,False
KLKB1,1.0,3.0,0.25,True
F11,1.0,0.0,1.0,False
F11-AS1,2.0,0.0,1.0,False
FAT1,171.0,526.0,0.2453371592539454,True
AC097652.1,1.0,0.0,1.0,False
LINC02492,1.0,0.0,1.0,False
ZFP42,439.0,388.0,0.5308343409915357,False
TRIML2,313.0,880.0,0.2623637887678122,True
TRIML1,4.0,18.0,0.1818181818181818,True
AC138781.1,2.0,3.0,0.4,True
LINC02434,67.0,147.0,0.3130841121495327,True
AC093909.4,1.0,0.0,1.0,False
FRG1-DT,1.0,0.0,1.0,False
FRG1,2680.0,2589.0,0.5086354146896944,False
FRG2,1.0,0.0,1.0,False
DUX4,1.0,0.0,1.0,False
PLEKHG4B,156.0,327.0,0.3229813664596273,True
CCDC127,453.0,1036.0,0.3042310275352585,True
SDHA,1286.0,1632.0,0.4407128169979438,False
AC021087.1,1.0,0.0,1.0,False
PDCD6,5631.0,8494.0,0.3986548672566372,True
AHRR,19.0,30.0,0.3877551020408163,True
EXOC3-AS1,86.0,116.0,0.4257425742574257,False
EXOC3,1112.0,1133.0,0.4953229398663697,False
SLC9A3,134.0,138.0,0.4926470588235294,False
CEP72,82.0,135.0,0.3778801843317972,True
TPPP,19.0,20.0,0.4871794871794871,False
AC026740.1,16.0,31.0,0.3404255319148936,True
ZDHHC11B,1.0,0.0,1.0,False
ZDHHC11,8.0,13.0,0.3809523809523809,True
BRD9,2265.0,3494.0,0.3932974474735197,True
TRIP13,137.0,148.0,0.4807017543859649,False
SLC12A7,1.0,3.0,0.25,True
SLC6A19,9.0,13.0,0.4090909090909091,True
CLPTM1L,3068.0,3201.0,0.4893922475673951,False
LINC01511,1.0,0.0,1.0,False
SLC6A3,2.0,9.0,0.1818181818181818,True
LPCAT1,3168.0,6033.0,0.3443104010433648,True
AC091849.2,5.0,12.0,0.2941176470588235,True
AC026412.3,1.0,6.0,0.1428571428571428,True
MRPL36,1195.0,1555.0,0.4345454545454545,False
NDUFS6,4946.0,5020.0,0.4962873770820791,False
IRX4,27.0,49.0,0.3552631578947368,True
AC025183.1,4.0,0.0,1.0,False
AC091891.2,2.0,6.0,0.25,True
IRX2,1267.0,3591.0,0.260806916426513,True
C5orf38,1063.0,2772.0,0.2771838331160365,True
ICE1,1026.0,1992.0,0.3399602385685885,True
LINC02145,1.0,0.0,1.0,False
MED10,1668.0,2383.0,0.4117501851394717,True
LINC01018,2.0,0.0,1.0,False
NSUN2,617.0,630.0,0.4947874899759422,False
SRD5A1,102.0,180.0,0.3617021276595745,True
LINC02102,1.0,0.0,1.0,False
TENT4A,377.0,468.0,0.4461538461538462,False
AC122710.1,10.0,8.0,0.5555555555555556,False
LINC02196,1.0,0.0,1.0,False
LINC02142,1.0,0.0,1.0,False
ADCY2,7.0,20.0,0.2592592592592592,True
C5orf49,7.0,9.0,0.4375,False
MTRR,337.0,447.0,0.4298469387755102,False
FASTKD3,109.0,126.0,0.4638297872340425,False
AC091932.1,2.0,0.0,1.0,False
SEMA5A,11.0,11.0,0.5,False
SNHG18,0.0,17.0,0.0,True
AC034229.1,2.0,0.0,1.0,False
AC034229.2,1.0,0.0,1.0,False
FAM173B,70.0,136.0,0.3398058252427184,True
AC012640.1,32.0,12.0,0.7272727272727273,False
CCT5,3628.0,3813.0,0.4875688751511893,False
AC012640.4,12.0,7.0,0.631578947368421,False
AC012640.3,1.0,0.0,1.0,False
CMBL,266.0,500.0,0.3472584856396867,True
AC012640.2,30.0,56.0,0.3488372093023256,True
MARCH6,979.0,2135.0,0.3143866409762363,True
ROPN1L,0.0,3.0,0.0,True
LINC01513,2.0,4.0,0.3333333333333333,True
LINC02212,1.0,0.0,1.0,False
ANKRD33B,108.0,175.0,0.381625441696113,True
DAP,5910.0,4948.0,0.5442991342788728,False
AC012629.2,30.0,21.0,0.5882352941176471,False
CTNND2,5.0,0.0,1.0,False
AC106771.1,29.0,57.0,0.3372093023255814,True
LINC01194,116.0,272.0,0.2989690721649484,True
DNAH5,12.0,8.0,0.6,False
TRIO,2663.0,4662.0,0.3635494880546075,True
OTULINL,82.0,177.0,0.3166023166023166,True
AC010491.1,1.0,12.0,0.0769230769230769,True
OTULIN,960.0,1424.0,0.4026845637583892,True
ANKH,105.0,195.0,0.35,True
AC016650.1,1.0,0.0,1.0,False
ZNF622,1760.0,1852.0,0.4872646733111849,False
RETREG1,100.0,130.0,0.4347826086956521,False
MYO10,1877.0,2295.0,0.4499041227229147,False
BASP1,24684.0,39025.0,0.3874491830039712,True
BASP1-AS1,3.0,7.0,0.3,True
AC026785.2,38.0,49.0,0.4367816091954023,False
AC026785.3,7.0,9.0,0.4375,False
LINC02217,1.0,0.0,1.0,False
LINC02223,1.0,0.0,1.0,False
LINC02100,1.0,13.0,0.0714285714285714,True
AC106744.1,2.0,3.0,0.4,True
AC106744.2,11.0,49.0,0.1833333333333333,True
CDH18,8.0,6.0,0.5714285714285714,False
LINC02241,27.0,25.0,0.5192307692307693,False
AC093274.1,6.0,7.0,0.4615384615384615,False
