,gene,cluster,geneFrequency,geneFrequencyOutsideCluster,geneFrequencySecondBest,geneFrequencyGlobal,secondBestClusterName,tfidf,idf,qval
14,AXIN1,EVT_1,0.620833333333333,0.118197808145041,0.701019252548131,0.127803583278036,EVT_2,1.27721601745878,2.05726069926247,5.0084138437832e-214
15,C12orf75,EVT_1,0.683333333333333,0.146881342172913,0.619479048697622,0.157133377571334,EVT_2,1.26461786867137,1.85066029561664,1.03590933578445e-222
16,DIO2-AS1,EVT_1,0.479166666666667,0.06350967392775,0.492638731596829,0.0714532183145322,EVT_2,1.2643829927665,2.63871233273008,4.02505646119542e-198
17,AC015878.1,EVT_1,0.390277777777778,0.0330672439453389,0.507042253521127,0.0398938287989383,eEVT,1.25729298761309,3.22153363374172,2.70622119298199e-201
18,FOSL2,EVT_1,0.711111111111111,0.160248951427412,0.714609286523216,0.170776376907764,EVT_2,1.25681800227252,1.76740031569572,2.41887255334286e-227
19,AC016205.1,EVT_1,0.870833333333333,0.224516303612502,0.938,0.236867949568679,VCT_p,1.25421985749973,1.44025246794227,4.00194669883211e-288
20,DIO2,EVT_1,0.820833333333333,0.209173318901367,0.841449603624009,0.220862641008626,EVT_2,1.23963424168779,1.51021430459427,9.84647007129811e-260
21,CENPE,EVT_1,0.495833333333333,0.0742254092815587,0.482,0.0822826808228268,VCT_p,1.23839067220647,2.49759463302146,1.58071740197085e-190
22,AC245041.2,EVT_1,0.505555555555556,0.0782302800703558,0.59682899207248,0.0863968148639681,EVT_2,1.23800670369741,2.44880446885203,1.06698933507726e-190
23,FAM110B,EVT_1,0.543055555555556,0.0940062237856853,0.816901408450704,0.102587923025879,eEVT,1.23655654087085,2.27703506247317,1.99226388404683e-192
24,SDK2,EVT_1,0.797222222222222,0.201163577323772,0.761041902604756,0.212554744525547,EVT_2,1.23454301838166,1.54855570249964,1.19303021700012e-248
25,AC091057.6,EVT_1,0.544444444444444,0.0957651197402246,0.668,0.104339747843397,VCT_p,1.23050046672854,2.26010289807284,8.97964369317158e-191
26,PPFIBP2,EVT_1,0.608333333333333,0.123176836693276,0.788732394366197,0.132448573324486,eEVT,1.22978284113906,2.02156083474913,5.58196297323763e-198
27,TUBB6,EVT_1,0.669444444444444,0.151860370721147,0.788732394366197,0.161751824817518,eEVT,1.21952163169922,1.82169206394904,3.31308314928288e-206
28,STK33,EVT_1,0.381944444444444,0.0345826004600189,0.271800679501699,0.0412209688122097,EVT_2,1.21794757652105,3.18880820034601,7.56295368568386e-190
29,LDLRAD3,EVT_1,0.623611111111111,0.137166824516304,0.412231030577576,0.146463171864632,EVT_2,1.19794526340853,1.92098126871746,4.1597569941404e-191
30,ASAP3,EVT_1,0.783333333333333,0.206034366120958,0.971830985915493,0.21706702057067,eEVT,1.19658014601325,1.52754912257011,4.54055938040569e-232
31,TNNI2,EVT_1,0.429166666666667,0.0549316736571506,0.289113924050633,0.0620836098208361,iEVT,1.1927714394241,2.77927325691052,1.39772367762065e-177
32,SLC4A8,EVT_1,0.4625,0.0684887024759843,0.394110985277463,0.0760185799601858,EVT_2,1.19175959162905,2.57677749541416,3.13224949220535e-176
33,HEG1,EVT_1,0.755555555555556,0.197699905290218,0.875424688561721,0.20836098208361,EVT_2,1.18507620516489,1.56848321271824,3.40469154404565e-219
34,PTK2B,EVT_1,0.633333333333333,0.146042484102287,0.915492957746479,0.15535500995355,eEVT,1.17929351632887,1.86204239420348,2.01413490999326e-187
35,LHFPL6,EVT_1,0.794444444444444,0.216750101474767,0.943661971830986,0.227790311877903,eEVT,1.17524530769934,1.47932975794323,7.78643039801441e-230
36,ANKRD50,EVT_1,0.547222222222222,0.109105669056961,0.704225352112676,0.117478433974784,eEVT,1.17187666407803,2.1415005028837,8.46213296904151e-174
37,PLS3,EVT_1,0.452777777777778,0.0679475037207414,0.676056338028169,0.0753019243530192,eEVT,1.17099634154387,2.58624958868584,3.89428736139111e-170
38,SH3PXD2B,EVT_1,0.801388888888889,0.227411716953051,0.957746478873239,0.238380889183809,eEVT,1.14909991551153,1.43388550982375,1.00526825648379e-224
39,CEP128,EVT_1,0.726388888888889,0.19583276958463,0.7255,0.205972130059721,VCT_p,1.14770491193891,1.58001441031743,2.04345982487657e-199
40,LINC01572,EVT_1,0.691666666666667,0.182654579894466,0.7295,0.192382216323822,VCT_p,1.14005422990888,1.64827117577188,3.01124770079325e-188
41,PLCD4,EVT_1,0.326388888888889,0.0249763225544581,0.563380281690141,0.0307365627073656,eEVT,1.13658479980557,3.48230236536176,1.82625139149872e-173
42,POLQ,EVT_1,0.476388888888889,0.0850223244486538,0.7785,0.0925016589250166,VCT_p,1.13405742250406,2.38052870030007,3.96904466418186e-159
43,SPATA22,EVT_1,0.513888888888889,0.102557164118523,0.591549295774648,0.11041804910418,eEVT,1.13234474720635,2.20348167023939,6.43725098497253e-160
44,JAK1,EVT_1,0.706944444444444,0.192937356244081,0.927519818799547,0.202760451227604,EVT_2,1.12809248657812,1.59573003995334,1.37814588557912e-188
45,AP001347.1,EVT_1,0.468055555555556,0.0825869300500609,0.445,0.0899535500995355,VCT_p,1.12729395011963,2.40846185188764,4.4790993793675e-157
46,PLPP7,EVT_1,0.433333333333333,0.0674333649032607,0.618227848101266,0.0744260119442601,iEVT,1.12577823598076,2.59794977534022,3.52393788620422e-157
47,PCED1B,EVT_1,0.805555555555556,0.237207414422947,0.802816901408451,0.24806901128069,eEVT,1.12298335296654,1.39404830023432,1.23414916532693e-218
48,MELK,EVT_1,0.598611111111111,0.149668515762414,0.715,0.158248175182482,VCT_p,1.10359390684671,1.84359074925668,4.2950995521098e-160
49,APBB1IP,EVT_1,0.454166666666667,0.0817480719794344,0.458663646659117,0.088865295288653,EVT_2,1.09937108964792,2.42063359188533,5.80336457855039e-149
50,ST8SIA1,EVT_1,0.513888888888889,0.110242186442971,0.577464788732394,0.117956204379562,eEVT,1.09840762904447,2.13744187273518,3.54831606897284e-150
51,CCNE1,EVT_1,0.745833333333333,0.221160871329996,0.827586206896552,0.231187790311878,GC,1.09229152792924,1.46452495364815,4.08723025370156e-189
52,DIAPH3,EVT_1,0.841666666666667,0.264023812745231,0.942,0.27506303915063,VCT_p,1.08638543671132,1.29075497431048,6.15425470093488e-223
53,PXN,EVT_1,0.790277777777778,0.243647679610337,0.873159682899207,0.254094226940942,EVT_2,1.08272015522779,1.37005010854834,5.39698386342323e-201
54,TPX2,EVT_1,0.386111111111111,0.0553105127858206,0.457,0.0616323822163238,VCT_p,1.07592481308868,2.78656786123686,1.9727125677759e-145
55,SH3BP4,EVT_1,0.626388888888889,0.174888377756731,0.614949037372593,0.183516921035169,EVT_2,1.06201004133183,1.69544840301313,1.03186065619328e-152
56,PCSK6,EVT_1,0.706944444444444,0.213719388445407,0.92638731596829,0.223145321831453,EVT_2,1.06036863145963,1.4999320523594,3.43437870158601e-169
57,DENND2A,EVT_1,0.601388888888889,0.16414558246516,0.748860759493671,0.172501658925017,iEVT,1.05684981706243,1.75734842560035,2.28947923784923e-147
58,CENPK,EVT_1,0.483333333333333,0.106453795156271,0.714,0.113656270736563,VCT_p,1.05104533460012,2.17457655434507,1.90149241327576e-135
59,PALM2,EVT_1,0.494444444444444,0.113218779596807,0.661381653454134,0.120504313205043,EVT_2,1.04627892327154,2.1160697324593,1.70870290139162e-134
60,LINC01804,EVT_1,0.447222222222222,0.0905154918143688,0.377952755905512,0.0973324485733245,VCT_CCC,1.04185911034212,2.32962285542337,1.71436867600875e-132
61,POLE,EVT_1,0.480555555555556,0.107752672168854,0.5405,0.114877239548772,VCT_p,1.03986993920425,2.16389120296838,3.02560634743497e-132
62,WIPF1,EVT_1,0.816666666666667,0.270924096874577,0.901408450704225,0.281353682813537,eEVT,1.03564990710554,1.26814274339454,2.45735070263933e-197
63,EPSTI1,EVT_1,0.511111111111111,0.124448653768096,0.816901408450704,0.131838088918381,eEVT,1.03560347317575,2.02618070838735,2.4110239108402e-132
64,LIPG,EVT_1,0.515277777777778,0.126775808415641,0.310344827586207,0.134200398142004,GC,1.0348947548956,2.008421087668,2.15634853741271e-132
65,CIT,EVT_1,0.413888888888889,0.0758760654850494,0.662,0.0823357664233577,VCT_p,1.03345972856659,2.49694967975821,4.60159102520354e-131
66,AC015923.1,EVT_1,0.519444444444444,0.129995941009336,0.563380281690141,0.137438619774386,eEVT,1.03087794559795,1.98457786318321,1.46613697765626e-131
67,PCSK5,EVT_1,0.726388888888889,0.233689622513868,0.644394110985277,0.243105507631055,EVT_2,1.02730256265828,1.41425974209171,6.2571344113987e-165
68,MTSS1L,EVT_1,0.615277777777778,0.184061696658098,0.656851642129105,0.192302587923026,EVT_2,1.01439934687747,1.64868516873991,1.04066547250659e-137
69,HIP1,EVT_1,0.608333333333333,0.180652144500068,0.943661971830986,0.188825481088255,eEVT,1.01405034318333,1.6669320709863,1.49248206898926e-136
70,RACGAP1,EVT_1,0.377777777777778,0.06313083479908,0.482,0.0691439946914399,VCT_p,1.00925753729384,2.67156406930723,1.44818520944371e-126
71,PADI1,EVT_1,0.301388888888889,0.0303612501691246,0.690140845070423,0.0355408095554081,eEVT,1.00575692789356,3.33707367780352,3.10789579334927e-137
72,AFAP1,EVT_1,0.936111111111111,0.33005006088486,0.929577464788732,0.341632382216324,eEVT,1.00540207974965,1.07402002584532,8.33774468209154e-252
73,ANKRD6,EVT_1,0.6875,0.222919767284535,0.749367088607595,0.231798274717983,iEVT,1.00504785636816,1.46188779108096,5.70374284155564e-149
74,E2F3,EVT_1,0.529166666666667,0.142362332566635,0.5505,0.149754479097545,VCT_p,1.00475951148108,1.89875813193275,4.47852546920673e-125
75,COL21A1,EVT_1,0.965277777777778,0.341388174807198,0.887323943661972,0.353311214333112,eEVT,1.00428077568908,1.04040598344768,6.34182171993215e-275
76,IGFBP3,EVT_1,0.591666666666667,0.175537816263023,0.665911664779162,0.183490378234904,EVT_2,1.00322588646675,1.69559304754943,3.04751236056197e-131
77,PALLD,EVT_1,0.95,0.337085644703017,0.921857304643262,0.348798938287989,EVT_2,1.00059664930851,1.05325963085106,8.54645653642126e-261
78,IPO9-AS1,EVT_1,0.659722222222222,0.211419293735624,0.873239436619718,0.219986728599867,eEVT,0.99894351114282,1.51418805899543,2.30665430755096e-141
79,MPDZ,EVT_1,0.609722222222222,0.186632390745501,0.491506228765572,0.19471798274718,EVT_2,0.997629334994633,1.6362030095584,2.77898295500485e-132
80,ACAN,EVT_1,0.452777777777778,0.104830198890543,0.209513023782559,0.111479761114798,EVT_2,0.99335469925941,2.19391221922324,6.88936354562022e-119
81,ZNF486,EVT_1,0.456944444444444,0.107752672168854,0.595696489241223,0.11442601194426,EVT_2,0.990576435052705,2.16782684874756,3.73334191028102e-118
82,NUSAP1,EVT_1,0.366666666666667,0.0617778379109728,0.5325,0.0676045122760451,VCT_p,0.987829534455588,2.69408054851524,1.9879388286266e-121
83,FLT4,EVT_1,0.501388888888889,0.132864294412123,0.774647887323944,0.139907100199071,eEVT,0.986119957551188,1.96677664663949,3.15839589195329e-118
84,FAT2,EVT_1,0.377777777777778,0.06843458260046,0.76056338028169,0.0743463835434638,eEVT,0.981852093777511,2.59902024823459,1.13232944361536e-118
85,ASCL2,EVT_1,0.4375,0.0996888107157353,0.758620689655172,0.106144658261447,GC,0.981291681408447,2.24295241464788,1.14670806684167e-115
86,ELOVL2,EVT_1,0.416666666666667,0.0886754160465431,0.492957746478873,0.094943596549436,eEVT,0.981030118431533,2.35447228423568,4.18762505518167e-116
87,AF127577.2,EVT_1,0.384722222222222,0.0735218508997429,0.535211267605634,0.0794691439946914,eEVT,0.974265345845401,2.53238645851512,5.6431217477515e-116
