,gene,cluster,geneFrequency,geneFrequencyOutsideCluster,geneFrequencySecondBest,geneFrequencyGlobal,secondBestClusterName,tfidf,idf,qval
LINC02062,LINC02062,VCT,0.31652719665272,0.149606299212598,0.149606299212598,0.300491679273828,VCT_CCC,0.380571795039151,1.20233521499481,8.76431925060257e-30
DZIP3,DZIP3,VCT,0.344560669456067,0.208661417322835,0.208661417322835,0.331505295007564,VCT_CCC,0.380433396426181,1.10411149661029,4.08932822933139e-18
GABARAPL1,GABARAPL1,VCT,0.315167364016736,0.147637795275591,0.147637795275591,0.299073373676248,VCT_CCC,0.380427916188459,1.20706633878582,3.9664504856713e-30
CRLS1,CRLS1,VCT,0.381485355648536,0.252952755905512,0.252952755905512,0.369137670196672,VCT_CCC,0.380182817604058,0.996585614558484,3.24455411173893e-15
NFIB,NFIB,VCT,0.364016736401674,0.238188976377953,0.238188976377953,0.351928895612708,VCT_CCC,0.380152187721199,1.04432612488927,5.60897113569742e-15
SCP2,SCP2,VCT,0.371548117154812,0.246062992125984,0.246062992125984,0.359493192133132,VCT_CCC,0.380116031242789,1.02306003904309,1.00502991063961e-14
ZNF248,ZNF248,VCT,0.406799163179916,0.261811023622047,0.261811023622047,0.392870650529501,VCT_CCC,0.380062229113458,0.934274854801919,1.05676573026273e-18
PTTG1IP,PTTG1IP,VCT,0.40418410041841,0.262795275590551,0.262795275590551,0.390601361573374,VCT_CCC,0.379960447847315,0.940067774694703,7.55266482156206e-18
PIK3CA,PIK3CA,VCT,0.402301255230125,0.262795275590551,0.262795275590551,0.388899394856278,VCT_CCC,0.379947222593052,0.944434593861043,2.03701847121563e-17
AC108062.1,AC108062.1,VCT,0.368619246861925,0.24507874015748,0.24507874015748,0.356751134644478,VCT_CCC,0.379942066072814,1.03071684212716,2.42535029949085e-14
ZNF208,ZNF208,VCT,0.340794979079498,0.207677165354331,0.207677165354331,0.328006807866868,VCT_CCC,0.379891290948385,1.11472091512172,1.69859097812272e-17
ZNF720,ZNF720,VCT,0.352824267782427,0.227362204724409,0.227362204724409,0.340771558245083,VCT_CCC,0.379830475728473,1.07654294336324,3.53844380269751e-15
STMP1,STMP1,VCT,0.351255230125523,0.225393700787402,0.225393700787402,0.339164145234493,VCT_CCC,0.37980212363491,1.08127108455918,2.55720176523448e-15
TBX3,TBX3,VCT,0.463493723849372,0.226377952755905,0.226377952755905,0.44071482602118,VCT_CCC,0.379766950251012,0.819357265718727,2.35948929697907e-48
APLF,APLF,VCT,0.360564853556485,0.238188976377953,0.238188976377953,0.348808623298033,VCT_CCC,0.379758392982589,1.05323186449479,2.95303193872052e-14
LYST,LYST,VCT,0.338912133891213,0.206692913385827,0.206692913385827,0.326210287443268,VCT_CCC,0.379653795888498,1.12021305206606,2.52667005310542e-17
ANKRD44,ANKRD44,VCT,0.491108786610879,0.184055118110236,0.184055118110236,0.46161119515885,VCT_CCC,0.379642960334262,0.773032311138562,9.83656886986738e-82
ATP6V1A,ATP6V1A,VCT,0.360251046025105,0.239173228346457,0.239173228346457,0.348619515885023,VCT_CCC,0.379623244803831,1.05377416385732,5.81488709265693e-14
AC008591.1,AC008591.1,VCT,0.486506276150628,0.192913385826772,0.192913385826772,0.458301815431165,VCT_CCC,0.379585491042947,0.780227326246092,1.57757118861042e-74
CAMSAP1,CAMSAP1,VCT,0.383995815899582,0.260826771653543,0.260826771653543,0.372163388804841,VCT_CCC,0.379550029046845,0.988422303919324,6.19378891744719e-14
PLCG2,PLCG2,VCT,0.43326359832636,0.258858267716535,0.258858267716535,0.416509077155825,VCT_CCC,0.379472633080874,0.875847023721188,2.15917704417158e-26
NOX5,NOX5,VCT,0.298117154811715,0.110236220472441,0.110236220472441,0.280068078668684,VCT_CCC,0.379420430617323,1.27272256726372,5.88133059388691e-41
DTNBP1,DTNBP1,VCT,0.40428870292887,0.268700787401575,0.268700787401575,0.391263237518911,VCT_CCC,0.379374291854896,0.938374703785979,2.0565686486501e-16
SLC2A1-AS1,SLC2A1-AS1,VCT,0.325732217573222,0.183070866141732,0.183070866141732,0.312027231467474,VCT_CCC,0.379368852801181,1.1646648146369,7.84301227043239e-21
CARD8,CARD8,VCT,0.343410041841004,0.218503937007874,0.218503937007874,0.331410741301059,VCT_CCC,0.379260938461357,1.10439676262278,2.64033838134847e-15
ZNF44,ZNF44,VCT,0.415271966527197,0.269685039370079,0.269685039370079,0.401285930408472,VCT_CCC,0.37917696836398,0.913081062357594,1.15107289922999e-18
