,pre-GC_vs_iEVT,pre-eEVT_vs_iEVT,iEVT_vs_EVT_early,EVT_early_vs_VCT_CCC,VCT_CCC_vs_VCT,SCT_vs_VCT_fusing,VCT_fusing_vs_VCT
DNAJC1,0.6210663318634033,0.7009628415107727,0.3577136695384979,0.13222447037696838,-0.32790762186050415,0.28203850984573364,-0.10094118863344193
ATF6,0.16175216436386108,0.018425611779093742,0.09737330675125122,0.051604013890028,-0.027674714103341103,-0.08901897817850113,0.18946553766727448
ELF1,0.6414152979850769,-0.010531029663980007,0.19392752647399902,0.21713505685329437,0.11047132313251495,-0.32393425703048706,-0.22538940608501434
CNOT4,-0.05311495065689087,-0.007178925909101963,-0.07846339046955109,0.1344369500875473,0.019155746325850487,-0.04218851402401924,0.13780716061592102
EPAS1,1.4452913999557495,0.22896189987659454,0.24953573942184448,0.2113228440284729,-0.1029200628399849,0.2260040044784546,0.5375482439994812
HMG20B,-0.3822992742061615,-0.28950947523117065,-0.0604504831135273,0.34901106357574463,-0.15287278592586517,0.2765781581401825,0.6264477968215942
PPARG,0.34891387820243835,0.49362078309059143,0.7137462496757507,0.29690343141555786,-0.28310835361480713,-0.4444413483142853,-0.371499627828598
ATF1,-0.18058933317661285,-0.2127111256122589,-0.09151849150657654,0.3214840590953827,0.12121975421905518,-0.06468088179826736,-0.07867871969938278
ELF4,0.6925742626190186,-0.05820793658494949,0.09469610452651978,0.17380397021770477,0.030095448717474937,-0.24592602252960205,-0.12982363998889923
ARID4A,-0.05077030137181282,-0.09454008936882019,0.043164342641830444,0.18165232241153717,0.10339312255382538,-0.18107037246227264,-0.18011343479156494
NFKBIZ,0.23506854474544525,-0.3338259160518646,-0.0033723844680935144,-0.031589899212121964,-0.1990237683057785,0.07808361947536469,0.05143053084611893
FOXO3,0.0037649613805115223,-0.3615753650665283,-0.09918367862701416,0.32538512349128723,0.1596706062555313,-0.14044472575187683,-0.1174885481595993
TSC22D3,0.03747075796127319,-0.0014171380316838622,0.2812727689743042,0.4404880702495575,-0.08793976157903671,-0.2043875902891159,-0.24991366267204285
HEYL,-0.02312222681939602,0.012547253631055355,-0.003716370090842247,-0.014636684209108353,-0.02312222681939602,-0.017487037926912308,-0.02312222681939602
ZBTB21,0.5127991437911987,-0.1618904024362564,-0.055735714733600616,0.055638428777456284,-0.018428662791848183,0.05044502019882202,0.048319101333618164
OSR2,-0.12134630233049393,-0.20745429396629333,-0.06981255114078522,0.09147930890321732,0.04019729048013687,-0.06935802847146988,-0.017838483676314354
ZBTB41,0.6675333976745605,-0.09993837773799896,0.06258558481931686,0.14546117186546326,0.0022066044621169567,-0.09730053693056107,-0.16834059357643127
ZBTB46,0.1563001126050949,-0.07961785048246384,0.018071087077260017,-0.023879144340753555,-0.061484724283218384,-0.05087178573012352,0.027599982917308807
ZNF91,0.5706350803375244,-0.22729872167110443,-0.051785342395305634,0.24526020884513855,0.05556286498904228,0.031135542318224907,0.2855478823184967
THAP5,-0.023864872753620148,-0.031884126365184784,-0.07883165031671524,0.07934004813432693,0.006484164856374264,-0.016584377735853195,-0.09388968348503113
TCF25,0.3434886336326599,-0.0018600178882479668,-0.012982639484107494,-0.0653468444943428,-0.13680553436279297,0.16645145416259766,0.5765751004219055
ZNF654,0.22234947979450226,-0.18320362269878387,-0.06559699028730392,0.14772851765155792,0.03673300892114639,-0.08391344547271729,0.15584681928157806
ZNF397,0.303642600774765,0.2130287140607834,0.12100136280059814,0.10110628604888916,0.02157241478562355,-0.10199505090713501,-0.24724525213241577
SP100,0.2830284535884857,0.13146120309829712,0.03981121629476547,0.13132058084011078,0.02966579794883728,-0.20305083692073822,-0.14281828701496124
TFEC,0.35989823937416077,0.34971243143081665,-0.003074102569371462,-0.03615117445588112,-0.04664701595902443,0.019499754533171654,-0.014493369497358799
ZBTB2,0.08735207468271255,-0.12405740469694138,-0.014917279593646526,0.054548099637031555,-0.0006433847593143582,0.013215980492532253,0.05050255358219147
TGIF1,-0.30892059206962585,0.0894070491194725,0.19992294907569885,0.13312314450740814,-0.11207893490791321,-0.04715508595108986,0.016760174185037613
