,interacting_pair,partners_in_troph,partners_in_troph_expr_where,partners_other,partners_other_expr_where,direction_of_interaction,is_integrin,comments,taking_or_not,taking_as(doesnt_matter_so_much),extra_comments
95,FZD3_LRP5_WNT7A,"['FZD3', 'LRP5']",['VCT_CCC'],['WNT7A'],"['VCT_CCC', 'EVT_2', 'EVT_1']",(M+F)-F,FALSE,nan,yes,VCT_CCC_and_VCT_CCC_EVT_1,
96,FZD3_LRP6_WNT2B,"['LRP6', 'FZD3']",['VCT_CCC'],['WNT2B'],"['GC', 'iEVT']",(M+F)-F,FALSE,nan,no,,
97,FZD3_LRP6_WNT6,"['LRP6', 'FZD3']",['VCT_CCC'],['WNT6'],['VCT_CCC'],(M+F)-F,FALSE,nan,yes,VCT_CCC_and_VCT_CCC,
98,FZD3_LRP6_WNT6,['WNT6'],['VCT_CCC'],"['LRP6', 'FZD3']","['VCT_CCC', 'dS1', 'dS2', 'uSMC']",F-(M+F),FALSE,nan,yes,VCT_CCC_and_VCT_CCC,
98,FZD3_LRP6_WNT7A,"['LRP6', 'FZD3']",['VCT_CCC'],['WNT7A'],"['VCT_CCC', 'EVT_2', 'EVT_1']",(M+F)-F,FALSE,nan,yes,VCT_CCC_and_VCT_CCC_EVT_1,
101,FZD4_LRP5_WNT6,['WNT6'],['VCT_CCC'],"['FZD4', 'LRP5']",['Endo_M'],F-(M+F),FALSE,nan,no,,
104,FZD4_LRP6_WNT6,['WNT6'],['VCT_CCC'],"['LRP6', 'FZD4']","['eEVT', 'dS2', 'Endo_M']",F-(M+F),FALSE,nan,no,,
105,FZD5_LRP5_WNT2B,"['FZD5', 'LRP5']",['VCT_CCC'],['WNT2B'],"['GC', 'iEVT']",(M+F)-F,FALSE,nan,no,,
106,FZD5_LRP5_WNT6,"['FZD5', 'LRP5']",['VCT_CCC'],['WNT6'],['VCT_CCC'],(M+F)-F,FALSE,nan,yes,VCT_CCC_and_VCT_CCC,
107,FZD5_LRP5_WNT6,['WNT6'],['VCT_CCC'],"['FZD5', 'LRP5']","['VCT_CCC', 'uSMC', 'Endo_M']",F-(M+F),FALSE,nan,yes,VCT_CCC_and_VCT_CCC,
107,FZD5_LRP5_WNT7A,"['FZD5', 'LRP5']",['VCT_CCC'],['WNT7A'],"['VCT_CCC', 'EVT_2', 'EVT_1']",(M+F)-F,FALSE,nan,yes,VCT_CCC_and_VCT_CCC_EVT_1,
108,FZD5_LRP6_WNT2B,"['LRP6', 'FZD5']",['VCT_CCC'],['WNT2B'],"['GC', 'iEVT']",(M+F)-F,FALSE,nan,no,,
109,FZD5_LRP6_WNT6,"['LRP6', 'FZD5']",['VCT_CCC'],['WNT6'],['VCT_CCC'],(M+F)-F,FALSE,nan,yes,VCT_CCC_and_VCT_CCC_EVT_1,
110,FZD5_LRP6_WNT6,['WNT6'],['VCT_CCC'],"['LRP6', 'FZD5']","['VCT_CCC', 'uSMC', 'Endo_M']",F-(M+F),FALSE,nan,yes,VCT_CCC_and_VCT_CCC,
110,FZD5_LRP6_WNT7A,"['LRP6', 'FZD5']",['VCT_CCC'],['WNT7A'],"['VCT_CCC', 'EVT_2', 'EVT_1']",(M+F)-F,FALSE,nan,yes,VCT_CCC_and_VCT_CCC_EVT_1,
111,FZD6_LRP5_WNT2B,"['FZD6', 'LRP5']",['VCT_CCC'],['WNT2B'],"['GC', 'iEVT']",(M+F)-F,FALSE,nan,no,,
112,FZD6_LRP5_WNT6,"['FZD6', 'LRP5']",['VCT_CCC'],['WNT6'],['VCT_CCC'],(M+F)-F,FALSE,nan,yes,VCT_CCC_and_VCT_CCC,
113,FZD6_LRP5_WNT6,['WNT6'],['VCT_CCC'],"['FZD6', 'LRP5']","['VCT_CCC', 'uSMC', 'Endo_M']",F-(M+F),FALSE,nan,yes,VCT_CCC_and_VCT_CCC,
113,FZD6_LRP5_WNT7A,"['FZD6', 'LRP5']",['VCT_CCC'],['WNT7A'],"['VCT_CCC', 'EVT_2', 'EVT_1']",(M+F)-F,FALSE,nan,yes,VCT_CCC_and_VCT_CCC_EVT_1,
116,FZD6_LRP6_WNT6,['WNT6'],['VCT_CCC'],"['LRP6', 'FZD6']","['VCT_CCC', 'iEVT', 'uSMC', 'Endo_M']",F-(M+F),FALSE,nan,yes,VCT_CCC_and_VCT_CCC,
117,FZD7_LRP5_WNT2B,"['FZD7', 'LRP5']",['VCT_CCC'],['WNT2B'],"['GC', 'iEVT']",(M+F)-F,FALSE,nan,no,,
118,FZD7_LRP5_WNT6,"['FZD7', 'LRP5']",['VCT_CCC'],['WNT6'],['VCT_CCC'],(M+F)-F,FALSE,nan,yes,VCT_CCC_and_VCT_CCC,
119,FZD7_LRP5_WNT6,['WNT6'],['VCT_CCC'],"['FZD7', 'LRP5']","['VCT_CCC', 'dS1', 'uSMC', 'Endo_M']",F-(M+F),FALSE,nan,yes,VCT_CCC_and_VCT_CCC,
119,FZD7_LRP5_WNT7A,"['FZD7', 'LRP5']",['VCT_CCC'],['WNT7A'],"['VCT_CCC', 'EVT_2', 'EVT_1']",(M+F)-F,FALSE,nan,yes,VCT_CCC_and_VCT_CCC_EVT_1,
120,FZD7_LRP6_WNT2B,"['LRP6', 'FZD7']",['VCT_CCC'],['WNT2B'],"['GC', 'iEVT']",(M+F)-F,FALSE,nan,no,,
121,FZD7_LRP6_WNT6,"['LRP6', 'FZD7']",['VCT_CCC'],['WNT6'],['VCT_CCC'],(M+F)-F,FALSE,nan,yes,VCT_CCC_and_VCT_CCC,
122,FZD7_LRP6_WNT6,['WNT6'],['VCT_CCC'],"['LRP6', 'FZD7']","['VCT_CCC', 'dS1', 'uSMC', 'Endo_M']",F-(M+F),FALSE,nan,yes,VCT_CCC_and_VCT_CCC,
122,FZD7_LRP6_WNT7A,"['LRP6', 'FZD7']",['VCT_CCC'],['WNT7A'],"['VCT_CCC', 'EVT_2', 'EVT_1']",(M+F)-F,FALSE,nan,yes,VCT_CCC_and_VCT_CCC_EVT_1,
138,PlexinA1_complex1_SEMA6D,"['PLXNA1', 'KDR']",['VCT_CCC'],['SEMA6D'],"['GC', 'eEVT', 'dM2', 'uSMC', 'Endo_M']",(M+F)-(M+F),FALSE,nan,no,,
140,PlexinA1_complex3_SEMA3A,"['PLXNA1', 'NRP1']",['VCT_CCC'],['SEMA3A'],['GC'],(M+F)-F,FALSE,nan,no,,
141,PlexinA2_complex1_SEMA3A,"['PLXNA2', 'NRP1']",['VCT_CCC'],['SEMA3A'],['GC'],(M+F)-F,FALSE,nan,no,,
150,TGFB1_integrin_aVb6_complex,"['ITGB6', 'ITGAV']",['VCT_CCC'],['TGFB1'],"['EVT_1', 'EVT_2', 'iEVT']",(M+F)-F,TRUE,nan,yes,VCT_CCC_and_EVT_1,
