,interacting_pair,partner_in_troph,partner_in_troph_expr_where,partner_other,partner_other_expr_where,direction_of_interaction,comments,taking_or_not,taking_as(doesnt_matter_so_much),extra_comments
209,EPHA4_EFNB1,EFNB1,"['EVT_2', 'iEVT', 'GC']",EPHA4,"['VCT_CCC', 'EVT_2', 'iEVT', 'Endo_M', 'uSMC']",F-(M+F),Jarrods_inter,yes,iEVT_and_Endo_M,
211,EPHB1_EFNB1,EFNB1,"['EVT_2', 'iEVT', 'GC']",EPHB1,"['eEVT', 'iEVT', 'Endo_M', 'uSMC']",F-(M+F),nan,yes,iEVT_GC_and_iEVT_dS1_uSMC,
215,EPHB2_EFNB1,EFNB1,"['EVT_2', 'iEVT', 'GC']",EPHB2,"['eEVT', 'iEVT', 'GC', 'dM1', 'dM2', 'uSMC']",(M+F)-(M+F),CellSign_EVT_2_EPHB2,yes,iEVT_GC_and_iEVT_GC_dM,
219,EPHB3_EFNB1,EFNB1,"['EVT_2', 'iEVT', 'GC']",EPHB3,"['EVT_2', 'eEVT', 'iEVT', 'dNK2', 'dM2', 'dS1', 'uSMC']",(M+F)-(M+F),nan,no,,
221,EPHB4_EFNB1,EFNB1,"['EVT_2', 'iEVT', 'GC']",EPHB4,"['VCT_CCC', 'Endo_M', 'dS1', 'uSMC']",F-(M+F),nan,yes,iEVT_GC_and_dS1_uSMC,
223,EPHB6_EFNB1,EFNB1,"['EVT_2', 'iEVT', 'GC']",EPHB6,"['VCT_CCC', 'EVT_2', 'iEVT', 'dM1', 'dM2', 'dS3', 'dS2', 'dS1']",F-(M+F),nan,yes,iEVT_GC_and_dS1,
233,ERBB4_NRG4,NRG4,['GC'],ERBB4,['eEVT'],(M+F)-F,nan,no,,
240,Estradiol_byCYP19A1_ESR1,CYP19A1,['GC'],ESR1,"['GC', 'dS3', 'dS2', 'dS1', 'uSMC']",(M+F)-(M+F),CellSign_GC_ESR1,yes,GC_and_GC_dS1_uSMC,
241,Estradiol_byCYP19A1_ESR1,ESR1,['GC'],CYP19A1,"['GC', 'dM2', 'Endo_M', 'uSMC']",(M+F)-(M+F),CellSign_GC_ESR1,yes,GC_and_GC_dM2_uSMC,
242,Estradiol_byCYP19A1_ESR2,CYP19A1,['GC'],ESR2,"['eEVT', 'iEVT', 'GC', 'Endo_M', 'uSMC']",(M+F)-(M+F),CellSign_eEVT_ESR2,yes,GC_and_GC_uSMC,
245,Estradiol_byHSD17B1_ESR1,ESR1,['GC'],HSD17B1,"['VCT_CCC', 'eEVT', 'GC', 'dM2', 'dS3', 'dS2', 'Endo_M', 'uSMC']",F-(M+F),CellSign_GC_ESR1,yes,GC_and_GC_uSMC,
249,FGF1_FGFR1,FGFR1,"['EVT_2', 'iEVT', 'GC']",FGF1,"['eEVT', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F),nan,yes,iEVT_GC_and_dS1_uSMC,
255,FGF2_FGFR1,FGFR1,"['EVT_2', 'iEVT', 'GC']",FGF2,"['VCT_CCC', 'EVT_2', 'iEVT', 'dS3', 'dS2', 'Endo_M', 'dS1', 'uSMC']",F-(M+F),nan,yes,GC_and_iEVT_dS1_uSMC,
258,FGFR1_NCAM1,FGFR1,"['EVT_2', 'iEVT', 'GC']",NCAM1,"['eEVT', 'dNK1', 'dNK2', 'dNK3', 'uSMC']",(M+F)-(M+F),nan,yes,iEVT_GC_and_dNK_uSMC,
260,FLT1_PGF,FLT1,"['EVT_2', 'iEVT', 'GC']",PGF,"['EVT_1', 'EVT_2', 'GC', 'dM2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F),nan,yes,iEVT_GC_and_GC_dM2_Endo_M_dS1_uSMC,
