"","pval.Factor1","pval.Factor2","pval.Factor3","pval.Factor4","pval.Factor5","pval.Factor6","pval.Factor7","pval.Factor8","pval.Factor9","pval.Factor10","adj.pval.Factor1","adj.pval.Factor2","adj.pval.Factor3","adj.pval.Factor4","adj.pval.Factor5","adj.pval.Factor6","adj.pval.Factor7","adj.pval.Factor8","adj.pval.Factor9","adj.pval.Factor10","setstats.Factor1","setstats.Factor2","setstats.Factor3","setstats.Factor4","setstats.Factor5","setstats.Factor6","setstats.Factor7","setstats.Factor8","setstats.Factor9","setstats.Factor10"
"NFIC::TLX1",0.0587627018087315,0.743449559403247,0.68357014438711,0.209172514957269,1,1,0.00112457441000659,0.401596971902069,0.905389277683754,0.0199047897121597,0.0723672961963562,0.928066522283048,0.757793172324064,0.368819504089001,1,1,0.00288200648394401,0.640308937464011,0.934027469850481,0.0818164408298511,1.89016763425409,0.327297187672216,0.407607384256018,1.25592012053818,0,0,3.258239585527,0.83880610491853,0.118859039452173,2.32848908107522
"ZNF354C",1,1,1,1,0.0993934476556994,1,1.57883161202329e-19,0.148329925861933,0.0549580386649554,3.52678770848697e-07,1,1,1,1,0.283147198151216,1,2.49850102602686e-18,0.336533487708257,0.123945327233513,1.06307458070107e-05,0,0,0,0,1.64794520559511,0,9.05675593184495,1.44556065666423,1.91941907161454,5.09609835347094
"CTCF",1,1,1,1,0.118660231760841,0.59364260515633,2.29991407771164e-09,0.000175730236158646,0.00251682613936991,0.00450048534348141,1,1,1,1,0.311192890336019,0.905382599434145,1.29986215284953e-08,0.00185395399147372,0.0111409157078402,0.0239395564909557,0,0,0,0,1.56054779189785,0.533580998976255,5.98022737058932,3.75290005903394,3.02203041029847,2.84137495278337
"EWSR1-FLI1",1,1,1,1,0.00297612374310013,1,1.57820894298707e-22,0.00610747325885363,0.000381522826125579,3.34068569181406e-08,1,1,1,1,0.0242609239579503,1,3.12189456534629e-21,0.0336176571552552,0.00248973143234527,1.51046717351307e-06,0,0,0,0,2.97087908310683,0,9.78798570665012,2.74250387191674,3.55368311237014,5.52666490203144
"REST",1,1,1,1,0.118063449422366,0.704369630046654,3.16410051510296e-07,0.0108308913567275,7.61134523906069e-06,0.031257791242182,1,1,1,1,0.311192890336019,0.950947305136128,1.39088585143067e-06,0.0523355284641871,9.44702262024591e-05,0.118480130876055,0,0,0,0,1.56308031997776,0.379438781587295,5.11666474128366,2.54855683080154,4.47804776232209,2.15406082410027
"NFATC2",2.39997069829238e-08,1,0.028941482765057,0.704105960530642,1,0.938923374787367,0.687481660876619,1,1,0.106440660678758,5.46468148208302e-08,1,0.0562584388917471,0.819299766573339,1,0.994210758064472,0.740095053290645,1,1,0.284290878521745,5.58459529494708,0,2.18457895969756,0.379793942840207,0,0.0766249201417768,0.402285970728601,0,0,1.61453697557057
"INSM1",1,1,1,1,0.00131139414603578,0.151539546338491,1.25432101832827e-19,0.000332276733759307,0.0637965822577741,0.0026662094374138,1,1,1,1,0.0153724536007528,0.630668122256481,2.03585949897897e-18,0.00323586419184064,0.136892327353122,0.0154835832466324,0,0,0,0,3.21433012512334,1.43421768131535,9.08202205852368,3.58991345069736,1.85379202830997,3.00451862963431
"RARA::RXRA",1,1,1,1,0.0232223580640984,0.956622174191185,3.59382388186657e-11,0.0949941489679439,0.10347139669563,0.145322071805939,1,1,1,1,0.105537594054474,0.994210758064472,2.74083194845969e-10,0.255877856581738,0.200912251866054,0.333697003694461,0,0,0,0,2.27008473916146,0.0543941334529013,6.6269040706885,1.6697707605062,1.62839203739504,1.4563620548665
"NR4A2",1,1,1,1,0.229315752777779,1,0.00115671076469778,0.0135564911860084,0.0243124023612126,0.0766799570034027,1,1,1,1,0.490394836176804,1,0.0029524109437649,0.0626369264287833,0.0663351323045153,0.226815013005392,0,0,0,0,1.20219239906116,0,3.25022787598631,2.46921712352091,2.25247763609824,1.77045530851108
"PLAG1",1,1,1,1,0.00860533927590817,0.509336487777571,1.66879504890893e-17,2.93420257184572e-05,1.82832903837411e-05,8.17285570653302e-05,1,1,1,1,0.0528259991912657,0.892276959214112,2.20072347074865e-16,0.000431941913483335,0.000189726603490297,0.000975035177502357,0,0,0,0,2.6278355940945,0.659893459828085,8.52952849202822,4.18032717697528,4.28683632636372,3.94080365523932
