"","pval.Factor1","pval.Factor2","pval.Factor3","pval.Factor4","pval.Factor5","pval.Factor6","pval.Factor7","pval.Factor8","pval.Factor9","pval.Factor10","adj.pval.Factor1","adj.pval.Factor2","adj.pval.Factor3","adj.pval.Factor4","adj.pval.Factor5","adj.pval.Factor6","adj.pval.Factor7","adj.pval.Factor8","adj.pval.Factor9","adj.pval.Factor10","setstats.Factor1","setstats.Factor2","setstats.Factor3","setstats.Factor4","setstats.Factor5","setstats.Factor6","setstats.Factor7","setstats.Factor8","setstats.Factor9","setstats.Factor10"
"HES7",0.00621968581632555,0.26952864600669,1,1,0.430576024396291,1,1,1,1,1,0.00999254091810678,0.300837418552412,1,1,0.628006044799199,1,1,1,1,1,2.73651483798991,1.10420626906378,0,0,0.788236367100844,0,0,0,0,0
"HEY1",1,1,1,1,0.0626196508333585,0.133793200612458,0.953740353108088,0.0410196421786667,0.104884277031439,1,1,1,1,1,0.166547222594605,0.229515165278281,0.965414681272052,0.145410145588076,0.166813435580153,1,0,0,0,0,1.86207798318922,1.49942455973192,0.0580117570505318,2.04357995182872,1.62176048499886,0
"MAX",1,1.67465208194442e-16,1,1,0.835449901711733,0.116908454564065,0.000575708492749963,1,0.00442029129077618,1,1,4.31213379518174e-16,1,1,0.927789101374609,0.207873740840037,0.00145188635821007,1,0.011374164175046,1,0,8.25671873250924,0,0,0.207722145183928,1.56801037143895,3.44384790570043,0,2.84710770944588,0
"MNT",0.948921842829264,8.73380080062262e-07,1,1,0.872613218563623,1,0.370597534054597,1,0.812943362142333,1,0.962608215562378,1.43090763801981e-06,1,1,0.940463843395589,1,0.453749011714817,1,0.856683067774311,1,0.0640622764294726,4.9211255005606,0,0,0.160343906226527,0,0.895392562733949,0,0.2366364940708,0
"OLIG1",0.000948329434719316,7.47467457218418e-86,8.52006642735786e-07,0.170852707464222,1,1,1,0.151623120753068,1,0.00611773526008763,0.00174503643074804,1.17627773530688e-84,3.6688449309643e-06,0.336915152102344,1,1,1,0.332101852722117,1,0.0374505378826417,3.30635026163351,19.8167315690717,4.92598274867275,1.36956158363616,0,0,0,1.43392478177179,0,2.74195206687547
"OLIG3",0.00218847460732248,2.26374065932986e-18,2.41189118146429e-06,1,1,1,0.929350556483801,0.252044695411733,1,0.0879044018352442,0.00379535459297296,6.44627102037742e-18,9.19715131245119e-06,1,1,1,0.953360704345294,0.466503778349787,1,0.228985540583167,3.06413390236424,8.75924971406392,4.71801594740761,0,0,0,0.0886640706757123,1.14545934402763,0,1.70671403485742
"SREBF2(var.2)",1,1,1,1,1,0.0206426791164751,1.2357893435974e-07,1,0.000159994561223812,1,1,1,1,1,1,0.0510422495340966,5.58753324640825e-07,1,0.000632978482841704,1,0,0,0,0,0,2.31480258406986,5.29172306273865,0,3.77637382618242,0
"ATF7",1,2.41356545197478e-14,1,1,0.153293464550421,3.43695428509124e-05,7.62363973680351e-10,0.83574146231725,0.000743517699085392,0.000108680022581244,1,5.68233126094849e-14,1,1,0.308046866858466,0.000215405154699283,4.70991203027112e-09,0.908976538912061,0.00234152588816444,0.00185930957551156,0,7.63703919731973,0,0,1.42809641852428,4.1441650106084,6.15819419041185,0.207348763859317,3.37398945499538,3.87180210075209
"CEBPB",0.617907821455313,1.61686105420919e-13,0.283478884723207,0.0187176809549975,1,1,1,1,1,0.291877217629929,0.668607950395236,3.66243526673143e-13,0.361775099176811,0.0697457563292269,1,1,1,1,1,0.492688743359321,0.498832333408075,7.38679199654539,1.07259124649049,2.35146711963557,0,0,0,0,0,1.05406473955905
"CEBPE",0.467465783504027,3.93710886120609e-15,0.236130871935655,0.00961509702260492,1,1,1,1,1,0.698833093080734,0.519133054312367,9.60975958776017e-15,0.308187302959319,0.0406737446330293,1,1,1,1,1,0.82376414882701,0.726634651053694,7.86851201209409,1.18478009618485,2.58984162031968,0,0,0,0,0,0.386906601379265
"CEBPG",0.974852998313897,2.35130129687137e-13,0.0770614651653201,0.00448828107413948,1,1,1,1,1,0.253040979118986,0.980428296425292,5.26621039523999e-13,0.119244269493404,0.0243145389386374,1,1,1,1,1,0.446169748697266,0.0315230538762691,7.33655901751895,1.76816808155061,2.84224138580243,0,0,0,0,0,1.14305620516461
"CREB3L1",1,1,1,1,0.50765656130924,0.158111126631283,1.93363798670977e-11,0.127977293020143,0.129777207795785,0.404349876600411,1,1,1,1,0.700101532263069,0.258615873792253,1.42324749486894e-10,0.298458254818109,0.198427469890657,0.598022130579579,0,0,0,0,0.662513464506586,1.41155211645933,6.71821542397697,1.52224553285879,1.51509835888342,0.83391097438322
"NFE2",1.38876277854643e-21,1,0.000971427676964547,0.329502033337793,1,1,1,1,1,0.00269621833251628,8.70383008732566e-21,1,0.00226071220411235,0.534807146417496,1,1,1,1,1,0.0200788965233271,9.56359762407999,0,3.29959495289536,0.975162097854642,0,0,0,0,0,3.00110932134248
"TEF",0.00395093393572524,1,0.566594919337253,0.89951675632475,0.161578054203971,0.618237477159795,1,1,1,0.0427306619234914,0.00656415008218917,1,0.639312983851125,0.928789756138226,0.317758858122645,0.704393358541084,1,1,1,0.143279819315768,2.88268334232184,0,0.573091405499957,0.126274842079199,1.3998812128265,0.498364471087594,0,0,0,2.02657627414111
"XBP1",1,1,1,1,3.04211589437434e-05,0.000959072466448308,3.88813826890144e-07,0.634473575069237,0.0571422539948135,0.596526760081747,1,1,1,1,0.000964209677805834,0.00381819415887911,1.57768687449655e-06,0.78595258907794,0.0996447569661624,0.756716310885262,0,0,0,0,4.17209363285947,3.30318961450358,5.07754597944278,0.475453438753681,1.90242759381571,0.529417713696834
"FOXB1",2.37785697146823e-10,6.9542630327568e-08,3.10695832995936e-07,0.517881662639836,1,1,1,1,1,0.344535693323393,7.67950746397647e-10,1.23036961348774e-07,1.43555081960896e-06,0.724653833086598,1,1,1,1,1,0.551196781170012,6.34083943545517,5.39616260278539,5.1201111198385,0.646635754305289,0,0,0,0,0,0.945283374240096
"FOXC1",6.53303780012797e-13,0.00418095032833738,7.20734752069829e-08,0.0694179722021426,1,1,1,0.824983961130599,1,0.0813708137818389,2.49121260691627e-12,0.0055436991049795,3.67923466177582e-07,0.172937833019318,1,1,1,0.903594170920563,1,0.217332173518582,7.19777795327323,2.86479606801915,5.38972438491768,1.81587314246819,0,0,0,0.22114476340387,0,1.74295245134355
"FOXC2",5.98679220331628e-14,1,6.3209417592777e-08,0.00184980291685158,0.388791359347475,1,1,1,1,0.29099626279833,2.47688853901909e-13,1,3.25297246635999e-07,0.0119482167996638,0.588440558474384,1,1,1,1,0.492688743359321,7.51850602417017,0,5.4133255250871,3.11412650213039,0.861846608344163,0,0,0,0,1.05599109735134
"FOXO4",0.147945162107215,8.3050860641923e-23,0.158034848293351,0.758421456394562,0.42798288801082,0.00130714898949194,0.23873768991264,0.068460044717511,1,0.0250062006785106,0.186181486309875,2.80589913355197e-22,0.216997958719504,0.864948093255793,0.625665515267549,0.00478280526212948,0.311589603535466,0.202500973393385,1,0.101467468137803,1.4469329721302,9.85328809508051,1.41181106429539,0.307562267386731,0.792678412292335,3.21526184000333,1.1782139186392,1.82215163024829,0,2.241624237269
