"","motif","view","factor","padj"
"190","HSF4","ATAC_all","Factor1",1
"191","IRF7","ATAC_all","Factor1",1
"192","MEF2D","ATAC_all","Factor1",1
"193","MEIS1","ATAC_all","Factor1",0.558587793949232
"194","MEIS2","ATAC_all","Factor1",0.710463751405642
"195","MEIS3","ATAC_all","Factor1",0.635499747226694
"196","MYBL1","ATAC_all","Factor1",1
"197","MYBL2","ATAC_all","Factor1",1
"198","NFKB1","ATAC_all","Factor1",0.360764250214055
"199","NFKB2","ATAC_all","Factor1",0.571796816823856
"200","PAX1","ATAC_all","Factor1",0.972951923526751
"201","PAX3","ATAC_all","Factor1",1
"202","PAX9","ATAC_all","Factor1",0.233178183823995
"203","PKNOX2","ATAC_all","Factor1",1
"204","POU1F1","ATAC_all","Factor1",1
"205","POU2F1","ATAC_all","Factor1",1
"206","POU3F1","ATAC_all","Factor1",1
"207","POU3F2","ATAC_all","Factor1",1
"208","POU3F3","ATAC_all","Factor1",1
"209","POU3F4","ATAC_all","Factor1",1
"210","POU4F1","ATAC_all","Factor1",1
"211","POU4F3","ATAC_all","Factor1",1
"212","POU5F1B","ATAC_all","Factor1",1
"213","POU6F2","ATAC_all","Factor1",1
"214","PROX1","ATAC_all","Factor1",0.775980451375991
"215","RFX2","ATAC_all","Factor1",1
"216","SMAD3","ATAC_all","Factor1",1
"217","TGIF1","ATAC_all","Factor1",0.283725274830393
"218","TGIF2","ATAC_all","Factor1",0.907089624572325
"219","RFX4","ATAC_all","Factor1",1
"220","RFX5","ATAC_all","Factor1",1
"221","RUNX2","ATAC_all","Factor1",1
"222","EOMES","ATAC_all","Factor1",0.0993595834976388
"223","MGA","ATAC_all","Factor1",0.0676089390273206
"224","TBR1","ATAC_all","Factor1",0.407654664697248
"225","TBX15","ATAC_all","Factor1",0.0676089390273206
"226","TBX19","ATAC_all","Factor1",1
"227","TBX1","ATAC_all","Factor1",0.127646973494547
"228","TBX4","ATAC_all","Factor1",0.36590772480775
"229","TBX5","ATAC_all","Factor1",0.36590772480775
"230","TEAD3","ATAC_all","Factor1",1
"231","TFAP2A(var.2)","ATAC_all","Factor1",0.000370509114611544
"232","TFAP2B","ATAC_all","Factor1",9.50775342381209e-05
"233","TFAP2B(var.2)","ATAC_all","Factor1",0.184862598370254
"234","TFAP2B(var.3)","ATAC_all","Factor1",0.00431997583941722
"235","TFAP2C","ATAC_all","Factor1",0.00163131019409916
"236","TFAP2C(var.3)","ATAC_all","Factor1",0.0538541962911924
"237","BHLHE40","ATAC_all","Factor1",1
"238","BHLHE23","ATAC_all","Factor1",0.977376402362504
"239","BHLHE22","ATAC_all","Factor1",1
"240","CLOCK","ATAC_all","Factor1",0.0101265158161738
"241","FIGLA","ATAC_all","Factor1",0.153125076078775
"242","HES5","ATAC_all","Factor1",1
"243","HES7","ATAC_all","Factor1",0.174044923483166
"244","HEY1","ATAC_all","Factor1",0.595563949186414
"245","MAX","ATAC_all","Factor1",0.22782071527201
"246","MNT","ATAC_all","Factor1",0.278978826153111
"247","OLIG1","ATAC_all","Factor1",1
"248","OLIG3","ATAC_all","Factor1",0.931677557938378
"249","SREBF2(var.2)","ATAC_all","Factor1",1
"250","ATF7","ATAC_all","Factor1",0.154421962353481
"251","CEBPB","ATAC_all","Factor1",1
"252","CEBPE","ATAC_all","Factor1",1
"253","CEBPG","ATAC_all","Factor1",1
"254","CREB3L1","ATAC_all","Factor1",1
"255","NFE2","ATAC_all","Factor1",1
"256","TEF","ATAC_all","Factor1",1
"257","XBP1","ATAC_all","Factor1",1
"258","FOXB1","ATAC_all","Factor1",1
"259","FOXC1","ATAC_all","Factor1",1
"260","FOXC2","ATAC_all","Factor1",1
"261","FOXO4","ATAC_all","Factor1",1
"262","FOXO6","ATAC_all","Factor1",1
"263","FOXP3","ATAC_all","Factor1",1
"264","RXRB","ATAC_all","Factor1",0.0774389716331048
"265","RXRG","ATAC_all","Factor1",0.062538026423002
"266","TP63","ATAC_all","Factor1",0.0612615105001707
"267","TP53","ATAC_all","Factor1",3.46921475563644e-08
"268","TP73","ATAC_all","Factor1",0.0286858926272089
"269","GMEB2","ATAC_all","Factor1",0.937907653064407
"270","MTF1","ATAC_all","Factor1",0.571796816823856
"271","E2F1","ATAC_all","Factor1",0.0358292815750526
"272","E2F8","ATAC_all","Factor1",0.0636568701400547
