"","pval.Factor1","pval.Factor2","pval.Factor3","pval.Factor4","pval.Factor5","pval.Factor6","pval.Factor7","pval.Factor8","pval.Factor9","pval.Factor10","adj.pval.Factor1","adj.pval.Factor2","adj.pval.Factor3","adj.pval.Factor4","adj.pval.Factor5","adj.pval.Factor6","adj.pval.Factor7","adj.pval.Factor8","adj.pval.Factor9","adj.pval.Factor10","setstats.Factor1","setstats.Factor2","setstats.Factor3","setstats.Factor4","setstats.Factor5","setstats.Factor6","setstats.Factor7","setstats.Factor8","setstats.Factor9","setstats.Factor10"
"IRF1",1,0.00193610266560136,1,1,1,0.636356276777941,1,0.651431694479515,1,1,1,0.00362589641220609,1,1,1,0.765805177187142,1,0.869949921108719,1,1,0,3.1006358965851,0,0,0,0.472813030773273,0,0.451786933448591,0,0
"STAT1",0.694996939732008,0.0012234588128577,1,1,1,0.000889467924088958,1,0.0237989825113887,0.784111205454225,0.260259630425234,0.801335269308491,0.00239767624934651,1,1,1,0.00879739368669235,1,0.179342332496537,0.857240747931821,0.636078556213024,0.392093560856432,3.23422453769089,0,0,0,3.32427979877335,0,2.26068350873597,0.273972329578669,1.12583767845416
"STAT3",1,0.000433491625915799,1,0.0181340924492964,1,0.0411171012923753,1,0.0140592283942025,0.573401440649157,0.479668227074278,1,0.000896732677139546,1,0.0784124884507406,1,0.142224727421167,1,0.132815315895994,0.67716998494574,0.772595388646356,0,3.51991412165213,0,2.36323432289135,0,2.04259544766309,0,2.45615234278929,0.563066541183291,0.706861189130019
"GATA1::TAL1",1,0.0460249077166498,0.574038805094301,0.328235361102966,1,1,1,1,1,1,1,0.0710579672796081,0.803039546881325,0.549663977720046,1,1,1,1,1,1,0,1.99539836917945,0.562130716992482,0.977719392071775,0,0,0,0,0,0
"YY1",0.420989738611455,2.72718479376938e-18,1,1,1,0.0176212152301353,1,1,0.000168961532625693,0.195206738533139,0.56578875698737,2.46615424922288e-17,1,1,1,0.0778030118365873,1,1,0.000618223411283603,0.580121434232286,0.804736495933927,8.73807720980975,0,0,0,2.37385282535005,0,0,3.7627445468566,1.29541058270339
"FOXP2",1,0.0776781374580009,0.7302896492334,0.720223771637432,0.0892276320358168,1,1,1,1,1,1,0.115967596723855,0.887778107000794,0.847400831684934,0.352968994114655,1,1,1,1,1,0,1.76449043300535,0.344749323408952,0.3581692403092,1.69964140389682,0,0,0,0,0
"SREBF1",0.0373580781056671,0.000306379281201153,1,0.0396762425931821,0.191753524514146,0.107410436878247,1,0.636368432289004,0.00739370174358506,0.42144079473377,0.0923736853159659,0.000652990185186295,1,0.135757089521537,0.496666865538863,0.249050573420991,1,0.86264704011291,0.0176611819007145,0.742113654507998,2.08209014538498,3.61103628703368,0,2.05735674345372,1.30549222853741,1.61007828599755,0,0.472795993919076,2.67908584846791,0.803955231763225
"SREBF2",0.408343005142286,1.97873901484608e-05,0.809477339361565,0.157450764464654,1,0.117098992088925,1,1,0.0460948581444966,1,0.558587793949232,4.83606871195973e-05,0.934448043117005,0.352581613355644,1,0.261921067110564,1,1,0.0853159216534104,1,0.826845812769241,4.26920362428466,0.24110634824794,1.41379704283981,0,1.56719444335574,0,0,1.99475701366138,0
"THAP1",0.04190538665903,5.27724490447134e-13,1,0.00194680738778037,1,0.323126051871761,1,0.318866682083839,0.000231246451280842,1,0.0997222171246842,2.8551248072909e-12,1,0.0181224864186025,1,0.496453375812681,1,0.643999105749229,0.000827000020682333,1,2.03470425220437,7.22697861303539,0,3.09900118892025,0,0.988100198086705,0,0.996836230992914,3.68344193379376,0
"KLF5",3.40605039413359e-08,1.50609977796104e-96,1,4.00251681495215e-06,0.968816836020876,2.28896864689668e-10,1,1,2.57320732348099e-22,0.0231954030407318,6.16008542710447e-07,9.5336115944934e-94,1,0.000180126657237124,0.991246264748651,2.89783430697119e-08,1,1,9.58141315154981e-21,0.261118747771565,5.52325301713759,21.0659275165189,0,4.61366538953605,0.0390931749136882,6.34672797207524,0,0,9.73797807039416,2.27052914996673
