,pval.Factor1,pval.Factor2,pval.Factor3,pval.Factor4,pval.Factor5,pval.Factor6,pval.Factor7,pval.Factor8,pval.Factor9,pval.Factor10,adj.pval.Factor1,adj.pval.Factor2,adj.pval.Factor3,adj.pval.Factor4,adj.pval.Factor5,adj.pval.Factor6,adj.pval.Factor7,adj.pval.Factor8,adj.pval.Factor9,adj.pval.Factor10,setstats.Factor1,setstats.Factor2,setstats.Factor3,setstats.Factor4,setstats.Factor5,setstats.Factor6,setstats.Factor7,setstats.Factor8,setstats.Factor9,setstats.Factor10
HOXC8,0.8623779713569885,0.7944898326436206,0.1490296071595978,0.8153873959298161,0.1936432003277244,0.18155285971350035,0.20121582725135834,0.017592527600322556,0.1873636323899166,0.07399206367681048,0.9098087597816228,0.8423987672753968,0.2651481320437427,0.9575885373350159,0.6222139381088809,0.3683428211495055,0.2733253619101069,0.29705991007752486,0.2797197625066444,0.7331241401346211,0.17335210063976347,-0.2604913447270632,1.443072094950992,0.23348746333759565,-1.2999589620785152,-1.3360764688397306,1.2781744021497015,-2.3744547319916425,-1.3185032227350606,1.7868384737405558
HOXD10,0.47644808354073886,0.19532279655356072,0.5015124172196153,0.1882060666754309,0.39577761899570585,0.16417513242003354,0.38369793285006526,0.4290706807383188,0.45909043248763703,0.38433701104083795,0.6056056965487705,0.25865968664938066,0.640035000201646,0.8275852427316447,0.8042454671171045,0.3429797320854166,0.47253072275115043,0.902331365140717,0.5591026881582578,0.8805687884699016,-0.7120521739867782,1.2950740335805229,0.6721349001830844,-1.3159890733013864,-0.8492206779864699,1.3912618486690003,-0.8711389766971548,0.7908131224769085,-0.740372347932366,-0.8699689335618878
HOXD4,0.02574852882886223,0.2303665166789168,0.03546983996704704,0.932042135915347,0.19247825898961887,0.003095772083003059,0.2352316521224106,0.7714433417942242,0.10907540255431328,0.3551336905299871,0.06059040427014792,0.29942916849641543,0.09433785167706209,0.9826469243597608,0.6222139381088809,0.020847060941924855,0.31681199104997,0.9555125366308683,0.1841192795116808,0.872447736635445,2.2302966974108447,1.1994840012588004,2.103221450117506,0.08527781149846703,1.3033653743646945,-2.958742569495331,-1.1870569805648694,0.29049486422181314,-1.6024971690607033,0.9247178048880771
IKZF1,0.33071799469514895,1.478305638414491e-10,0.24750554640789582,0.9329712504584775,0.140499389272463,0.4065160167885046,2.5833873964007424e-06,0.18268682794856364,0.0048012989801852575,0.6536063125254041,0.46624608160808306,5.472324380797502e-10,0.38026944387426714,0.9826469243597608,0.5747398426272309,0.6150564192675974,1.055022078659142e-05,0.7008531035844896,0.012988129292552428,0.9214538882596455,-0.9727131693949708,6.413935955272481,-1.1564929624239204,-0.08410912731422793,1.4740437977872125,0.8300732153642468,-4.7039894470418435,1.3326146784856199,2.8206646840469993,-0.44877056914269337
IRF6,0.1316514559885733,5.202256889208804e-07,0.0012967756753022401,0.024170153434465533,0.5598232538357996,0.21419853469406355,0.0006747972082040911,0.12962482490091365,0.0014363134979473117,0.45544864518425265,0.22357471420909342,1.4012887705826267e-06,0.00726423895987892,0.5928730809870312,0.8598809232831275,0.4071701875715983,0.0016883266118307894,0.6364280652095474,0.004591850728286102,0.910274229473742,-1.5077373553201552,5.021789323238829,-3.2175503493675497,2.254736002589375,0.5831224185328189,1.2421773036344017,-3.4006228784679813,1.5157004524864037,3.188088456539477,-0.7463895146741111
KLF10,2.2532763890141672e-11,1.4244409629760395e-59,1.9654518344609167e-12,0.20156190586278616,0.0026288986104720823,3.952498329687966e-05,1.9460693054713215e-37,0.0018447105598191438,3.965176256784149e-18,0.9863137025577238,4.6276966057119916e-10,4.745637524020174e-58,1.1310281920125094e-10,0.8402551815670055,0.13867440170240233,0.0005956985401509179,6.843677057574148e-36,0.07784678562436788,1.3210297739707192e-16,0.9925665532069196,-6.695788097877035,16.379828939157015,-7.045275968192792,-1.2771932447896293,3.008806767371776,4.111968075961575,-12.836273858051701,3.114940502334992,8.69538028822799,0.01715447458913439
KLF11,1.1004695135898277e-17,3.1574575512101707e-68,2.1400290910798148e-10,0.6161328933712515,0.008519725426556761,1.1377282772230727e-07,8.606804242837076e-50,0.004540015937021783,3.514264704463914e-25,0.40484979295861645,6.965972021023609e-16,1.332447086610692e-66,6.9047480578929975e-09,0.9313466781417564,0.2149026779499224,3.273554543100932e-06,4.9528246233780626e-48,0.12494913426672993,2.022299598114234e-23,0.8979107226308345,-8.577895795047365,17.581078719534517,-6.3571145448304565,0.501353272905635,2.6312375033698276,5.306859642015251,-14.913148310044281,2.838583049647909,10.393189567688205,0.8330241818345621
KLF15,3.4265941411488196e-30,7.339809384452782e-103,2.350235981247239e-20,0.517290304894733,0.004125243488098476,4.730466925966178e-20,3.2909568979526843e-69,0.0003620384475786279,1.078358476684753e-28,0.8906856564148079,2.169034091347203e-27,4.646099340358611e-100,1.4876993761295024e-17,0.9132189279599874,0.1740852751977557,2.994385564136591e-17,2.0831757164040493e-66,0.03273861961675306,1.7065022893536214e-26,0.9881792759335931,-11.452650517714833,21.772234503902922,-9.263918421942863,-0.6475495582467949,2.8690445960134645,9.188361424751172,-17.712545266517132,3.567463451327403,11.14610898057206,0.13743994971885998
KLF17,0.0013851816623369258,1.238973003742853e-28,0.00012059786732050831,0.9507335800685879,0.35548883397932884,0.0005946079886580088,4.718554133843172e-16,0.9101624228000871,1.8905200452161033e-09,0.8342568811539774,0.004590680587744891,1.8238835148121535e-27,0.001211721428791774,0.9841652142729729,0.782200032528353,0.005535100835595876,6.354988865367506e-15,0.9759630695988715,1.8995225216218942e-08,0.9671879226565344,-3.1985649016982287,11.13359919843933,-3.8463342282694835,0.06178704631593277,0.9240354187318243,3.435094777430694,-8.13131519139559,0.1128363569598013,6.012183540948943,-0.209250265714409
KLF2,2.1572329720133595e-14,4.590338484480319e-75,1.2104311620899107e-13,0.24439405391321967,0.030894895437860934,3.4315224807540114e-11,2.0661542428423286e-47,0.00565733676207191,1.9877000815066865e-20,0.5241738281645696,6.827642356422282e-13,2.4214035505633684e-73,1.467154344710002e-11,0.8590234944458469,0.38346017278756805,2.4135041447969877e-09,1.0060581813224569e-45,0.14324376681566076,8.388094343958218e-19,0.9120122017398714,-7.651567062849131,18.478256942033024,-7.425404076353212,-1.1641383567573218,2.1587108953482783,6.633753392896534,-14.535049525010526,2.7675709932938837,9.281927062891295,0.63694584048703
