"","pval.Factor1","pval.Factor2","pval.Factor3","pval.Factor4","pval.Factor5","pval.Factor6","pval.Factor7","pval.Factor8","pval.Factor9","pval.Factor10","adj.pval.Factor1","adj.pval.Factor2","adj.pval.Factor3","adj.pval.Factor4","adj.pval.Factor5","adj.pval.Factor6","adj.pval.Factor7","adj.pval.Factor8","adj.pval.Factor9","adj.pval.Factor10","setstats.Factor1","setstats.Factor2","setstats.Factor3","setstats.Factor4","setstats.Factor5","setstats.Factor6","setstats.Factor7","setstats.Factor8","setstats.Factor9","setstats.Factor10"
"ZSCAN29",0.000984019824008291,0.000953170466866119,0.479571045245708,0.0178435984525405,1,0.221206459590565,1,1,0.47839204415073,0.664919414011945,0.00187615827890737,0.00177981388060842,0.811983297469435,0.0733441416912868,1,0.456103221240481,1,1,0.709185395661387,0.91698036834327,3.29597466642599,3.30492192461525,0.707017570524805,2.36921583154693,0,1.22339812426384,0,0,0.708916155144599,0.4331433486316
"ASCL1",0.000212681953555217,8.05318476820778e-15,0.0597977570930441,0.126129555582908,1,1,1,0.356183108062698,0.00249624963319081,1,0.000445919901547274,4.551487462746e-14,0.336128384607235,0.28412814478285,1,1,1,0.651629790184068,0.0216455618878052,1,3.70473730333183,7.77794656529602,1.88248283248352,1.52966438977257,0,0,0,0.922702655267604,3.02451663668573,0
"ATF3",0.0039505408173195,1.68632572493325e-11,1,0.000741075002255762,1,0.164809348892334,1,1,0.384519468593574,1,0.0069079898822189,6.71348543322481e-11,1,0.00808793924875685,1,0.389269842719579,1,1,0.638847306088536,1,2.88271471431937,6.73821773953824,0,3.37489618010017,0,1.38917259947567,0,0,0.869635103423604,0
"BARHL1",6.52104357070147e-05,0.000832698852543298,1,0.464523125723912,1,0.159887590128058,1,1,0.0203811313162894,1,0.000149558716675871,0.00157813884329314,1,0.651980351625801,1,0.384824503996428,1,1,0.102390921612787,1,3.99470745984534,3.34264613251633,0,0.731445610739552,0,1.40554799979388,0,0,2.31960425165188,0
"BATF::JUN",1,1,1,1,1,1,0.000323156694170017,1,1,1,1,1,1,1,1,1,0.000845281766155458,1,1,1,0,0,0,0,0,0,3.59717047850178,0,0,0
"BCL6",0.705509510324842,0.000121397862696463,1,1,1,1,1,0.527149236224099,0.132771528921201,0.733966979038445,0.754370810870988,0.000268688276527485,1,1,1,1,1,0.779638940490315,0.353721420095055,0.929202195462671,0.37790391965991,3.84471088031909,0,0,0,0,0,0.632384522433297,1.50337703864358,0.33986224611698
"CDX1",1,1,1,1,1,0.796603775485148,0.430847859954996,0.836401734875539,1,1,1,1,1,1,1,0.898938829393881,0.516517068158539,0.944934955517774,1,1,0,0,0,0,0,0.257751380171814,0.78777161346743,0.206503305632995,0,0
"E2F2",1.26481354456323e-09,0.00212973798679897,0.486664115613952,0.0889607596142877,0.144234030492018,0.005079883594116,1,1,0.00675033700096554,1,4.54901689607118e-09,0.00381904857122875,0.814969272972571,0.225248643343376,0.518391761148625,0.0357285146119492,1,1,0.0431612456728403,1,6.07721126529807,3.07227067219576,0.695648604387721,1.70106099191409,1.46031144016057,2.80250693095737,0,0,2.70944720415043,0
"E2F3",3.28235059563819e-10,0.0726863755949407,1,0.407073429301732,1,0.00942038589462137,1,1,0.0134468668584676,0.0673706570531331,1.23674281371367e-09,0.107501111569153,1,0.611326396041389,1,0.055729946460704,1,1,0.0721344637407625,0.70800828644061,6.29080586401846,1.79497301748878,0,0.829087622373488,0,2.59688142396881,0,0,2.47212270490025,1.82938013089634
"E2F4",7.27957777937137e-14,4.75583554025926e-06,1,0.0518665791551678,0.00251484607827736,0.00235699983648031,1,1,0.000529490803980288,0.954727886428403,3.65712121773181e-13,1.18056623411142e-05,1,0.157142485170934,0.122453659042274,0.0204380944724936,1,1,0.00577875308481935,0.990725823129802,7.49276067817208,4.57763934160458,0,1.94445790797065,3.02226884763723,3.04185245704994,0,0,3.46643562810496,0.0567719981262416
"EMX1",1,1,0.801728619279056,1,0.9825177570766,0.665888064671323,1,0.71176052134514,1,0.05992220989785,1,1,0.943652003394924,1,0.988861815050648,0.820052811161376,1,0.874221147340853,1,0.70800828644061,0,0,0.251116849582183,0,0.0219130108677142,0.431810271731262,0,0.369502558307285,0,1.8815662782641
"FOXD2",1,0.121960737904142,1,1,1,1,1,1,0.793766041293683,0.611214561527989,1,0.171558104651826,1,1,1,1,1,1,0.902079548928424,0.915432524412885,0,1.54671911581653,0,0,0,0,0,0,0.26142992779765,0.508355548864754
"GATA5",1,0.783342606317165,1,1,0.875358917577231,1,1,0.356114978549598,1,0.794177276607331,1,0.830579346396592,1,1,0.959828076747213,1,1,0.651629790184068,1,0.958167323147094,0,0.274972629770491,0,0,0.156859040829099,0,0,0.922833367568894,0,0.260896626431445
"GFI1",1,0.0173157177412647,0.793137762678128,0.885504558121018,0.804470419246038,1,1,1,1,1,1,0.0276091922675581,0.943652003394924,0.92802050544802,0.95719882590741,1,1,1,1,1,0,2.38030723291369,0.262244840604672,0.143998276625106,0.247571917101451,0,0,0,0,0
"GLI2",9.49394053647308e-15,6.87689326443884e-13,1,0.00118321808050627,1,0.205221988999804,1,1,1.25547876775176e-05,1,4.92595439310448e-14,3.13170750819409e-12,1,0.0111787618650816,1,0.436034895533777,1,1,0.000220755016663019,1,7.75697409123452,7.19074434972349,0,3.2437728805159,0,1.26689103814955,0,0,4.36978587560997,0
"GSX2",1,0.012353416071331,0.409964100926023,1,0.0622845314688572,1,1,0.626849525922413,1,0.522445556957849,1,0.0203638343050847,0.767773005580393,1,0.392350323403103,1,1,0.835359473492395,1,0.898533660123033,0,2.50231156084783,0.82398931738408,0,1.86446086881608,0,0,0.486180054798447,0,0.639601381704966
