,id_cp_interaction,interacting_pair,partner_a,partner_b,gene_a,gene_b,secreted,receptor_a,receptor_b,annotation_strategy,is_integrin
1574,CPI-SS0E4B1484B,ICOSLG_ICOS,simple:O75144,simple:Q9Y6W8,ICOSLG,ICOS,True,False,True,user_curated,False
1575,CPI-SS04B4619D0,TNF_TNFRSF1A,simple:P01375,simple:P19438,TNF,TNFRSF1A,True,False,True,user_curated,False
1576,CPI-SS084BE3E4B,LTA_TNFRSF1A,simple:P01374,simple:P19438,LTA,TNFRSF1A,True,False,True,user_curated,False
1577,CPI-SS0F9B3B259,TNFSF13_TNFRSF1A,simple:O75888,simple:P19438,TNFSF13,TNFRSF1A,True,False,True,"I2D,InnateDB-All",False
1578,CPI-SS08B7D54A3,TNF_FAS,simple:P01375,simple:P25445,TNF,FAS,True,False,True,InnateDB-All,False
1579,CPI-SS0A83A7E30,TNFSF13_FAS,simple:O75888,simple:P25445,TNFSF13,FAS,True,False,True,"I2D,InnateDB-All",False
1580,CPI-SS0E7D5974D,TNF_TNFRSF1B,simple:P01375,simple:P20333,TNF,TNFRSF1B,True,False,True,user_curated,False
1581,CPI-SS07D9A48A2,LTA_TNFRSF1B,simple:P01374,simple:P20333,LTA,TNFRSF1B,True,False,True,user_curated,False
1582,CPI-SS048A2311A,TNF_RIPK1,simple:P01375,simple:Q13546,TNF,RIPK1,True,False,True,"I2D,IMEx,InnateDB,InnateDB-All,IntAct,MINT",False
1583,CPI-SS0D5C54214,LTA_RIPK1,simple:P01374,simple:Q13546,LTA,RIPK1,True,False,True,"IMEx,InnateDB-All,MINT",False
1584,CPI-SS0DEDA3567,TNFSF10_RIPK1,simple:P50591,simple:Q13546,TNFSF10,RIPK1,True,False,True,InnateDB-All,False
1585,CPI-SS034B442CE,TNF_CELSR2,simple:P01375,simple:Q9HCU4,TNF,CELSR2,True,False,True,InnateDB-All,False
1586,CPI-SS03EF699C7,HLA-E_KLRC1,simple:P13747,simple:P26715,HLA-E,KLRC1,False,False,True,user_curated,False
1587,CPI-SS0C4FA643F,HLA-E_KLRC2,simple:P13747,simple:P26717,HLA-E,KLRC2,False,False,True,user_curated,False
1588,CPI-SS03339363E,HLA-E_KLRK1,simple:P13747,simple:P26718,HLA-E,KLRK1,False,False,True,user_curated,False
1589,CPI-SS0E256EFDF,HLA-G_CD177,simple:P17693,simple:Q8N6Q3,HLA-G,CD177,False,True,False,user_curated,False
1590,CPI-SS081AD39D7,PECAM1_CD177,simple:P16284,simple:Q8N6Q3,PECAM1,CD177,False,True,False,user_curated,False
1591,CPI-SS0EA96C304,CCK_CCKAR,simple:P06307,simple:P32238,CCK,CCKAR,True,False,True,user_curated,False
1592,CPI-SS003610FF9,CXCR3_CCL19,simple:P49682,simple:Q99731,CXCR3,CCL19,True,True,False,guidetopharmacology.org,False
1593,CPI-SS056BE1011,CCRL2_CCL19,simple:O00421,simple:Q99731,CCRL2,CCL19,True,True,False,user_curated,False
1594,CPI-SS098EFF959,CCR7_CCL19,simple:P32248,simple:Q99731,CCR7,CCL19,True,True,False,user_curated,False
1595,CPI-SS0F8C664D9,CXCR3_CCL20,simple:P49682,simple:P78556,CXCR3,CCL20,True,True,False,guidetopharmacology.org,False
