gene_name,uniprot,hgnc_symbol,ensembl
TRBV28,A0A5B6,TRBV28,ENSG00000282812
TRBV28,A0A5B6,TRBV28,ENSG00000211753
TRBV30,A0A0K0K1B3,TRBV30,ENSG00000237254
TRBV30,A0A0K0K1B3,TRBV30,ENSG00000282297
TRBV6-6,A0A0A6YYG2,TRBV6-6,ENSG00000282459
TRBV6-6,A0A0A6YYG2,TRBV6-6,ENSG00000211724
TRBV10-2,A0A0K0K1G8,TRBV10-2,ENSG00000282007
TRBV10-2,A0A0K0K1G8,TRBV10-2,ENSG00000229769
TRBV10-3,A0A0K0K1G6,TRBV10-3,ENSG00000282340
TRBV10-3,A0A0K0K1G6,TRBV10-3,ENSG00000275791
STXBP4,Q6ZWJ1,STXBP4,ENSG00000166263
TRAV27,A0A087WT01,TRAV27,ENSG00000211809
TRAV30,A0A087WSZ9,TRAV30,ENSG00000259092
TRAV8-1,A0A0A6YYK1,TRAV8-1,ENSG00000211782
TRAV8-3,A0A0A6YYJ7,TRAV8-3,ENSG00000211787
TRAV9-2,A0A087WT02,TRAV9-2,ENSG00000211793
TRAV12-1,A0A0B4J245,TRAV12-1,ENSG00000211785
TRBV14,A0A5B0,TRBV14,ENSG00000282252
TRBV14,A0A5B0,TRBV14,ENSG00000275743
TRBV29-1,A0A5B7,TRBV29-1,ENSG00000282628
TRBV29-1,A0A5B7,TRBV29-1,ENSG00000232869
TRBV2,A0A1B0GX68,TRBV2,ENSG00000282568
TRBV2,A0A1B0GX68,TRBV2,ENSG00000226660
TRBV6-8,A0A0A6YYG3,TRBV6-8,ENSG00000282134
TRBV6-8,A0A0A6YYG3,TRBV6-8,ENSG00000253534
TEX261,Q6UWH6,TEX261,ENSG00000144043
TEX264,Q9Y6I9,TEX264,ENSG00000164081
TXNDC16,Q9P2K2,TXNDC16,ENSG00000087301
TSNAXIP1,Q2TAA8,TSNAXIP1,ENSG00000102904
NME9,Q86XW9,NME9,ENSG00000181322
TXNIP,Q9H3M7,TXNIP,ENSG00000265972
MARS,P56192,MARS,ENSG00000166986
SYMPK,Q92797,SYMPK,ENSG00000125755
DCT,P40126,DCT,ENSG00000080166
SYNC,Q9H7C4,SYNC,ENSG00000162520
NARS,O43776,NARS,ENSG00000134440
SYNE4,Q8N205,SYNE4,ENSG00000181392
SYNDIG1,Q9H7V2,SYNDIG1,ENSG00000101463
SYNDIG1L,A6NDD5,SYNDIG1L,ENSG00000183379
NARS2,Q96I59,NARS2,ENSG00000137513
SYNPO,Q8N3V7,SYNPO,ENSG00000171992
SYNPR,Q8TBG9,SYNPR,ENSG00000163630
SYNPO2L,Q9H987,SYNPO2L,ENSG00000166317
ST20,Q9HBF5,ST20,ENSG00000180953
SUPT7L,O94864,SUPT7L,ENSG00000119760
TRPC1,P48995,TRPC1,ENSG00000144935
SULT1A2,P50226,SULT1A2,ENSG00000197165
SUCLG1,P53597,SUCLG1,ENSG00000163541
STX11,O75558,STX11,ENSG00000135604
STYXL1,Q9Y6J8,STYXL1,ENSG00000127952
STX18,Q9P2W9,STX18,ENSG00000168818
SUCLG2,Q96I99,SUCLG2,ENSG00000172340
SUGCT,Q9HAC7,SUGCT,ENSG00000175600
