,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
ZNF383,0.043372,no,yes,no,no,no,EVT_1,EVT_1_ZNF383
OSR2,0.447515,yes,no,no,no,no,EVT_1,EVT_1_OSR2
ELF4,0.282727,yes,yes,no,no,yes,EVT_1,EVT_1_ELF4
HLX,0.003452,no,yes,no,no,no,EVT_1,EVT_1_HLX
ID3,1.407995,yes,no,no,no,no,EVT_1,EVT_1_ID3
GTF3A,0.523632,no,yes,no,no,no,EVT_1,EVT_1_GTF3A
ERF,0.013658,no,yes,no,no,no,EVT_1,EVT_1_ERF
DLX5,0.638618,yes,no,no,no,no,EVT_1,EVT_1_DLX5
ARID5A,0.036754,no,yes,no,no,no,EVT_1,EVT_1_ARID5A
FOXN2,0.391971,yes,yes,no,no,yes,EVT_1,EVT_1_FOXN2
ZNF277,0.165967,no,yes,no,no,no,EVT_1,EVT_1_ZNF277
BATF2,0.004477,no,yes,no,no,no,EVT_1,EVT_1_BATF2
IKZF4,0.01891,no,yes,no,no,no,EVT_1,EVT_1_IKZF4
ZNF281,0.142764,no,yes,no,no,no,EVT_1,EVT_1_ZNF281
TSC22D1,1.026929,no,yes,no,no,no,EVT_1,EVT_1_TSC22D1
TBPL1,0.325918,yes,yes,no,no,yes,EVT_1,EVT_1_TBPL1
ZHX3,0.114616,no,yes,no,no,no,EVT_1,EVT_1_ZHX3
SP100,0.413207,yes,yes,no,no,yes,EVT_1,EVT_1_SP100
DMRTB1,0.0,no,yes,no,no,no,EVT_1,EVT_1_DMRTB1
ZNF396,0.003175,no,yes,no,no,no,EVT_1,EVT_1_ZNF396
NCOA1,0.533182,yes,no,no,no,no,EVT_1,EVT_1_NCOA1
ZGPAT,0.001257,no,yes,no,no,no,EVT_1,EVT_1_ZGPAT
DLX4,0.285579,yes,no,no,no,no,EVT_1,EVT_1_DLX4
ZNF658,0.026318,no,yes,no,no,no,EVT_1,EVT_1_ZNF658
ASCL2,1.090333,yes,no,no,no,no,EVT_1,EVT_1_ASCL2
STAT1,0.339504,yes,no,no,no,no,EVT_1,EVT_1_STAT1
ZNF224,0.057083,no,yes,no,no,no,EVT_1,EVT_1_ZNF224
ZNF32,0.071519,no,yes,no,no,no,EVT_1,EVT_1_ZNF32
ZC3H8,0.105838,no,yes,no,no,no,EVT_1,EVT_1_ZC3H8
ZBTB7A,0.074238,no,yes,no,no,no,EVT_1,EVT_1_ZBTB7A
RFX8,0.004087,no,yes,no,no,no,EVT_1,EVT_1_RFX8
GATAD2B,0.21475,no,yes,no,no,no,EVT_1,EVT_1_GATAD2B
ZNF469,0.000129,no,yes,no,no,no,EVT_1,EVT_1_ZNF469
DNAJC1,0.567249,yes,yes,no,no,yes,EVT_1,EVT_1_DNAJC1
TOX2,0.002371,no,yes,no,no,no,EVT_1,EVT_1_TOX2
ARNT,0.351561,yes,no,no,no,no,EVT_1,EVT_1_ARNT
ZNF300,0.019872,no,yes,no,no,no,EVT_1,EVT_1_ZNF300
ZNF22,0.212014,no,yes,no,no,no,EVT_1,EVT_1_ZNF22
DMRT1,0.001362,no,yes,no,no,no,EVT_1,EVT_1_DMRT1
GZF1,0.017748,no,yes,no,no,no,EVT_1,EVT_1_GZF1
FOS,2.393012,yes,no,no,no,no,EVT_1,EVT_1_FOS
ZNF606,0.014303,no,yes,no,no,no,EVT_1,EVT_1_ZNF606
NFKBIE,0.022754,no,yes,no,no,no,EVT_1,EVT_1_NFKBIE
