,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
ZNF91,0.703873,no,yes,no,no,no,iEVT,iEVT_ZNF91
E2F8,0.004996,no,yes,no,no,no,iEVT,iEVT_E2F8
DLX6,0.086215,yes,no,no,no,no,iEVT,iEVT_DLX6
MYBL2,0.009051,yes,no,no,no,no,iEVT,iEVT_MYBL2
FOSL1,0.004659,yes,no,no,no,no,iEVT,iEVT_FOSL1
FOXO1,0.418134,yes,no,no,no,no,iEVT,iEVT_FOXO1
TRPS1,0.090752,yes,yes,no,no,yes,iEVT,iEVT_TRPS1
ZBED2,0.000671,no,yes,no,no,no,iEVT,iEVT_ZBED2
RFX4,0.003957,no,yes,no,no,no,iEVT,iEVT_RFX4
MYC,0.063538,no,yes,no,no,no,iEVT,iEVT_MYC
ID1,0.480398,yes,no,no,no,no,iEVT,iEVT_ID1
PBX3,0.082013,yes,no,no,no,no,iEVT,iEVT_PBX3
RERE,1.391052,no,yes,no,no,no,iEVT,iEVT_RERE
ZNF649,0.020878,no,yes,no,no,no,iEVT,iEVT_ZNF649
ZNF396,0.002581,no,yes,no,no,no,iEVT,iEVT_ZNF396
ZNF354C,0.035509,no,yes,no,no,no,iEVT,iEVT_ZNF354C
TFDP1,0.254771,no,yes,no,no,no,iEVT,iEVT_TFDP1
ZNF516,0.033401,yes,no,no,no,no,iEVT,iEVT_ZNF516
NR4A2,0.019756,yes,no,no,no,no,iEVT,iEVT_NR4A2
ZNF568,0.06689,no,yes,no,no,no,iEVT,iEVT_ZNF568
ZNF267,0.095385,yes,no,no,no,no,iEVT,iEVT_ZNF267
ZNF440,0.402259,no,yes,no,no,no,iEVT,iEVT_ZNF440
ZHX1,0.033362,no,yes,no,no,no,iEVT,iEVT_ZHX1
STAT5B,0.215113,yes,no,no,no,no,iEVT,iEVT_STAT5B
ZNF714,0.150266,yes,yes,no,no,yes,iEVT,iEVT_ZNF714
FIZ1,0.020049,no,yes,no,no,no,iEVT,iEVT_FIZ1
PBX1,0.212231,yes,no,no,no,no,iEVT,iEVT_PBX1
ZNF431,0.273676,no,yes,no,no,no,iEVT,iEVT_ZNF431
DMRTC2,not_enough_cells_expr_limma,no,yes,no,no,no,iEVT,iEVT_DMRTC2
ZNF107,0.135437,no,yes,no,no,no,iEVT,iEVT_ZNF107
NONO,0.300575,yes,no,no,no,no,iEVT,iEVT_NONO
NPAS2,0.093208,yes,yes,no,no,yes,iEVT,iEVT_NPAS2
ZNF530,0.006024,no,yes,no,no,no,iEVT,iEVT_ZNF530
ZNF606,0.027293,no,yes,no,no,no,iEVT,iEVT_ZNF606
IRX4,0.001688,yes,no,no,no,no,iEVT,iEVT_IRX4
MYT1,0.001088,no,yes,no,no,no,iEVT,iEVT_MYT1
RCOR2,0.028767,yes,no,no,no,no,iEVT,iEVT_RCOR2
ZNF681,0.02873,no,yes,no,no,no,iEVT,iEVT_ZNF681
AHRR,0.085756,yes,no,no,no,no,iEVT,iEVT_AHRR
SOHLH1,0.000593,no,yes,no,no,no,iEVT,iEVT_SOHLH1
ZNF746,0.107836,no,yes,no,no,no,iEVT,iEVT_ZNF746
TONSL,0.015547,yes,yes,no,no,yes,iEVT,iEVT_TONSL
ZNF827,0.013117,yes,no,no,no,no,iEVT,iEVT_ZNF827
EGR1,0.182568,yes,no,no,no,no,iEVT,iEVT_EGR1
ZBTB46,0.071696,yes,no,no,no,no,iEVT,iEVT_ZBTB46
SP140,0.018216,no,yes,no,no,no,iEVT,iEVT_SP140
