,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DE_and_DA,cluster,ID
ZNF408,0.0,no,yes,no,no,eEVT,eEVT_ZNF408
ZNF827,0.068519,no,yes,no,no,eEVT,eEVT_ZNF827
ZNF548,0.010035,no,yes,no,no,eEVT,eEVT_ZNF548
VAX2,0.022318,yes,no,no,no,eEVT,eEVT_VAX2
ZBTB5,0.0791,no,yes,no,no,eEVT,eEVT_ZBTB5
ZNF18,0.043937,no,yes,no,no,eEVT,eEVT_ZNF18
HNF4G,0.067665,yes,no,no,no,eEVT,eEVT_HNF4G
GRHL1,1.825121,yes,yes,no,yes,eEVT,eEVT_GRHL1
ZNF624,0.082074,no,yes,no,no,eEVT,eEVT_ZNF624
BBX,0.973015,no,yes,no,no,eEVT,eEVT_BBX
SP5,0.03554,yes,no,no,no,eEVT,eEVT_SP5
ZNF212,0.164868,no,yes,no,no,eEVT,eEVT_ZNF212
ZNF502,0.045983,no,yes,no,no,eEVT,eEVT_ZNF502
MTF1,0.266352,no,yes,no,no,eEVT,eEVT_MTF1
ZNF507,0.162538,no,yes,no,no,eEVT,eEVT_ZNF507
ZNF251,0.274872,no,yes,no,no,eEVT,eEVT_ZNF251
ZIC4,0.0,no,yes,no,no,eEVT,eEVT_ZIC4
ZBTB17,0.194502,no,yes,no,no,eEVT,eEVT_ZBTB17
ZNF496,0.079491,no,yes,no,no,eEVT,eEVT_ZNF496
UBTF,0.180862,no,yes,no,no,eEVT,eEVT_UBTF
ELF4,0.507402,no,yes,no,no,eEVT,eEVT_ELF4
EBF1,0.135286,no,yes,no,no,eEVT,eEVT_EBF1
PRDM10,0.159052,no,yes,no,no,eEVT,eEVT_PRDM10
TFAP2E,0.0,no,yes,no,no,eEVT,eEVT_TFAP2E
ZNF69,0.24238,no,yes,no,no,eEVT,eEVT_ZNF69
ZNF347,0.127273,no,yes,no,no,eEVT,eEVT_ZNF347
ZNF76,0.344375,no,yes,no,no,eEVT,eEVT_ZNF76
KLF6,1.804696,yes,no,no,no,eEVT,eEVT_KLF6
ZNF264,0.216207,no,yes,no,no,eEVT,eEVT_ZNF264
RUNX2,0.220054,yes,no,no,no,eEVT,eEVT_RUNX2
ZNF672,0.047939,no,yes,no,no,eEVT,eEVT_ZNF672
ZNF790,0.216311,no,yes,no,no,eEVT,eEVT_ZNF790
ETV2,0.0,no,yes,no,no,eEVT,eEVT_ETV2
ZNF528,0.051691,no,yes,no,no,eEVT,eEVT_ZNF528
ZNF554,0.031329,no,yes,no,no,eEVT,eEVT_ZNF554
ZNF470,0.04196,no,yes,no,no,eEVT,eEVT_ZNF470
VENTX,0.0,no,yes,no,no,eEVT,eEVT_VENTX
ZNF675,0.203162,no,yes,no,no,eEVT,eEVT_ZNF675
ZNF345,0.374372,yes,yes,no,yes,eEVT,eEVT_ZNF345
ESRRA,0.816987,yes,no,no,no,eEVT,eEVT_ESRRA
TBPL1,0.180491,no,yes,no,no,eEVT,eEVT_TBPL1
MIXL1,0.01636,yes,no,no,no,eEVT,eEVT_MIXL1
ZNF44,0.18834,no,yes,no,no,eEVT,eEVT_ZNF44
ZNF555,0.053601,no,yes,no,no,eEVT,eEVT_ZNF555
ZNF74,0.0,no,yes,no,no,eEVT,eEVT_ZNF74
ZNF775,0.024583,no,yes,no,no,eEVT,eEVT_ZNF775
SCX,0.021786,no,yes,no,no,eEVT,eEVT_SCX
ZNF546,0.0,no,yes,no,no,eEVT,eEVT_ZNF546
ZNF674,0.124892,yes,yes,no,yes,eEVT,eEVT_ZNF674
GCM2,0.011312,yes,no,no,no,eEVT,eEVT_GCM2
PRDM15,0.222119,yes,yes,no,yes,eEVT,eEVT_PRDM15
ZBTB38,0.537841,no,yes,no,no,eEVT,eEVT_ZBTB38
ZSCAN29,0.097022,no,yes,no,no,eEVT,eEVT_ZSCAN29
ZNF146,0.18167,no,yes,no,no,eEVT,eEVT_ZNF146
TSHZ2,0.356847,yes,no,no,no,eEVT,eEVT_TSHZ2
ZNF343,0.0,no,yes,no,no,eEVT,eEVT_ZNF343
ZNF10,0.070195,no,yes,no,no,eEVT,eEVT_ZNF10
ZNF708,0.474493,yes,yes,no,yes,eEVT,eEVT_ZNF708
OTX1,0.0,no,yes,no,no,eEVT,eEVT_OTX1
ZNF70,0.0,no,yes,no,no,eEVT,eEVT_ZNF70
ZNF713,0.0,no,yes,no,no,eEVT,eEVT_ZNF713
ZNF585B,0.077078,yes,yes,no,yes,eEVT,eEVT_ZNF585B
TFAP2B,0.0,no,yes,no,no,eEVT,eEVT_TFAP2B
ZFPM1,0.035521,no,yes,no,no,eEVT,eEVT_ZFPM1
OLIG2,not_enough_cells_expr_limma,no,yes,no,no,eEVT,eEVT_OLIG2
PAX9,0.0,no,yes,no,no,eEVT,eEVT_PAX9
ZNF484,0.20185,yes,yes,no,yes,eEVT,eEVT_ZNF484
ZBTB8B,0.0,no,yes,no,no,eEVT,eEVT_ZBTB8B
ZFP42,0.018061,no,yes,no,no,eEVT,eEVT_ZFP42
ZIM3,not_enough_cells_expr_limma,no,yes,no,no,eEVT,eEVT_ZIM3
ZNF701,0.180202,no,yes,no,no,eEVT,eEVT_ZNF701
TOX4,0.139159,no,yes,no,no,eEVT,eEVT_TOX4
ARID1A,0.619567,no,yes,no,no,eEVT,eEVT_ARID1A
