,EVT_1,EVT_2,GC,VCT_CCC,eEVT,iEVT
ZNF431,0.1776882,0.24006914,0.2029975,0.2174203,0.5722241,0.27367643
BHLHE41,0.010773407,0.010041435,0.0,0.04913645,0.0,0.011708561
FOSL2,0.649686,0.7921053,0.65476054,0.37555018,0.24206778,0.7060627
ZBTB39,0.0070820297,0.013024226,0.0,0.013356447,0.0,0.009989273
THAP9,0.019605968,0.016268082,0.0,0.021640306,0.0,0.026813757
NFKB1,0.23863943,0.43950993,0.73330474,0.26924965,0.6181378,0.6100349
ZNF398,0.07000301,0.090119846,0.25535235,0.08274348,0.21759486,0.15315668
ZNF512,0.046360236,0.07228494,0.0,0.03712908,0.2894581,0.14440894
GLI3,0.31107172,0.49687815,0.44361892,0.51604,0.35019013,0.6861155
ETS2,0.4564693,0.76711524,0.5490552,0.41600162,0.29738286,0.762189
TFE3,0.035365008,0.059974987,0.044371255,0.085237056,0.1922492,0.059126977
POU2F3,0.0023842866,0.0028530387,0.0,0.02272994,0.0,0.0049719964
ZNF671,0.00840624,0.0067283777,0.0,0.009424321,0.050544742,0.014028989
NFE2L2,0.21214145,0.23691435,0.09301138,0.39632213,0.48355582,0.33555263
ZNF333,0.03279393,0.048729207,0.036520947,0.041348603,0.037803598,0.08566575
ZBTB48,0.035663318,0.050620455,0.12271571,0.030873926,0.036526848,0.052545026
ZNF529,0.043625742,0.07079353,0.106943056,0.06605854,0.028613133,0.09558906
ZNF189,0.018374806,0.023974506,0.0,0.028515764,0.0,0.020312486
ZSCAN16,0.0060036452,0.0045508,0.0,0.007612866,0.008723,0.0049809236
ZBTB21,0.037207622,0.07304695,0.18604931,0.07780077,0.118319705,0.103192315
ZNF260,0.051995635,0.04755607,0.1330412,0.062842436,0.20526351,0.07601321
ZNF439,0.19799578,0.23799318,0.49911162,0.16487476,0.4643785,0.32885063
ZBTB41,0.05653534,0.09479176,0.044371255,0.05619466,0.21942683,0.14388117
DMAP1,0.14681384,0.077211134,0.0,0.16784415,0.1678314,0.06986456
ELF2,0.35643253,0.47464,0.7564129,0.43225953,0.7880812,0.63939804
ZNF441,0.016669806,0.024262834,0.0,0.01572082,0.12900314,0.041077398
ZNF585B,0.013082764,0.013534204,0.0,0.017151915,0.07707802,0.019083079
TADA2A,0.11286065,0.11500103,0.23861484,0.15192007,0.25200307,0.15824409
EGR2,0.003988317,0.007302966,0.0,0.008999605,0.0,0.0036259168
HMGA1,0.8459706,0.27539882,0.13491154,1.1330842,0.08980351,0.10931317
VEZF1,0.09526568,0.09702316,0.05395142,0.11169395,0.10907335,0.12806639
ZNF768,0.030123608,0.043598495,0.0,0.051064227,0.049574953,0.042930312
PURA,0.20703503,0.27411732,0.4484278,0.25321212,0.188049,0.32756844
ZNF787,0.039030287,0.07687632,0.10064332,0.06569458,0.13865851,0.07827445
KLF12,0.014389344,0.031244894,0.036520947,0.019011166,0.06603508,0.022139704
ZNF502,0.0102153495,0.015461748,0.0,0.01863414,0.045983218,0.0162208
MYBL1,0.017591253,0.029895604,0.11059653,0.051314037,0.050320726,0.025018837
ZNF552,0.05282284,0.07270249,0.0,0.074423686,0.260883,0.07595908
ZNF791,0.11876853,0.17690815,0.085589625,0.139545,0.1764603,0.18475531
ZFP64,0.09229209,0.09456957,0.036520947,0.06851882,0.13351627,0.14091852
ZNF350,0.069960296,0.054474782,0.18117386,0.05629003,0.050251987,0.06778469
YBX3,0.2011853,0.25079858,0.24699442,0.6295617,0.44251022,0.2836574
SNAPC4,0.028644241,0.05561003,0.07235688,0.050168402,0.121141866,0.05925335
ZNF34,0.017505262,0.009894255,0.153114,0.014334148,0.086866245,0.025917541
RFX2,0.13820732,0.36596203,0.36282876,0.122323774,0.21434042,0.43972948
MAFK,0.07621229,0.23710696,0.28066224,0.18654598,0.36547586,0.32508767
ZNF362,0.03372263,0.040746965,0.0,0.079020575,0.07504512,0.043364223
GATA3,1.769772,1.8601835,2.1352544,1.5758756,2.1261022,2.1028817
SMARCA1,0.12206228,0.13576767,0.33253062,0.27843595,0.10057628,0.19878583
TP73,0.002534124,0.00754011,0.0,0.007199373,0.014172805,0.010052109
IRF6,0.09286094,0.07012214,0.0,0.25980955,0.08927553,0.051843777
ZNF264,0.06598212,0.09579741,0.14643247,0.08356601,0.21620655,0.10688347
ZNF358,0.020014668,0.038047813,0.0,0.038807582,0.0,0.04065086
GATAD1,0.10141249,0.11218464,0.077555686,0.18058473,0.19851068,0.1369732
ZNF558,0.023503609,0.030227713,0.0,0.038068045,0.050479535,0.02917102
ZNF484,0.021993667,0.03522036,0.036520947,0.018808192,0.2018496,0.051430035
ZNF267,0.0892226,0.10086259,0.116548516,0.09390582,0.08219981,0.09538488
RFX3,0.1800562,0.39165246,0.5998973,0.18165529,0.32985663,0.6091908
CNOT4,0.23998515,0.33325264,0.68832654,0.2908616,0.6486713,0.45705718
ZNF789,0.049440652,0.051899046,0.063614905,0.08226975,0.20499195,0.071603045
ZNF337,0.028095579,0.036334563,0.0,0.046769325,0.038766515,0.057842825
TONSL,0.034968782,0.027392128,0.044371255,0.072201736,0.024583293,0.015546688
ZFP69,0.011152659,0.008461058,0.09834926,0.010856121,0.0,0.009334524
PBRM1,0.3380855,0.5076438,0.4041983,0.40212792,0.78733426,0.67724556
ZFP14,0.026330635,0.035518195,0.063885026,0.04847744,0.044057894,0.03492866
ZBTB25,0.0707209,0.065254346,0.10221833,0.090415284,0.14598365,0.07831647
ZNF37A,0.029310977,0.03272812,0.0,0.045340408,0.030070638,0.026175719
ZNF354A,0.091396965,0.08649895,0.22493406,0.07476927,0.12911373,0.16046748
CREB3,0.22430663,0.115116574,0.0,0.17325796,0.12072875,0.13076174
FOXM1,0.075946026,0.041904803,0.068098865,0.10735379,0.0,0.011059386
ZBTB7C,0.014002703,0.025306702,0.0,0.12528676,0.013062594,0.027313776
ZNF16,0.027001744,0.03799729,0.04864013,0.042174295,0.030532539,0.038776547
STAT6,0.10315782,0.24964109,0.29409212,0.06494522,0.55517286,0.3169363
GLIS2,0.0048625767,0.0101611735,0.0,0.038501836,0.013062594,0.023373919
FOS,2.3930123,2.1816382,1.7361599,2.1380703,1.0542917,1.9641644
ZNF132,0.002279406,0.0006954845,0.0,0.0019569371,0.032605138,0.004689571
ZNF222,0.0052664285,0.002859372,0.0,0.0061495765,0.0,0.0009906106
ZNF557,0.03343523,0.03948965,0.044371255,0.040196344,0.09412413,0.04032944
ELK4,0.055848774,0.092450395,0.3219774,0.13181356,0.10856379,0.13055554
ZNF138,0.0808729,0.07898496,0.112953685,0.08390788,0.12297928,0.102096975
TFAM,0.26219082,0.12906876,0.100135855,0.33429456,0.09056175,0.09269133
ZNF573,0.05126989,0.055986438,0.0,0.04298263,0.22668616,0.123004675
PBX4,0.039631765,0.13955416,0.3479142,0.02001816,0.26780874,0.43739706
MIER2,0.09454695,0.14518565,0.18016142,0.12361992,0.14415953,0.19454758
