,EVT_1,EVT_2,GC,VCT,VCT_CCC,eEVT,iEVT
ETS2,0.73707175,1.2079406,0.6427557,0.216171,0.43303367,0.7746503,0.87965226
TFCP2L1,0.026108397,0.022468058,0.0231568,0.62676984,0.2800402,0.04015778,0.027081678
ZBTB37,0.104443066,0.12918532,0.11389556,0.20093228,0.12877974,0.10691643,0.09726837
TEAD3,0.82283705,0.7220529,0.5790503,0.58435524,0.60772526,0.86252356,0.64125276
ZNF595,0.28329185,0.20813417,0.18327382,0.37185374,0.32031202,0.2253442,0.14840972
ZNF423,0.121507876,0.20899954,0.07255712,0.0350734,0.08275036,0.67546415,0.15120815
HMGXB3,0.28470638,0.41636002,0.23882236,0.40679458,0.3514363,0.35017437,0.31116346
KLF10,0.07565618,0.09232338,0.28023714,0.08944507,0.07371549,0.13938002,0.13666272
ZNF280D,0.09596503,0.11010403,0.13684493,0.23065436,0.123930395,0.07363802,0.16569571
ARID5B,0.9582311,0.70448154,0.52040565,1.4769548,1.2791426,0.4805401,0.5782101
ZNF675,0.18542747,0.18726648,0.048648845,0.15287372,0.16218303,0.2624289,0.13856253
ZNF215,0.106885836,0.12646233,0.07178762,0.016529568,0.069357686,0.14907931,0.09449611
ZNF552,0.11534015,0.11594164,0.047630113,0.22564755,0.14609236,0.17176773,0.09370902
ZNF432,0.4350347,0.769791,0.16365579,0.24582703,0.22768429,0.48692816,0.41666982
GATA6,0.15712146,0.053837363,0.09267018,0.010307198,0.039922826,0.15222217,0.029121041
HMGXB4,0.34216017,0.23499328,0.22410698,0.33472085,0.38350835,0.3174791,0.2685788
SNAPC4,0.07929439,0.08775546,0.07940474,0.07003434,0.11617729,0.10591617,0.07578854
NR1D2,0.053125117,0.06274407,0.057324767,0.23237962,0.12851568,0.11567915,0.0842586
ESR2,0.44805387,0.37784225,0.15369639,0.46488062,0.40809113,0.44557044,0.40089947
JUND,0.42634565,0.5575249,0.76293445,0.3239602,0.37109175,0.46194392,0.5179879
NFE2L1,0.091588676,0.099667855,0.21652286,0.1014839,0.12508093,0.17299974,0.1366901
SFPQ,0.8718187,0.8249996,0.5833005,1.1760691,0.9898121,0.76417726,0.7359444
PBX3,0.2709938,0.14414184,0.041819286,0.1486156,0.257843,0.5429259,0.092539184
MEIS2,0.23082162,0.336902,0.16268545,0.8758609,0.33247477,0.2904275,0.28755784
AEBP2,0.9354726,0.8750759,0.580543,1.3947586,1.3353454,0.96209675,0.9005674
NONO,0.391145,0.28734827,0.2568821,0.31204727,0.40437233,0.26263493,0.25967962
TCF12,2.2373295,2.1696706,1.3601238,1.9858382,2.0578375,1.98206,2.113584
NCOR2,0.8496477,0.71582377,0.5966155,0.26928028,0.47874302,1.1623785,0.7609381
E2F6,0.076412685,0.043381143,0.1258564,0.09221006,0.073534854,0.050795507,0.044460658
GRHL1,1.2872374,1.0675253,0.64615226,0.7822474,0.8810916,1.2253935,1.1982554
NFKB1,0.6385414,0.9499939,0.57210493,0.4689971,0.6270234,0.7365474,0.79798585
ZNF407,1.0456662,1.0037152,0.5258424,1.1765447,1.0176342,0.92581713,0.8746895
ZNF445,0.047555193,0.05284127,0.101936206,0.124613,0.14909463,0.01568926,0.088249005
ZNF354A,0.112301156,0.1494004,0.13341776,0.17336178,0.11200882,0.12550913,0.14433448
FOXJ3,2.267106,2.4232464,1.7865113,1.3433166,1.4675356,2.4095113,2.4899733
HIVEP3,0.35917634,0.32307297,0.40985566,0.07334975,0.19885497,0.24816817,0.5916181
FOXK1,0.21448517,0.29792663,0.06601065,0.32947186,0.30381325,0.3935156,0.20445217
TOX,0.065706335,0.0505011,0.009436073,0.36009032,0.07621394,0.04612394,0.038964927
ZNF525,0.13879521,0.08866659,0.042877328,0.17350969,0.13680941,0.082800634,0.072077125
ARID4A,0.29100505,0.36395976,0.24145843,0.2889505,0.24432208,0.4247082,0.35410112
ZNF697,0.04851844,0.046886854,0.05206046,0.28554058,0.15462512,0.07767012,0.06014957
SMAD2,0.73946744,0.7348399,0.59096485,1.0403093,0.8230876,0.5926121,0.820346
ARNT,0.82778084,0.9849549,0.28012317,0.6330642,0.5448697,0.90441734,0.6351443
RBPJ,0.84489596,0.63478386,0.7218831,0.97199535,0.8380678,0.6659514,0.70132476
SREBF1,0.17576574,0.17575766,0.3626734,0.04754775,0.093099624,0.21495531,0.18974788
ZNF24,0.111867055,0.12158838,0.12504274,0.17871049,0.12949839,0.22427656,0.13351156
MAFK,0.20587769,0.2742445,0.34152028,0.25259548,0.25035378,0.37041828,0.3724295
MNT,0.106543235,0.11324902,0.058674756,0.05930905,0.11170512,0.14737919,0.12729102
ZNF780A,0.059175394,0.048881512,0.068097055,0.06910694,0.027719961,0.22088745,0.0544291
ZNF398,0.23575537,0.16034196,0.1970262,0.20701851,0.21794125,0.28446212,0.192085
MLXIP,0.061085977,0.096791685,0.23230714,0.055013284,0.04446206,0.03564909,0.22224493
IKZF4,0.06032719,0.025105344,0.0076447567,0.09168344,0.13676852,0.047065567,0.029796775
