,EVT_1,EVT_2,GC,VCT_CCC,eEVT,iEVT
ZNF316,-0.089193895,0.031928897,0.22926173,-0.01991544,0.24614443,0.12306448
EPAS1,-0.07609777,0.11248507,0.6231375,-0.58156246,0.5485887,0.5635613
HES4,0.0096346,-0.10887752,0.23601928,-0.30751222,1.9322765,0.3222054
KLF6,0.112093724,-0.07484429,-0.5117612,-0.09154394,0.25742453,-0.028587425
ZNF777,-0.0655141,-0.07135435,-0.29486266,-0.011682419,0.04796823,0.15190998
SCX,-0.08540702,0.0045214184,0.56830794,-0.020588856,0.15095632,0.1345106
ZNF248,-0.08942029,-0.08940659,0.63099366,-0.07325826,0.26118618,0.24797682
ELF4,0.05374522,-0.013881203,-0.3501221,-0.26603955,0.14552426,0.17638806
MLXIP,-0.19520476,-0.046901815,0.24156791,-0.14806005,-0.13948303,0.4466144
FOSB,0.042867176,0.04394627,-0.3724571,0.15574132,-0.78967017,-0.22483061
TBX19,-0.040077172,-0.024190929,-0.16745469,-0.10196735,0.42569128,0.16436568
RARA,0.031588525,-0.058369696,-0.05037381,-0.09304928,-0.11190518,0.07848476
SOX5,-0.116953835,0.09031641,0.6126763,-0.07343424,0.77274173,0.1686667
STAT1,0.18905808,-0.1279,-0.048105966,-0.31816405,-0.3645706,0.10499174
ZNF605,0.007971117,-0.0672859,-0.23005445,0.024611924,-0.0076985727,0.010356807
ZNF268,0.05097893,-0.074781105,-0.32974133,0.06434244,-0.11323334,-0.08185125
ZFP42,0.38799936,-0.26226142,-0.34824246,0.01346644,-0.5434203,-0.3964378
RELB,-0.08826096,-0.08313875,0.06581607,0.08724209,0.16778028,0.09864991
GLIS3,-0.2942463,-0.050049137,0.59712046,-0.2721973,-0.038488097,0.7024312
MGA,-0.16791157,-0.06508452,0.42534924,-0.022624535,0.87708336,0.29521945
ZNF664,0.00077827036,-0.11828169,-0.32627472,0.10397551,-0.11217784,-0.018111212
ZNF569,0.041524485,-0.015320762,0.020106982,-0.08545352,1.0177381,0.020636316
CREB3L2,-0.0480782,-0.022358008,-0.04290848,-0.21227148,0.8707661,0.27188003
ZNF426,0.07765988,-0.14223008,-0.13514653,0.10057108,0.13404737,-0.11310567
ZBTB24,0.1019276,-0.16014126,-0.18530692,0.07926571,-0.10135486,-0.11493111
ZNF148,-0.08070115,-0.12342947,0.22769725,-0.051088516,0.7127638,0.23555855
KLF7,-0.09677437,-0.019744841,0.2937459,-0.07515568,-0.09667152,0.22008257
EMX2,-0.0505293,0.01734619,-0.08686317,-0.045499485,0.17964432,0.05165473
PURA,0.026015373,-0.14557381,0.005933655,0.052276835,-0.2676747,0.009989204
JUNB,0.16524848,-0.17566255,-0.8402233,0.21590161,-0.7733678,-0.31294996
GATA2,0.32335582,-0.26688242,-0.24225245,-0.033477087,-0.27534947,-0.25998098
MIER2,-0.013075025,-0.10848476,-0.088295005,0.01058238,-0.052926607,0.07955006
PEG3,-0.18627521,-0.35584393,-0.5718301,0.8977011,-0.42090458,-0.3212748
ZNF468,0.070406646,-0.13009778,-0.39939502,0.082582876,0.020147579,-0.09171321
ZFP62,0.065581195,-0.121807404,-0.28819767,0.045102432,-0.045577586,-0.055771504
FOSL1,-0.034608457,-0.100135095,-0.19672887,0.294605,-0.19672884,-0.15377957
ZNF793,0.013255653,-0.05613294,-0.30699334,-0.05263276,1.0457479,0.05885056
CREB3,0.33042225,-0.3141971,-0.67454404,-0.0028187095,-0.3565896,-0.26507547
HOXC4,-0.0294098,-0.027563805,0.48406023,-0.020779453,-0.044602998,-0.017278183
ARID4B,0.015675718,-0.13897818,-0.0026116811,-0.08321096,0.45635948,0.13948406
SP100,0.2223815,-0.21543479,-0.20861752,-0.27340308,0.29355448,0.06794123
ZNF460,-0.037912063,-0.026137533,0.15309404,0.00019977342,-0.07207014,0.0708881
JUN,-0.21452817,-0.26430634,-0.63570595,0.7633015,-0.47263178,-0.21529649
IRX4,-0.072194,-0.18110836,-0.23149619,0.48308748,-0.056443483,-0.22159614
BCL3,0.010462391,-0.08170983,-0.29100263,-0.12041953,-0.06982423,0.14989002
JUND,-0.05705437,0.043922406,0.1638856,0.09574994,-0.3592448,-0.03205322
ZNF398,-0.05675895,-0.07411971,0.32909918,-0.049574524,0.40896088,0.16988127
ZNF384,-0.06775201,0.012161196,-0.20073855,-0.018040605,0.15003319,0.106128596
MXD4,0.046985414,-0.102050215,-0.026097862,-0.07251145,0.29777986,0.06225998
ZNF445,-0.11722415,-0.08611354,0.5614788,0.11617781,-0.021275342,0.11455756
ZNF674,-0.043985456,-0.062251836,0.18090813,-0.047124937,0.9163333,0.13854374
SNAI1,0.45265117,-0.24329646,-0.22585022,-0.21223356,-0.3892161,-0.29633474
BATF2,-0.0019313606,-0.0064504617,0.43802497,-0.07837112,-0.09319583,0.038633063
TCF25,0.34879065,-0.311356,-0.8991919,0.0067471894,0.20202713,-0.3051976
ZNF573,-0.0319177,-0.10147569,-0.31844106,-0.09420362,0.6711049,0.19398808
MAFG,-0.029031178,0.00082511996,-0.4559403,-0.08911213,0.18803713,0.12393175
ZBTB21,-0.09015158,-0.059227668,0.22638747,0.05672587,0.21859847,0.11281622
PRDM15,-0.069917805,-0.026958145,0.960604,0.03157577,1.219424,0.07466327
FOXO3,-0.03322105,-0.067437634,-0.096176766,-0.107231475,0.57565075,0.18556184
MYOD1,0.039093383,-0.049267646,-0.06634371,-0.057390556,-0.06634371,-0.05539013
FOXN3,-0.267063,-0.059601165,0.17310722,-0.15864874,0.42674214,0.5639065
ZNF736,-0.045358226,0.007650995,-0.262724,-0.08880371,1.0545033,0.13516296
PBX2,0.06617476,-0.17653102,-0.5449236,0.15593627,-0.17679192,-0.12089422
SMARCA1,-0.037208673,-0.21264905,0.02199493,0.24749804,-0.33118126,-0.034747753
MYCL,0.029642677,-0.13078538,-0.07568239,-0.00057350064,0.091818705,0.04146172
E2F3,0.0021776042,-0.12886374,-0.21728177,0.27668166,-0.022699604,-0.17305216
ZNF684,0.06497584,-0.06685629,-0.19244857,-0.046674363,0.36072987,-0.009527188
HMGA2,-0.029247329,-0.030701347,-0.07281179,-0.017588945,3.3963037,-0.02014565
ZNF611,-0.049410295,-0.08015335,-0.2733316,0.0083082,1.4679375,0.10511421
SOX4,0.35051355,-0.051434647,-0.2159305,-0.4112248,0.14085199,-0.09395074
ZNF787,-0.060256816,-0.012504859,0.057730537,0.03583578,0.3303674,0.059021514
ZNF524,0.14678591,-0.21450473,-0.22099793,0.1273588,-0.30734816,-0.18697639
THRB,-0.1420596,-0.0736354,0.5532544,-0.10860899,0.835081,0.34206474
IRX2,-0.08761757,-0.15069883,-0.43013683,0.18830234,-0.2559848,0.054122258
ZNF692,0.0025246213,-0.08195087,-0.39971006,0.051728074,0.68546975,-0.0016839377
PRDM2,-0.1539356,-0.045094017,-0.016889866,-0.12866153,0.7246598,0.36303118
PURB,-0.08594373,-0.10962309,-0.3066061,0.11046028,0.13839553,0.093148805
ZNF33B,0.04557893,-0.17164126,-0.27378443,0.018311497,0.17697756,0.027786924
ZNF441,-0.04641898,-0.0177274,-0.1837347,-0.05651697,0.7393857,0.12533493
ZNF7,0.058849663,-0.14752471,-0.26337993,0.03567323,0.15967642,-0.022629203
HES6,0.032041263,-0.095556065,-0.18266927,0.16988729,0.2599562,-0.1417255
ZNF260,0.03257141,-0.14365608,0.046305362,0.01388603,0.53069896,0.028262805
ZFP91,0.042852357,-0.15908907,-0.38260517,0.1432824,-0.31283027,-0.08671834
ZNF76,-0.037304606,-0.1498988,-0.327204,0.077830024,0.47829074,0.07646083
BARX2,-0.029596012,-0.16455743,-0.23653544,0.32982475,0.1846962,-0.1546836
KAT6A,-0.18489476,0.01013269,0.28222114,-0.2115086,0.98343664,0.44465053
ZNF142,-0.022428531,-0.013451302,0.07722331,0.04921487,0.94136626,-0.011829384
ZNF516,-0.05147814,0.07036721,-0.15933652,-0.0570688,0.21910942,0.08021705
ZNF451,-0.09876079,-0.030864,0.13321443,-0.090951785,1.0084153,0.23697956
ADNP2,-0.07188731,-0.03963858,-0.27419475,0.098411895,0.16222255,0.03873883
MAX,0.18106192,-0.28242224,-0.48379377,-0.008259145,0.33223563,-0.07180023
TBPL1,0.44612584,-0.29826653,-0.46076077,-0.0905937,-0.3344944,-0.3625012
ZNF540,-0.035426125,-0.010624575,-0.1766467,-0.0709612,0.79484874,0.117756896
ZNF319,-0.042538583,-0.067023374,-0.14563474,-0.005225683,-0.14563474,0.10939308
THAP5,0.06605042,-0.15362142,-0.30808008,0.13339776,0.048743706,-0.1176723
ZNF528,0.054533746,-0.024652401,0.17396791,-0.062994964,0.029112259,-0.0059675956
HSF4,-0.07078097,-0.007312,0.21433842,-0.08868511,0.3333633,0.1831196
BATF3,0.41469854,-0.15634003,-0.3711421,-0.189873,-0.48937875,-0.31651112
FOXM1,0.17555964,-0.18689999,-0.1977605,0.22702287,-0.38425002,-0.33706656
ZBED5,-0.003473371,-0.1694147,-0.015717244,0.16015118,0.06410226,-0.033687588
ZNF146,0.15282977,-0.23164959,-0.38028502,0.11009604,-0.2670186,-0.16831844
TCFL5,-0.044819094,-0.06179801,-0.19020586,-0.0023497902,0.027054416,0.10698247
KLF3,0.020316998,-0.17343785,0.011491406,0.14594094,0.49363226,-0.055709705
TAF1,-0.16649608,-0.0043465416,0.5967285,-0.08398989,0.6537951,0.31134418
ZNF33A,-0.04347141,-0.1747275,0.05976223,0.03839664,0.8241417,0.13280864
ELF1,0.010621894,-0.14012827,0.03911785,-0.061279126,0.76580524,0.12479649
GCM1,0.21271762,0.05162751,0.5125447,-0.6753336,0.72696894,0.27230826
