,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
ZNF699,0.135793,yes,yes,no,no,yes,eEVT,eEVT_ZNF699
HMG20B,0.195269,no,yes,no,no,no,eEVT,eEVT_HMG20B
MYF6,not_enough_cells_expr_limma,no,yes,no,no,no,eEVT,eEVT_MYF6
ZNF480,0.109009,no,yes,no,no,no,eEVT,eEVT_ZNF480
ZBTB48,0.036527,no,yes,no,no,no,eEVT,eEVT_ZBTB48
VEZF1,0.109073,no,yes,no,no,no,eEVT,eEVT_VEZF1
RBAK,0.0,no,yes,no,no,no,eEVT,eEVT_RBAK
ZC3H4,0.093264,no,yes,no,no,no,eEVT,eEVT_ZC3H4
ZNF414,0.119605,no,yes,no,no,no,eEVT,eEVT_ZNF414
THAP8,0.05594,no,yes,no,no,no,eEVT,eEVT_THAP8
ELF2,0.788081,no,yes,no,no,no,eEVT,eEVT_ELF2
ZFHX3,0.862932,no,yes,no,no,no,eEVT,eEVT_ZFHX3
IKZF1,0.167536,yes,no,no,no,no,eEVT,eEVT_IKZF1
ZNF512,0.289458,yes,yes,no,no,yes,eEVT,eEVT_ZNF512
ZNF236,0.388111,no,yes,no,no,no,eEVT,eEVT_ZNF236
ZNF611,0.896305,yes,yes,no,no,yes,eEVT,eEVT_ZNF611
ZNF446,0.021348,no,yes,no,no,no,eEVT,eEVT_ZNF446
BARHL2,not_enough_cells_expr_limma,no,yes,no,no,no,eEVT,eEVT_BARHL2
ZNF81,0.151863,no,yes,no,no,no,eEVT,eEVT_ZNF81
ZNF600,0.275973,yes,yes,no,no,yes,eEVT,eEVT_ZNF600
ZNF528,0.051691,no,yes,no,no,no,eEVT,eEVT_ZNF528
PBRM1,0.787334,no,yes,no,no,no,eEVT,eEVT_PBRM1
ZNF562,1.325516,yes,yes,no,no,yes,eEVT,eEVT_ZNF562
ZKSCAN5,0.014173,no,yes,no,no,no,eEVT,eEVT_ZKSCAN5
ZKSCAN2,0.0,no,yes,no,no,no,eEVT,eEVT_ZKSCAN2
ZNF782,0.091179,no,yes,no,no,no,eEVT,eEVT_ZNF782
ZNF322,0.134018,no,yes,no,no,no,eEVT,eEVT_ZNF322
ZNF112,0.0,no,yes,no,no,no,eEVT,eEVT_ZNF112
FOXJ3,2.441269,yes,yes,no,no,yes,eEVT,eEVT_FOXJ3
ZNF71,0.02174,no,yes,no,no,no,eEVT,eEVT_ZNF71
ELF1,1.583648,yes,yes,no,no,yes,eEVT,eEVT_ELF1
ZNF468,0.086771,no,yes,no,no,no,eEVT,eEVT_ZNF468
ZNF607,0.0,no,yes,no,no,no,eEVT,eEVT_ZNF607
ZBTB12,not_enough_cells_expr_limma,no,yes,no,no,no,eEVT,eEVT_ZBTB12
THAP3,0.030923,no,yes,no,no,no,eEVT,eEVT_THAP3
ZSCAN32,0.117342,yes,yes,no,no,yes,eEVT,eEVT_ZSCAN32
ARID4B,1.245276,no,yes,no,no,no,eEVT,eEVT_ARID4B
ZNF556,0.0,no,yes,no,no,no,eEVT,eEVT_ZNF556
ZNF552,0.260883,yes,yes,no,no,yes,eEVT,eEVT_ZNF552
ZNF701,0.180202,no,yes,no,no,no,eEVT,eEVT_ZNF701
ZNF362,0.075045,no,yes,no,no,no,eEVT,eEVT_ZNF362
ZNF845,0.086137,no,yes,no,no,no,eEVT,eEVT_ZNF845
ZNF90,0.066411,no,yes,no,no,no,eEVT,eEVT_ZNF90
KDM2A,0.929749,no,yes,no,no,no,eEVT,eEVT_KDM2A
ZNF689,0.008723,no,yes,no,no,no,eEVT,eEVT_ZNF689
ZNF276,0.119961,no,yes,no,no,no,eEVT,eEVT_ZNF276
ZNF518A,0.855985,no,yes,no,no,no,eEVT,eEVT_ZNF518A
ZSCAN9,0.107139,no,yes,no,no,no,eEVT,eEVT_ZSCAN9
ZNF829,0.054693,no,yes,no,no,no,eEVT,eEVT_ZNF829
ZNF501,0.011312,no,yes,no,no,no,eEVT,eEVT_ZNF501
MYCL,0.116897,no,yes,no,no,no,eEVT,eEVT_MYCL
ZGLP1,0.027454,no,yes,no,no,no,eEVT,eEVT_ZGLP1
DBP,0.0,no,yes,no,no,no,eEVT,eEVT_DBP
ZNF674,0.124892,yes,yes,no,no,yes,eEVT,eEVT_ZNF674
ZNF627,0.076845,no,yes,no,no,no,eEVT,eEVT_ZNF627
ZNF25,0.36692,yes,yes,no,no,yes,eEVT,eEVT_ZNF25
ZKSCAN8,0.091528,no,yes,no,no,no,eEVT,eEVT_ZKSCAN8
ZBTB46,0.207805,no,yes,no,no,no,eEVT,eEVT_ZBTB46
ZNF616,0.045515,no,yes,no,no,no,eEVT,eEVT_ZNF616
