,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
ZNF354C,0.022911,no,yes,no,no,no,EVT_1,EVT_1_ZNF354C
HOXB8,0.002532,yes,no,no,no,no,EVT_1,EVT_1_HOXB8
FOXP4,0.018957,no,yes,no,no,no,EVT_1,EVT_1_FOXP4
MXD1,0.042843,no,yes,no,no,no,EVT_1,EVT_1_MXD1
PPARA,0.088363,yes,no,no,no,no,EVT_1,EVT_1_PPARA
FOXJ3,0.698373,yes,no,no,no,no,EVT_1,EVT_1_FOXJ3
SMARCA5,0.303824,no,yes,no,no,no,EVT_1,EVT_1_SMARCA5
RFX8,0.004087,no,yes,no,no,no,EVT_1,EVT_1_RFX8
PRRX2,0.002926,no,yes,no,no,no,EVT_1,EVT_1_PRRX2
ATOH8,0.007824,yes,no,no,no,no,EVT_1,EVT_1_ATOH8
BATF2,0.004477,yes,yes,no,no,yes,EVT_1,EVT_1_BATF2
ZNF880,0.075531,yes,no,no,no,no,EVT_1,EVT_1_ZNF880
ETV4,0.102478,yes,no,no,no,no,EVT_1,EVT_1_ETV4
ZNF512,0.04636,yes,no,no,no,no,EVT_1,EVT_1_ZNF512
ZNF568,0.043173,yes,no,no,no,no,EVT_1,EVT_1_ZNF568
EPAS1,1.313567,yes,no,no,no,no,EVT_1,EVT_1_EPAS1
GRHL1,0.549887,yes,no,no,no,no,EVT_1,EVT_1_GRHL1
ETV3,0.044505,no,yes,no,no,no,EVT_1,EVT_1_ETV3
ZNF423,0.044959,yes,no,no,no,no,EVT_1,EVT_1_ZNF423
ZNF273,0.083422,yes,no,no,no,no,EVT_1,EVT_1_ZNF273
TEAD1,1.053341,yes,no,no,yes,yes,EVT_1,EVT_1_TEAD1
ZNF860,0.036562,yes,no,no,no,no,EVT_1,EVT_1_ZNF860
ZNF81,0.059137,yes,no,no,no,no,EVT_1,EVT_1_ZNF81
SHOX2,0.004187,yes,no,no,no,no,EVT_1,EVT_1_SHOX2
FOSL2,0.649686,yes,no,yes,yes,yes,EVT_1,EVT_1_FOSL2
TCF12,0.603587,yes,no,no,no,no,EVT_1,EVT_1_TCF12
TEAD3,0.414928,yes,no,no,yes,yes,EVT_1,EVT_1_TEAD3
DLX6,0.22531,yes,no,no,no,no,EVT_1,EVT_1_DLX6
GCM1,1.04193,yes,no,yes,no,yes,EVT_1,EVT_1_GCM1
IKZF4,0.01891,no,yes,no,no,no,EVT_1,EVT_1_IKZF4
TET1,0.389797,yes,no,no,no,no,EVT_1,EVT_1_TET1
OTX2,0.000599,yes,no,no,yes,yes,EVT_1,EVT_1_OTX2
ZNF570,0.052417,yes,no,no,no,no,EVT_1,EVT_1_ZNF570
LHX2,0.053763,yes,no,no,no,no,EVT_1,EVT_1_LHX2
ZNF124,0.147049,yes,no,no,no,no,EVT_1,EVT_1_ZNF124
ZNF208,0.084963,yes,no,no,no,no,EVT_1,EVT_1_ZNF208
ZNF484,0.021994,yes,no,no,no,no,EVT_1,EVT_1_ZNF484
ZGPAT,0.001257,no,yes,no,no,no,EVT_1,EVT_1_ZGPAT
FOS,2.393012,yes,no,no,yes,yes,EVT_1,EVT_1_FOS
ZBTB7B,0.067584,no,yes,no,no,no,EVT_1,EVT_1_ZBTB7B
FOXF2,0.005995,yes,no,no,no,no,EVT_1,EVT_1_FOXF2
ARNTL2,0.042484,no,yes,no,no,no,EVT_1,EVT_1_ARNTL2
ZNF438,0.131544,yes,no,no,no,no,EVT_1,EVT_1_ZNF438
ZNF790,0.059114,yes,no,no,no,no,EVT_1,EVT_1_ZNF790
REL,0.294641,yes,no,no,no,no,EVT_1,EVT_1_REL
STAT6,0.103158,yes,no,no,no,no,EVT_1,EVT_1_STAT6
ZNF407,0.269589,yes,no,no,no,no,EVT_1,EVT_1_ZNF407
KLF13,0.202324,yes,yes,no,no,yes,EVT_1,EVT_1_KLF13
ZNF202,0.01201,no,yes,no,no,no,EVT_1,EVT_1_ZNF202
ZNF281,0.142764,yes,yes,no,no,yes,EVT_1,EVT_1_ZNF281
PRRX1,0.006803,no,yes,no,no,no,EVT_1,EVT_1_PRRX1
ZNF169,0.03419,yes,no,no,no,no,EVT_1,EVT_1_ZNF169
HOXA1,0.003757,yes,no,no,no,no,EVT_1,EVT_1_HOXA1
SP140L,0.149859,yes,no,no,no,no,EVT_1,EVT_1_SP140L
ID3,1.407995,yes,no,no,no,no,EVT_1,EVT_1_ID3
ZNF518A,0.318836,yes,no,no,no,no,EVT_1,EVT_1_ZNF518A
RARB,0.007677,yes,no,no,no,no,EVT_1,EVT_1_RARB
NFKBIE,0.022754,no,yes,no,no,no,EVT_1,EVT_1_NFKBIE
ELK3,0.117519,yes,no,no,no,no,EVT_1,EVT_1_ELK3
ZNF490,0.038579,yes,no,no,no,no,EVT_1,EVT_1_ZNF490
POU6F2,0.069298,yes,no,no,no,no,EVT_1,EVT_1_POU6F2
CUX1,0.982738,yes,no,no,no,no,EVT_1,EVT_1_CUX1
SOX8,0.001942,yes,no,no,no,no,EVT_1,EVT_1_SOX8
ZNF383,0.043372,no,yes,no,no,no,EVT_1,EVT_1_ZNF383
HIVEP3,0.110968,yes,no,no,no,no,EVT_1,EVT_1_HIVEP3
KLF10,0.301595,yes,no,no,no,no,EVT_1,EVT_1_KLF10
HIF1A,0.400477,yes,no,no,no,no,EVT_1,EVT_1_HIF1A
HOXC9,0.052365,yes,no,no,no,no,EVT_1,EVT_1_HOXC9
ZNF813,0.080951,yes,no,no,no,no,EVT_1,EVT_1_ZNF813
TCF25,1.077977,yes,yes,no,no,yes,EVT_1,EVT_1_TCF25
TBX3,0.051109,no,yes,no,no,no,EVT_1,EVT_1_TBX3
BHLHE41,0.010773,no,yes,no,no,no,EVT_1,EVT_1_BHLHE41
ZNF350,0.06996,yes,no,no,no,no,EVT_1,EVT_1_ZNF350
NCOR2,0.337865,yes,no,no,no,no,EVT_1,EVT_1_NCOR2
ZNF571,0.033076,yes,no,no,no,no,EVT_1,EVT_1_ZNF571
YBX3,0.201185,no,yes,no,no,no,EVT_1,EVT_1_YBX3
HOXC6,0.01267,yes,no,no,no,no,EVT_1,EVT_1_HOXC6
HOXB2,0.090481,yes,no,no,no,no,EVT_1,EVT_1_HOXB2
