,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
PBX4,0.139554,no,yes,no,no,no,EVT_2,EVT_2_PBX4
KLF6,1.479854,yes,no,no,no,no,EVT_2,EVT_2_KLF6
NFKBIZ,0.453316,yes,yes,no,no,yes,EVT_2,EVT_2_NFKBIZ
ZFPM2,0.059813,no,yes,no,no,no,EVT_2,EVT_2_ZFPM2
SP140L,0.176938,no,yes,no,no,no,EVT_2,EVT_2_SP140L
ZNF423,0.083198,no,yes,no,no,no,EVT_2,EVT_2_ZNF423
KLF9,0.018158,no,yes,no,no,no,EVT_2,EVT_2_KLF9
ZNF445,0.034555,no,yes,no,no,no,EVT_2,EVT_2_ZNF445
MEOX2,0.010671,no,yes,no,no,no,EVT_2,EVT_2_MEOX2
SMAD2,0.404152,no,yes,no,no,no,EVT_2,EVT_2_SMAD2
ZNF467,0.000745,no,yes,no,no,no,EVT_2,EVT_2_ZNF467
ELF1,0.749878,no,yes,no,no,no,EVT_2,EVT_2_ELF1
ZNF70,0.003902,no,yes,no,no,no,EVT_2,EVT_2_ZNF70
ZNF740,0.015602,no,yes,no,no,no,EVT_2,EVT_2_ZNF740
FOXN3,0.759166,no,yes,no,no,no,EVT_2,EVT_2_FOXN3
YBX3,0.250799,no,yes,no,no,no,EVT_2,EVT_2_YBX3
SOX15,0.001376,no,yes,no,no,no,EVT_2,EVT_2_SOX15
ZNF316,0.063712,no,yes,no,no,no,EVT_2,EVT_2_ZNF316
SMAD3,0.341683,yes,yes,no,no,yes,EVT_2,EVT_2_SMAD3
STAT2,0.525595,no,yes,no,no,no,EVT_2,EVT_2_STAT2
KLF4,0.284685,yes,yes,no,no,yes,EVT_2,EVT_2_KLF4
SIX2,0.000451,no,yes,no,no,no,EVT_2,EVT_2_SIX2
GLIS3,0.461475,no,yes,no,no,no,EVT_2,EVT_2_GLIS3
BATF3,0.097623,no,yes,no,no,no,EVT_2,EVT_2_BATF3
ZNF81,0.099871,no,yes,no,no,no,EVT_2,EVT_2_ZNF81
PBX2,0.122664,no,yes,no,no,no,EVT_2,EVT_2_PBX2
FEV,not_enough_cells_expr_limma,no,yes,no,yes,no,EVT_2,EVT_2_FEV
