,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
ZNF777,0.045176,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF777
ZBTB48,0.030874,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_ZBTB48
ZNF793,0.042358,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF793
ZNF221,0.001397,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF221
HOXB4,0.040602,yes,no,no,no,no,VCT_CCC,VCT_CCC_HOXB4
PPP1R13L,0.371493,yes,no,no,no,no,VCT_CCC,VCT_CCC_PPP1R13L
CLOCK,0.153737,yes,no,no,no,no,VCT_CCC,VCT_CCC_CLOCK
ZXDB,0.013845,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZXDB
ZNF512,0.037129,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF512
HOXD11,0.000439,no,yes,no,no,no,VCT_CCC,VCT_CCC_HOXD11
NCOA2,0.556436,yes,no,no,no,no,VCT_CCC,VCT_CCC_NCOA2
ZNF678,0.095943,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF678
ZNF182,0.010637,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF182
TP63,0.264866,yes,no,no,no,no,VCT_CCC,VCT_CCC_TP63
ZNF90,0.281014,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF90
ZNF497,0.012154,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF497
RBAK,0.016533,no,yes,no,no,no,VCT_CCC,VCT_CCC_RBAK
PITX2,0.022873,yes,no,no,no,no,VCT_CCC,VCT_CCC_PITX2
LRRFIP1,0.719914,no,yes,no,no,no,VCT_CCC,VCT_CCC_LRRFIP1
ZNF765,0.104176,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF765
ZNF616,0.022592,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF616
IRF2,0.125003,yes,no,no,no,no,VCT_CCC,VCT_CCC_IRF2
CDC5L,0.270153,no,yes,no,no,no,VCT_CCC,VCT_CCC_CDC5L
SOX6,0.031082,yes,no,no,no,no,VCT_CCC,VCT_CCC_SOX6
ZNF341,0.040747,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF341
ARNTL,0.050044,yes,no,no,no,no,VCT_CCC,VCT_CCC_ARNTL
LHX4,0.016903,no,yes,no,no,no,VCT_CCC,VCT_CCC_LHX4
PHTF2,0.184089,yes,no,no,no,no,VCT_CCC,VCT_CCC_PHTF2
ZKSCAN7,0.000795,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZKSCAN7
ETV7,0.088855,no,yes,no,no,no,VCT_CCC,VCT_CCC_ETV7
ZFP90,0.036733,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZFP90
ZNF284,0.004131,yes,no,no,no,no,VCT_CCC,VCT_CCC_ZNF284
ARID4A,0.147489,no,yes,no,no,no,VCT_CCC,VCT_CCC_ARID4A
ELK4,0.131814,yes,no,no,yes,yes,VCT_CCC,VCT_CCC_ELK4
ZNF141,0.118117,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF141
ZNF319,0.007065,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF319
ZNF823,0.133562,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF823
ZKSCAN1,0.216047,yes,no,no,no,no,VCT_CCC,VCT_CCC_ZKSCAN1
NR1D2,0.068536,yes,no,no,no,no,VCT_CCC,VCT_CCC_NR1D2
MIER2,0.12362,yes,no,no,no,no,VCT_CCC,VCT_CCC_MIER2
INSM1,not_enough_cells_expr_limma,no,yes,no,no,no,VCT_CCC,VCT_CCC_INSM1
ESRRG,0.428947,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_ESRRG
THAP4,0.124306,no,yes,no,no,no,VCT_CCC,VCT_CCC_THAP4
ZNF655,0.179661,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF655
ZNF772,0.006557,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_ZNF772
POGZ,0.204795,no,yes,no,no,no,VCT_CCC,VCT_CCC_POGZ
ZNF75D,0.066535,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF75D
SATB1,0.000697,yes,no,no,no,no,VCT_CCC,VCT_CCC_SATB1
CREM,0.450445,yes,no,no,yes,yes,VCT_CCC,VCT_CCC_CREM
ZKSCAN8,0.038575,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZKSCAN8
ZNF79,0.021259,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF79
NR1H2,0.214816,yes,no,no,no,no,VCT_CCC,VCT_CCC_NR1H2
ATRX,0.541212,yes,no,no,no,no,VCT_CCC,VCT_CCC_ATRX
ZNF276,0.051656,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF276
TSC22D4,0.138811,yes,no,no,no,no,VCT_CCC,VCT_CCC_TSC22D4
ZNF444,0.066212,yes,yes,no,no,yes,VCT_CCC,VCT_CCC_ZNF444
ZNF436,0.018044,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF436
ZNF18,0.015012,no,yes,no,no,no,VCT_CCC,VCT_CCC_ZNF18
YBX2,0.001339,no,yes,no,no,no,VCT_CCC,VCT_CCC_YBX2
SNAI3,0.000381,no,yes,no,no,no,VCT_CCC,VCT_CCC_SNAI3
