,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
ZNF354C,0.089813,no,yes,no,yes,no,eEVT,eEVT_ZNF354C
ZNF568,0.157934,no,yes,no,no,no,eEVT,eEVT_ZNF568
ZHX1,0.04002,no,yes,no,no,no,eEVT,eEVT_ZHX1
FIZ1,0.051738,no,yes,no,no,no,eEVT,eEVT_FIZ1
ZNF431,0.572224,no,yes,no,no,no,eEVT,eEVT_ZNF431
ZNF606,0.053463,no,yes,no,no,no,eEVT,eEVT_ZNF606
HES5,0.218713,no,yes,no,yes,no,eEVT,eEVT_HES5
TSHZ2,0.356847,no,yes,no,no,no,eEVT,eEVT_TSHZ2
ZNF746,0.160053,no,yes,no,no,no,eEVT,eEVT_ZNF746
ZNF202,0.101185,no,yes,no,no,no,eEVT,eEVT_ZNF202
EGR1,0.034619,no,yes,no,yes,no,eEVT,eEVT_EGR1
RFX2,0.21434,yes,no,no,yes,yes,eEVT,eEVT_RFX2
ID2,0.286911,no,yes,no,no,no,eEVT,eEVT_ID2
ZBED6,0.0,no,yes,no,no,no,eEVT,eEVT_ZBED6
MLXIPL,0.048856,no,yes,no,yes,no,eEVT,eEVT_MLXIPL
EPAS1,2.731264,no,yes,no,no,no,eEVT,eEVT_EPAS1
ZNF268,0.049693,no,yes,no,no,no,eEVT,eEVT_ZNF268
HIF1A,0.881058,no,yes,no,yes,no,eEVT,eEVT_HIF1A
TFCP2L1,0.053942,no,yes,no,no,no,eEVT,eEVT_TFCP2L1
CREB1,0.356989,no,yes,no,yes,no,eEVT,eEVT_CREB1
ELK3,0.599618,no,yes,no,yes,no,eEVT,eEVT_ELK3
HAND2,0.0,no,yes,no,no,no,eEVT,eEVT_HAND2
ATF6B,0.204673,no,yes,no,no,no,eEVT,eEVT_ATF6B
USF1,0.281947,no,yes,no,no,no,eEVT,eEVT_USF1
ZBTB18,0.032125,no,yes,no,no,no,eEVT,eEVT_ZBTB18
FOSL2,0.242068,yes,no,no,no,no,eEVT,eEVT_FOSL2
MBD1,0.311234,no,yes,no,no,no,eEVT,eEVT_MBD1
ZNF224,0.135244,no,yes,no,no,no,eEVT,eEVT_ZNF224
ZNF653,0.0,no,yes,no,no,no,eEVT,eEVT_ZNF653
ZNF639,0.084327,no,yes,no,no,no,eEVT,eEVT_ZNF639
CREB5,0.161132,yes,no,no,no,no,eEVT,eEVT_CREB5
PITX2,0.022606,no,yes,no,no,no,eEVT,eEVT_PITX2
LRRFIP1,1.784224,no,yes,no,no,no,eEVT,eEVT_LRRFIP1
ZNF383,0.099294,no,yes,no,no,no,eEVT,eEVT_ZNF383
RCOR3,0.259708,no,yes,no,no,no,eEVT,eEVT_RCOR3
ZBTB7B,0.098668,no,yes,no,yes,no,eEVT,eEVT_ZBTB7B
MXD3,0.090526,no,yes,no,no,no,eEVT,eEVT_MXD3
FOXM1,0.0,no,yes,no,no,no,eEVT,eEVT_FOXM1
BACH1,0.564292,yes,no,no,no,no,eEVT,eEVT_BACH1
MXD1,0.180056,no,yes,no,no,no,eEVT,eEVT_MXD1
NFKBIZ,0.240567,no,yes,no,no,no,eEVT,eEVT_NFKBIZ
ZFHX4,0.0,no,yes,no,no,no,eEVT,eEVT_ZFHX4
ZNF263,0.0,no,yes,no,yes,no,eEVT,eEVT_ZNF263
SMARCA5,0.323824,no,yes,no,no,no,eEVT,eEVT_SMARCA5
ZBTB7A,0.460921,no,yes,no,yes,no,eEVT,eEVT_ZBTB7A
ZNF438,0.561511,no,yes,no,no,no,eEVT,eEVT_ZNF438
ZNF581,0.0,no,yes,no,no,no,eEVT,eEVT_ZNF581
INSM1,not_enough_cells_expr_limma,no,yes,no,yes,no,eEVT,eEVT_INSM1
ZNF281,0.04564,no,yes,no,no,no,eEVT,eEVT_ZNF281
GLI3,0.35019,yes,no,no,yes,yes,eEVT,eEVT_GLI3
NR5A1,not_enough_cells_expr_limma,no,yes,no,yes,no,eEVT,eEVT_NR5A1
ZNF436,0.068056,no,yes,no,no,no,eEVT,eEVT_ZNF436
RUNX2,0.220054,no,yes,no,yes,no,eEVT,eEVT_RUNX2
SNAI3,0.0,no,yes,no,no,no,eEVT,eEVT_SNAI3
FOXP4,0.068161,no,yes,no,no,no,eEVT,eEVT_FOXP4
