,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
PPP1R13L,0.272216,no,yes,no,no,no,EVT_2,EVT_2_PPP1R13L
CLOCK,0.180459,no,yes,no,no,no,EVT_2,EVT_2_CLOCK
ZXDB,0.009812,no,yes,no,no,no,EVT_2,EVT_2_ZXDB
HOPX,0.219714,yes,yes,no,no,yes,EVT_2,EVT_2_HOPX
FOSL2,0.792105,yes,no,no,no,no,EVT_2,EVT_2_FOSL2
ARNT2,0.019199,yes,yes,no,no,yes,EVT_2,EVT_2_ARNT2
ZNF182,0.020969,yes,no,no,no,no,EVT_2,EVT_2_ZNF182
PBX4,0.139554,yes,yes,no,no,yes,EVT_2,EVT_2_PBX4
CREB5,0.501722,yes,no,no,no,no,EVT_2,EVT_2_CREB5
ZNF497,0.00819,no,yes,no,no,no,EVT_2,EVT_2_ZNF497
RBAK,0.017946,yes,no,no,no,no,EVT_2,EVT_2_RBAK
TEAD4,0.023592,no,yes,no,no,no,EVT_2,EVT_2_TEAD4
TCF4,0.100422,yes,yes,no,no,yes,EVT_2,EVT_2_TCF4
ZIC3,not_enough_cells_expr_limma,no,yes,no,no,no,EVT_2,EVT_2_ZIC3
ZNF85,0.049747,no,yes,no,no,no,EVT_2,EVT_2_ZNF85
ZBTB7B,0.079106,yes,no,no,no,no,EVT_2,EVT_2_ZBTB7B
FOXJ1,0.00352,no,yes,no,no,no,EVT_2,EVT_2_FOXJ1
ARNTL,0.026922,no,yes,no,no,no,EVT_2,EVT_2_ARNTL
CSRNP1,0.190246,yes,yes,no,no,yes,EVT_2,EVT_2_CSRNP1
ISX,not_enough_cells_expr_limma,no,yes,no,no,no,EVT_2,EVT_2_ISX
PRDM14,0.000487,no,yes,no,no,no,EVT_2,EVT_2_PRDM14
HEYL,0.000747,no,yes,no,no,no,EVT_2,EVT_2_HEYL
NFKBIZ,0.453316,yes,yes,no,no,yes,EVT_2,EVT_2_NFKBIZ
ESR1,0.051141,no,yes,no,no,no,EVT_2,EVT_2_ESR1
ZFHX4,0.005583,no,yes,no,no,no,EVT_2,EVT_2_ZFHX4
ZNF273,0.044958,no,yes,no,no,no,EVT_2,EVT_2_ZNF273
IRX2,0.153623,yes,yes,no,no,yes,EVT_2,EVT_2_IRX2
PBX2,0.122664,yes,yes,no,no,yes,EVT_2,EVT_2_PBX2
ZKSCAN1,0.219658,yes,yes,no,no,yes,EVT_2,EVT_2_ZKSCAN1
