,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
ZNF71,0.025902,no,yes,no,no,no,iEVT,iEVT_ZNF71
DNAJC1,0.844464,no,yes,no,no,no,iEVT,iEVT_DNAJC1
ZBTB44,0.200667,no,yes,no,no,no,iEVT,iEVT_ZBTB44
ZKSCAN2,0.019765,no,yes,no,no,no,iEVT,iEVT_ZKSCAN2
AEBP2,0.678101,no,yes,no,no,no,iEVT,iEVT_AEBP2
GRHL2,1.227812,yes,no,no,no,no,iEVT,iEVT_GRHL2
ZNF226,0.029905,no,yes,no,no,no,iEVT,iEVT_ZNF226
CREB3,0.130762,no,yes,no,no,no,iEVT,iEVT_CREB3
PRDM4,0.115864,no,yes,no,no,no,iEVT,iEVT_PRDM4
MYT1L,0.021017,no,yes,no,no,no,iEVT,iEVT_MYT1L
ZNF573,0.123005,no,yes,no,no,no,iEVT,iEVT_ZNF573
DBP,0.004691,no,yes,no,yes,no,iEVT,iEVT_DBP
ZNF417,0.004696,no,yes,no,no,no,iEVT,iEVT_ZNF417
ZNF837,0.004503,no,yes,no,no,no,iEVT,iEVT_ZNF837
ZNF362,0.043364,no,yes,no,no,no,iEVT,iEVT_ZNF362
ZNF319,0.01978,no,yes,no,no,no,iEVT,iEVT_ZNF319
JDP2,0.044966,no,yes,yes,yes,no,iEVT,iEVT_JDP2
ZNF800,0.321632,no,yes,no,no,no,iEVT,iEVT_ZNF800
PBX4,0.437397,yes,no,no,no,no,iEVT,iEVT_PBX4
ZNF33B,0.241614,no,yes,no,no,no,iEVT,iEVT_ZNF33B
KLF6,1.499632,yes,no,no,no,no,iEVT,iEVT_KLF6
NFKBIZ,0.526491,yes,no,no,no,no,iEVT,iEVT_NFKBIZ
ARID2,0.541642,no,yes,no,no,no,iEVT,iEVT_ARID2
ZNF770,0.072202,no,yes,no,no,no,iEVT,iEVT_ZNF770
ZNF518B,0.082505,no,yes,no,no,no,iEVT,iEVT_ZNF518B
HOXD12,not_enough_cells_expr_limma,no,yes,no,no,no,iEVT,iEVT_HOXD12
KLF9,0.024619,no,yes,no,no,no,iEVT,iEVT_KLF9
ZNF445,0.067002,no,yes,no,no,no,iEVT,iEVT_ZNF445
HSF2,0.056714,no,yes,yes,no,no,iEVT,iEVT_HSF2
ZNF420,0.183656,no,yes,no,no,no,iEVT,iEVT_ZNF420
SMAD2,0.624167,yes,no,no,no,no,iEVT,iEVT_SMAD2
ZNF467,0.005473,no,yes,no,no,no,iEVT,iEVT_ZNF467
ZNF136,0.071001,no,yes,no,no,no,iEVT,iEVT_ZNF136
CDC5L,0.178997,no,yes,no,no,no,iEVT,iEVT_CDC5L
CNOT4,0.457057,no,yes,no,no,no,iEVT,iEVT_CNOT4
ELF1,0.946965,no,yes,no,no,no,iEVT,iEVT_ELF1
ZNF264,0.106883,no,yes,no,no,no,iEVT,iEVT_ZNF264
