,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
GATAD2A,0.397392,no,yes,no,no,no,EVT_1,EVT_1_GATAD2A
MTA1,0.049578,no,yes,no,no,no,EVT_1,EVT_1_MTA1
FOXJ3,0.698373,yes,no,no,no,no,EVT_1,EVT_1_FOXJ3
TCF7L2,1.647389,yes,no,no,no,no,EVT_1,EVT_1_TCF7L2
ELF4,0.282727,yes,yes,no,no,yes,EVT_1,EVT_1_ELF4
TBPL1,0.325918,yes,yes,no,no,yes,EVT_1,EVT_1_TBPL1
ZNF846,0.057253,yes,no,no,no,no,EVT_1,EVT_1_ZNF846
IRF9,0.078717,yes,no,no,no,no,EVT_1,EVT_1_IRF9
ETV3,0.044505,no,yes,no,no,no,EVT_1,EVT_1_ETV3
HEY1,0.290802,yes,no,no,no,no,EVT_1,EVT_1_HEY1
TGIF1,0.721475,yes,no,no,no,no,EVT_1,EVT_1_TGIF1
PPARG,1.256679,yes,no,no,no,no,EVT_1,EVT_1_PPARG
YBX3,0.201185,no,yes,no,no,no,EVT_1,EVT_1_YBX3
NCOA1,0.533182,yes,no,no,no,no,EVT_1,EVT_1_NCOA1
MTF1,0.146698,yes,no,no,no,no,EVT_1,EVT_1_MTF1
XBP1,0.90037,yes,no,no,no,no,EVT_1,EVT_1_XBP1
NR2C1,0.123551,no,yes,no,no,no,EVT_1,EVT_1_NR2C1
ZNF431,0.177688,no,yes,no,no,no,EVT_1,EVT_1_ZNF431
PRDM5,0.101558,yes,no,no,no,no,EVT_1,EVT_1_PRDM5
KAT6A,0.392434,yes,no,no,no,no,EVT_1,EVT_1_KAT6A
ZNF281,0.142764,no,yes,no,no,no,EVT_1,EVT_1_ZNF281
HDX,0.001176,no,yes,no,no,no,EVT_1,EVT_1_HDX
RFX3,0.180056,yes,yes,no,no,yes,EVT_1,EVT_1_RFX3
ETV4,0.102478,yes,no,no,no,no,EVT_1,EVT_1_ETV4
GRHL1,0.549887,yes,no,no,no,no,EVT_1,EVT_1_GRHL1
KLF10,0.301595,yes,no,no,no,no,EVT_1,EVT_1_KLF10
ZNF432,0.182749,yes,no,no,no,no,EVT_1,EVT_1_ZNF432
FOS,2.393012,yes,no,no,no,no,EVT_1,EVT_1_FOS
RCOR3,0.170913,no,yes,no,no,no,EVT_1,EVT_1_RCOR3
MBD1,0.119137,no,yes,no,no,no,EVT_1,EVT_1_MBD1
TSC22D3,0.432815,yes,no,no,no,no,EVT_1,EVT_1_TSC22D3
ERF,0.013658,no,yes,no,no,no,EVT_1,EVT_1_ERF
ZHX3,0.114616,yes,yes,no,no,yes,EVT_1,EVT_1_ZHX3
BHLHE41,0.010773,no,yes,no,no,no,EVT_1,EVT_1_BHLHE41
PRDM16,0.044835,yes,no,no,no,no,EVT_1,EVT_1_PRDM16
NCOR2,0.337865,yes,no,no,no,no,EVT_1,EVT_1_NCOR2
CEBPB,0.859611,yes,no,no,no,no,EVT_1,EVT_1_CEBPB
GZF1,0.017748,no,yes,no,no,no,EVT_1,EVT_1_GZF1
ATF1,0.394032,yes,no,no,no,no,EVT_1,EVT_1_ATF1
TFCP2L1,0.008302,no,yes,no,no,no,EVT_1,EVT_1_TFCP2L1
ZNF254,0.234804,yes,no,no,no,no,EVT_1,EVT_1_ZNF254
MYCN,0.534124,yes,no,no,no,no,EVT_1,EVT_1_MYCN
ZNF487,0.041968,no,yes,no,no,no,EVT_1,EVT_1_ZNF487
SP140,0.006026,no,yes,no,no,no,EVT_1,EVT_1_SP140
SOX4,1.125674,yes,no,no,no,no,EVT_1,EVT_1_SOX4
FIZ1,0.015816,no,yes,no,no,no,EVT_1,EVT_1_FIZ1
TET1,0.389797,yes,no,no,no,no,EVT_1,EVT_1_TET1
STAT1,0.339504,yes,no,no,no,no,EVT_1,EVT_1_STAT1
SP110,0.216516,yes,no,no,no,no,EVT_1,EVT_1_SP110
SPIC,0.000356,no,yes,no,no,no,EVT_1,EVT_1_SPIC
ZNF202,0.01201,no,yes,no,no,no,EVT_1,EVT_1_ZNF202
HIF1A,0.400477,yes,no,no,no,no,EVT_1,EVT_1_HIF1A
ARID4A,0.17092,yes,no,no,no,no,EVT_1,EVT_1_ARID4A
GATA3,1.769772,yes,no,yes,no,yes,EVT_1,EVT_1_GATA3
HES2,0.016492,no,yes,no,no,no,EVT_1,EVT_1_HES2
MXD3,0.025616,no,yes,no,no,no,EVT_1,EVT_1_MXD3
FOXO1,0.21879,yes,no,no,no,no,EVT_1,EVT_1_FOXO1
ZNF273,0.083422,yes,no,no,no,no,EVT_1,EVT_1_ZNF273
GATAD2B,0.21475,no,yes,no,no,no,EVT_1,EVT_1_GATAD2B
