,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
PATZ1,0.019592,no,yes,no,no,no,EVT_2,EVT_2_PATZ1
ZNF236,0.168095,yes,no,no,no,no,EVT_2,EVT_2_ZNF236
TFAP4,0.026498,yes,no,no,no,no,EVT_2,EVT_2_TFAP4
ZNF524,0.034445,yes,yes,no,no,yes,EVT_2,EVT_2_ZNF524
ZNF277,0.170534,yes,yes,no,no,yes,EVT_2,EVT_2_ZNF277
ZNF19,0.010274,no,yes,no,no,no,EVT_2,EVT_2_ZNF19
ZNF146,0.213336,yes,yes,no,no,yes,EVT_2,EVT_2_ZNF146
ZNF45,0.016428,yes,yes,no,no,yes,EVT_2,EVT_2_ZNF45
ZNF573,0.055986,yes,no,no,no,no,EVT_2,EVT_2_ZNF573
ESR2,0.133285,yes,no,no,yes,yes,EVT_2,EVT_2_ESR2
HOXB2,0.051186,yes,no,no,no,no,EVT_2,EVT_2_HOXB2
ZNF710,0.087512,yes,no,no,no,no,EVT_2,EVT_2_ZNF710
DMAP1,0.077211,yes,no,no,no,no,EVT_2,EVT_2_DMAP1
KAT6B,0.325951,no,yes,no,no,no,EVT_2,EVT_2_KAT6B
ZNF48,0.009637,no,yes,no,no,no,EVT_2,EVT_2_ZNF48
ZKSCAN4,0.008635,yes,yes,no,no,yes,EVT_2,EVT_2_ZKSCAN4
ZNF714,0.147805,yes,yes,no,no,yes,EVT_2,EVT_2_ZNF714
ZNF251,0.094804,yes,no,no,no,no,EVT_2,EVT_2_ZNF251
ZNF107,0.096933,yes,yes,no,no,yes,EVT_2,EVT_2_ZNF107
TFDP2,0.444578,yes,yes,no,no,yes,EVT_2,EVT_2_TFDP2
HOXC6,0.005097,yes,no,no,no,no,EVT_2,EVT_2_HOXC6
ZNF846,0.070285,yes,yes,no,no,yes,EVT_2,EVT_2_ZNF846
ZBED3,0.003731,no,yes,no,no,no,EVT_2,EVT_2_ZBED3
TSHZ2,0.071797,yes,no,no,no,no,EVT_2,EVT_2_TSHZ2
THAP1,0.037225,yes,no,no,yes,yes,EVT_2,EVT_2_THAP1
NFKBIL1,0.057727,yes,yes,no,no,yes,EVT_2,EVT_2_NFKBIL1
ZNF331,0.218072,yes,no,no,no,no,EVT_2,EVT_2_ZNF331
ZNF771,0.014683,no,yes,no,no,no,EVT_2,EVT_2_ZNF771
ZNF394,0.065719,yes,no,no,no,no,EVT_2,EVT_2_ZNF394
ZNF140,0.058692,yes,yes,no,no,yes,EVT_2,EVT_2_ZNF140
THAP9,0.016268,yes,yes,no,no,yes,EVT_2,EVT_2_THAP9
ZNF644,0.366456,yes,no,no,no,no,EVT_2,EVT_2_ZNF644
ZNF69,0.177645,yes,no,no,no,no,EVT_2,EVT_2_ZNF69
MYNN,0.064266,yes,no,no,no,no,EVT_2,EVT_2_MYNN
ZNF33B,0.170325,yes,yes,no,no,yes,EVT_2,EVT_2_ZNF33B
TADA2B,0.026051,no,yes,no,no,no,EVT_2,EVT_2_TADA2B
DMRT1,0.0,yes,no,no,no,no,EVT_2,EVT_2_DMRT1
ZNF781,0.004964,yes,no,no,no,no,EVT_2,EVT_2_ZNF781
SMAD7,0.038485,no,yes,no,no,no,EVT_2,EVT_2_SMAD7
POU2F1,0.430579,yes,no,no,no,no,EVT_2,EVT_2_POU2F1
ZNF354A,0.086499,yes,yes,no,no,yes,EVT_2,EVT_2_ZNF354A
PRDM5,0.123018,yes,no,no,no,no,EVT_2,EVT_2_PRDM5
SOX15,0.001376,yes,no,no,no,no,EVT_2,EVT_2_SOX15
HMGXB4,0.230839,yes,yes,no,no,yes,EVT_2,EVT_2_HMGXB4
DNAJC1,0.692687,yes,yes,no,no,yes,EVT_2,EVT_2_DNAJC1
NRL,0.011105,yes,yes,no,no,yes,EVT_2,EVT_2_NRL
ZNF93,0.133793,yes,no,no,no,no,EVT_2,EVT_2_ZNF93
ZNF347,0.035806,yes,no,no,no,no,EVT_2,EVT_2_ZNF347
ZNF776,0.013452,no,yes,no,no,no,EVT_2,EVT_2_ZNF776
ZFP42,0.106818,yes,yes,no,no,yes,EVT_2,EVT_2_ZFP42
ZNF860,0.031444,yes,yes,no,no,yes,EVT_2,EVT_2_ZNF860
ZNF784,0.011876,no,yes,no,no,no,EVT_2,EVT_2_ZNF784
NFKBIA,0.384384,no,yes,no,no,no,EVT_2,EVT_2_NFKBIA
ZNF131,0.37475,no,yes,no,no,no,EVT_2,EVT_2_ZNF131
ZSCAN16,0.004551,no,yes,no,no,no,EVT_2,EVT_2_ZSCAN16
ZFAT,0.594935,no,yes,no,no,no,EVT_2,EVT_2_ZFAT
ZNF416,0.002354,no,yes,no,no,no,EVT_2,EVT_2_ZNF416
MXD3,0.025335,no,yes,no,no,no,EVT_2,EVT_2_MXD3
ZBED4,0.145037,no,yes,no,no,no,EVT_2,EVT_2_ZBED4
ELF2,0.47464,yes,yes,no,no,yes,EVT_2,EVT_2_ELF2
ZNF34,0.009894,yes,yes,no,no,yes,EVT_2,EVT_2_ZNF34
