,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
EMX1,0.000135,no,yes,no,no,no,EVT_1,EVT_1_EMX1
ZFPM1,0.006484,yes,no,no,no,no,EVT_1,EVT_1_ZFPM1
MSX2,0.020805,yes,no,no,no,no,EVT_1,EVT_1_MSX2
ZFP62,0.034439,no,yes,no,no,no,EVT_1,EVT_1_ZFP62
ZBED6,0.001215,yes,no,no,no,no,EVT_1,EVT_1_ZBED6
KLF15,0.001649,no,yes,no,no,no,EVT_1,EVT_1_KLF15
TBX6,0.004223,no,yes,no,no,no,EVT_1,EVT_1_TBX6
ZNF697,0.018086,yes,no,no,no,no,EVT_1,EVT_1_ZNF697
IRX3,0.005773,no,yes,no,no,no,EVT_1,EVT_1_IRX3
RORA,0.055684,yes,no,no,yes,yes,EVT_1,EVT_1_RORA
MEF2D,0.044126,yes,yes,no,yes,yes,EVT_1,EVT_1_MEF2D
FOXD1,0.00027,yes,no,yes,yes,yes,EVT_1,EVT_1_FOXD1
ZNF786,0.025318,no,yes,no,no,no,EVT_1,EVT_1_ZNF786
TOX4,0.260524,yes,yes,no,no,yes,EVT_1,EVT_1_TOX4
ZNF493,0.056701,yes,yes,no,no,yes,EVT_1,EVT_1_ZNF493
ZNF599,0.020819,yes,yes,no,no,yes,EVT_1,EVT_1_ZNF599
KLF4,0.156906,yes,no,no,no,no,EVT_1,EVT_1_KLF4
ZNF2,0.012328,no,yes,no,no,no,EVT_1,EVT_1_ZNF2
PSPC1,0.772697,no,yes,no,no,no,EVT_1,EVT_1_PSPC1
ZNF460,0.011267,yes,yes,no,no,yes,EVT_1,EVT_1_ZNF460
ZNF502,0.010215,yes,yes,no,no,yes,EVT_1,EVT_1_ZNF502
MYOD1,0.002822,no,yes,no,no,no,EVT_1,EVT_1_MYOD1
TCF7L1,0.061099,yes,no,yes,yes,yes,EVT_1,EVT_1_TCF7L1
ZNF81,0.059137,no,yes,no,no,no,EVT_1,EVT_1_ZNF81
MNT,0.057942,yes,no,no,no,no,EVT_1,EVT_1_MNT
SFPQ,0.669417,yes,yes,no,no,yes,EVT_1,EVT_1_SFPQ
KLF6,1.142564,yes,yes,no,no,yes,EVT_1,EVT_1_KLF6
SMAD6,0.009101,yes,no,no,no,no,EVT_1,EVT_1_SMAD6
ARID2,0.287303,yes,no,no,no,no,EVT_1,EVT_1_ARID2
SMARCC1,0.700722,no,yes,yes,no,no,EVT_1,EVT_1_SMARCC1
ZNF432,0.182749,no,yes,no,no,no,EVT_1,EVT_1_ZNF432
FOXO6,0.009827,yes,no,no,no,no,EVT_1,EVT_1_FOXO6
PRDM4,0.058767,no,yes,no,no,no,EVT_1,EVT_1_PRDM4
ZBTB12,3.8e-05,no,yes,no,no,no,EVT_1,EVT_1_ZBTB12
ZNF14,0.01409,yes,yes,no,no,yes,EVT_1,EVT_1_ZNF14
ZNF777,0.029478,yes,yes,no,no,yes,EVT_1,EVT_1_ZNF777
FOXO4,0.031257,yes,no,no,no,no,EVT_1,EVT_1_FOXO4
ZBTB48,0.035663,no,yes,no,no,no,EVT_1,EVT_1_ZBTB48
TWIST1,0.010738,yes,no,no,yes,yes,EVT_1,EVT_1_TWIST1
KLF3,0.093347,yes,no,no,no,no,EVT_1,EVT_1_KLF3
ZNF793,0.049168,no,yes,no,no,no,EVT_1,EVT_1_ZNF793
HOXB4,0.034952,yes,no,no,no,no,EVT_1,EVT_1_HOXB4
PPP1R13L,0.202387,yes,yes,no,no,yes,EVT_1,EVT_1_PPP1R13L
ZBTB24,0.051559,no,yes,no,no,no,EVT_1,EVT_1_ZBTB24
ZXDB,0.006584,yes,yes,no,no,yes,EVT_1,EVT_1_ZXDB
ZNF512,0.04636,no,yes,no,no,no,EVT_1,EVT_1_ZNF512
HOPX,0.099438,yes,yes,no,no,yes,EVT_1,EVT_1_HOPX
NCOA2,0.432832,no,yes,no,no,no,EVT_1,EVT_1_NCOA2
ZNF678,0.077385,no,yes,no,no,no,EVT_1,EVT_1_ZNF678
ARNT2,0.012533,no,yes,no,no,no,EVT_1,EVT_1_ARNT2
ZNF182,0.009639,no,yes,no,no,no,EVT_1,EVT_1_ZNF182
TP63,0.026323,yes,no,yes,no,yes,EVT_1,EVT_1_TP63
ZNF639,0.039887,yes,no,no,no,no,EVT_1,EVT_1_ZNF639
CREB5,0.207475,yes,no,no,no,no,EVT_1,EVT_1_CREB5
