,EVT_1,EVT_2,GC,VCT,VCT_CCC,eEVT,iEVT
ZNF316,0.022623882,0.06371242,0.10887784,0.050318714,0.03771908,0.080554195,0.06866077
CEBPA,0.14068222,0.22147909,0.2097552,0.20685796,0.29983026,0.1185014,0.20887853
MYCN,0.53412426,0.6887188,0.7873697,0.07143573,0.1765693,1.7144908,0.5860573
SP6,0.0064863903,0.0043104333,0.10221833,0.2500073,0.11904241,0.03617732,0.00983974
MYC,0.18535,0.09594241,0.036520947,0.08057381,0.17279853,0.032124855,0.06353825
ZFX,0.1814095,0.25290692,0.4830119,0.6554701,0.36635846,0.38213348,0.3477001
SSRP1,0.31995854,0.14344104,0.0,0.38227624,0.4300974,0.036490593,0.107866436
ADNP,0.28009567,0.40027222,0.44911656,0.5411175,0.4009838,0.6985385,0.5293574
ZNF440,0.21236087,0.33102852,0.30601743,0.41855153,0.2650051,0.6283569,0.40225914
KAT7,0.08394586,0.09626412,0.0,0.1789617,0.13952942,0.23652443,0.09955952
LYAR,0.18463016,0.07829093,0.11252515,0.2054886,0.2240584,0.06693872,0.053130507
RELB,0.03420627,0.06973767,0.1330412,0.033067185,0.088042155,0.1491244,0.10199605
ZNF277,0.16596726,0.17053375,0.26774904,0.1536744,0.12836593,0.42339733,0.2605375
TFE3,0.035365008,0.059974987,0.044371255,0.10153042,0.085237056,0.1922492,0.059126977
FOSB,0.7087479,1.2124615,0.77162856,0.64756745,1.0591488,0.36256,0.88152564
KAT5,0.18844712,0.13075304,0.12773728,0.19399637,0.18860613,0.18854773,0.11219952
ETV5,0.08283221,0.111408524,0.07407559,0.4127174,0.24028043,0.11744201,0.13415384
GLIS3,0.24220385,0.46147522,1.1026291,0.32923886,0.22845554,0.3494243,1.0971822
PURB,0.06467835,0.11417553,0.073480226,0.14282714,0.13321581,0.15148439,0.15992676
NFKB2,0.07498754,0.108079225,0.063614905,0.03281839,0.08688488,0.089385524,0.11897653
CREB3L2,0.6834512,1.0804085,1.126022,0.6512139,0.7028481,2.0671983,1.3590482
BACH1,0.4065768,0.63993883,0.76535606,0.43028015,0.49584043,0.5642923,0.9724465
TCF3,0.08438224,0.13750394,0.063885026,0.061602745,0.10670887,0.32514668,0.24605833
ARID3B,0.15692373,0.24793588,0.38207406,0.39471713,0.25817707,0.7415991,0.3531344
ZNF714,0.15696287,0.14780457,0.11352691,0.21645248,0.16638933,0.23674367,0.15026563
NR3C1,0.28901437,0.32412395,0.5839872,0.6215319,0.3246857,0.19779922,0.44166785
GTF3A,0.523632,0.20556703,0.0,0.2765976,0.4288398,0.025082735,0.20031974
PHF5A,0.38183367,0.14769617,0.0,0.31293574,0.3344673,0.058628887,0.10139475
RORA,0.055684365,0.13349618,0.19018409,0.09829635,0.09206689,0.057120483,0.10022828
ZNF76,0.08569873,0.11601688,0.06891883,0.20006806,0.13900843,0.34437537,0.17696106
ZBTB7C,0.014002703,0.025306702,0.0,0.6154826,0.12528676,0.013062594,0.027313776
KDM5C,0.11403036,0.19983427,0.37357846,0.15775298,0.16126241,0.2642514,0.20820227
KLF4,0.15690637,0.28468552,0.0,0.16950648,0.35180005,0.0,0.20250675
ZNF260,0.051995635,0.04755607,0.1330412,0.068130545,0.062842436,0.20526351,0.07601321
REL,0.29464084,0.37085724,0.16647658,0.24591577,0.27519682,0.47250313,0.3821496
CNOT4,0.23998515,0.33325264,0.68832654,0.38285214,0.2908616,0.6486713,0.45705718
MLXIP,0.023222856,0.08239966,0.16956215,0.033301193,0.03530261,0.032083575,0.20338652
FOSL2,0.649686,0.7921053,0.65476054,0.15650755,0.37555018,0.24206778,0.7060627
SP140L,0.1498592,0.17693841,0.35528523,0.1250737,0.11957889,0.23398615,0.22786331
TFEB,0.018339524,0.010967825,0.0,0.27224317,0.19895005,0.022317788,0.012011056
ID4,0.035723556,0.053093,0.0,0.042275023,0.032088213,0.08878262,0.03424444
ZNF518A,0.31883577,0.52127993,0.3718269,0.6335136,0.33226195,0.8559852,0.567051
JUND,0.4525961,0.8939212,1.0465672,0.50189674,0.7412797,0.46295485,0.80582875
KLF6,1.1425636,1.4798542,1.1002494,0.43519372,1.1846724,1.8046963,1.4996325
PBX2,0.10581909,0.12266407,0.0,0.17722568,0.1634203,0.112757154,0.12587689
NFXL1,0.18022478,0.26816437,0.5223677,0.16989425,0.20222886,0.47246036,0.48729324
ELF1,0.57672054,0.7498777,0.9712906,0.63521427,0.6675276,1.5836477,0.94696504
THAP7,0.12269837,0.06508056,0.19074674,0.12953417,0.13778867,0.014172805,0.048889898
ELK4,0.055848774,0.092450395,0.3219774,0.17283517,0.13181356,0.10856379,0.13055554
CSRNP1,0.13443898,0.19024615,0.05395142,0.07940696,0.18660168,0.22071423,0.17215192
ZFHX3,0.32883522,0.5585048,1.1767789,0.7849896,0.58988315,0.86293226,0.96114486
LRRFIP1,1.1829767,1.1401011,1.233846,0.6546356,0.7199144,1.7842242,1.1487826
HIC2,0.26697642,0.3946851,0.1649373,0.4106269,0.41939726,0.747197,0.37237024
TSC22D2,0.28734294,0.43924984,0.94281477,0.5233108,0.44006512,0.4926121,0.6328311
BATF3,0.18218814,0.09762287,0.036520947,0.005840359,0.069858536,0.0,0.04793977
TCF4,0.04140179,0.10042247,0.11539775,0.061549224,0.066268355,0.15074529,0.120799005
GLIS2,0.0048625767,0.0101611735,0.0,0.007065089,0.038501836,0.013062594,0.023373919
RFX7,0.08186152,0.14995262,0.5036022,0.3450582,0.15508154,0.4226968,0.22843195
E2F3,0.1597957,0.17427343,0.20056759,0.19982801,0.31139314,0.20387068,0.13656977
SOX7,0.0013863469,0.0036574854,0.07235688,0.02903239,0.041479975,0.0,0.0030523976
