,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
TBX3,0.051109,no,yes,no,no,no,EVT_1,EVT_1_TBX3
ZNF407,0.269589,yes,no,no,no,no,EVT_1,EVT_1_ZNF407
ZNF569,0.046436,yes,no,no,no,no,EVT_1,EVT_1_ZNF569
ZSCAN20,0.012114,yes,no,no,no,no,EVT_1,EVT_1_ZSCAN20
ZNF277,0.165967,yes,yes,no,no,yes,EVT_1,EVT_1_ZNF277
REL,0.294641,yes,no,no,no,no,EVT_1,EVT_1_REL
TCF15,0.000433,no,yes,no,no,no,EVT_1,EVT_1_TCF15
ATF6,0.303584,yes,yes,no,no,yes,EVT_1,EVT_1_ATF6
BHLHE41,0.010773,no,yes,no,no,no,EVT_1,EVT_1_BHLHE41
YBX1,1.501556,yes,no,no,no,no,EVT_1,EVT_1_YBX1
ZNF91,0.317027,no,yes,no,no,no,EVT_1,EVT_1_ZNF91
ZBTB40,0.090652,yes,no,no,no,no,EVT_1,EVT_1_ZBTB40
MEIS2,0.112304,yes,no,no,no,no,EVT_1,EVT_1_MEIS2
ZNF208,0.084963,yes,no,no,no,no,EVT_1,EVT_1_ZNF208
ZNF573,0.05127,yes,no,no,no,no,EVT_1,EVT_1_ZNF573
ZNF562,0.196878,yes,no,no,no,no,EVT_1,EVT_1_ZNF562
DLX5,0.638618,yes,no,no,no,no,EVT_1,EVT_1_DLX5
HOXB2,0.090481,yes,no,no,no,no,EVT_1,EVT_1_HOXB2
NCOR2,0.337865,yes,no,no,no,no,EVT_1,EVT_1_NCOR2
DLX6,0.22531,yes,no,no,no,no,EVT_1,EVT_1_DLX6
FOXO1,0.21879,yes,no,no,no,no,EVT_1,EVT_1_FOXO1
ZGPAT,0.001257,no,yes,no,no,no,EVT_1,EVT_1_ZGPAT
ZNF22,0.212014,no,yes,no,no,no,EVT_1,EVT_1_ZNF22
PRRX2,0.002926,no,yes,no,no,no,EVT_1,EVT_1_PRRX2
ID1,1.122655,yes,no,no,no,no,EVT_1,EVT_1_ID1
TBX19,0.014146,yes,no,no,no,no,EVT_1,EVT_1_TBX19
ELF4,0.282727,yes,yes,no,no,yes,EVT_1,EVT_1_ELF4
RERE,0.624913,no,yes,no,no,no,EVT_1,EVT_1_RERE
ERF,0.013658,no,yes,no,no,no,EVT_1,EVT_1_ERF
ZNF649,0.04506,no,yes,no,no,no,EVT_1,EVT_1_ZNF649
ZNF396,0.003175,no,yes,no,no,no,EVT_1,EVT_1_ZNF396
