,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DE_and_DA,cluster,ID
DNMT3A,0.135658,yes,no,no,no,EVT_2,EVT_2_DNMT3A
FOXL1,not_enough_cells_expr_limma,no,yes,no,no,EVT_2,EVT_2_FOXL1
ZNF264,0.095797,yes,no,no,no,EVT_2,EVT_2_ZNF264
TOX3,0.005081,no,yes,no,no,EVT_2,EVT_2_TOX3
HIVEP1,0.201865,no,yes,no,no,EVT_2,EVT_2_HIVEP1
ZNF211,0.049964,yes,yes,no,yes,EVT_2,EVT_2_ZNF211
IRF1,0.248865,yes,no,no,no,EVT_2,EVT_2_IRF1
FOXP3,0.00197,no,yes,no,no,EVT_2,EVT_2_FOXP3
TCF7L1,0.13758,yes,no,no,no,EVT_2,EVT_2_TCF7L1
ZNF93,0.133793,no,yes,no,no,EVT_2,EVT_2_ZNF93
FOXQ1,0.001606,yes,no,no,no,EVT_2,EVT_2_FOXQ1
ZBTB40,0.16206,no,yes,no,no,EVT_2,EVT_2_ZBTB40
ZNF417,0.004197,no,yes,no,no,EVT_2,EVT_2_ZNF417
TSHZ1,0.043743,no,yes,no,no,EVT_2,EVT_2_TSHZ1
MAFF,0.268511,yes,no,no,no,EVT_2,EVT_2_MAFF
RREB1,0.777853,no,yes,no,no,EVT_2,EVT_2_RREB1
MEOX1,0.003233,no,yes,no,no,EVT_2,EVT_2_MEOX1
TFEB,0.010968,no,yes,no,no,EVT_2,EVT_2_TFEB
BNC1,0.002214,yes,yes,no,yes,EVT_2,EVT_2_BNC1
GCM1,1.269386,no,yes,no,no,EVT_2,EVT_2_GCM1
TCF7,0.142191,yes,no,no,no,EVT_2,EVT_2_TCF7
ZNF281,0.17142,yes,no,no,no,EVT_2,EVT_2_ZNF281
ZBED1,0.069164,yes,no,no,no,EVT_2,EVT_2_ZBED1
MEF2C,0.069899,yes,no,no,no,EVT_2,EVT_2_MEF2C
WT1,0.023865,yes,no,no,no,EVT_2,EVT_2_WT1
PKNOX2,0.004505,no,yes,no,no,EVT_2,EVT_2_PKNOX2
STAT6,0.249641,yes,yes,no,yes,EVT_2,EVT_2_STAT6
KLF5,0.555777,yes,no,no,no,EVT_2,EVT_2_KLF5
SMAD2,0.404152,no,yes,no,no,EVT_2,EVT_2_SMAD2
ZNF142,0.044572,no,yes,no,no,EVT_2,EVT_2_ZNF142
GLIS3,0.461475,no,yes,no,no,EVT_2,EVT_2_GLIS3
EBF1,0.076645,yes,yes,no,yes,EVT_2,EVT_2_EBF1
RELA,0.093973,no,yes,no,no,EVT_2,EVT_2_RELA
FOXC1,0.005675,yes,no,no,no,EVT_2,EVT_2_FOXC1
JUN,0.236815,yes,yes,no,yes,EVT_2,EVT_2_JUN
ZBTB43,0.136064,yes,yes,no,yes,EVT_2,EVT_2_ZBTB43
IKZF3,0.023411,no,yes,no,no,EVT_2,EVT_2_IKZF3
ZNF512B,0.038351,no,yes,no,no,EVT_2,EVT_2_ZNF512B
FOSL2,0.792105,yes,no,no,no,EVT_2,EVT_2_FOSL2
KLF11,0.034537,yes,yes,no,yes,EVT_2,EVT_2_KLF11
GATA6,0.06402,no,yes,no,no,EVT_2,EVT_2_GATA6
MEF2B,not_enough_cells_expr_limma,no,yes,no,no,EVT_2,EVT_2_MEF2B
