,EVT_1,EVT_2,GC,VCT_CCC,eEVT,iEVT
ZNF267,0.082552135,-0.08279746,-0.11324525,-0.0065379343,0.0037208584,-0.05910197
E2F5,-0.07529883,-0.08862162,-0.15762897,0.2416845,-0.15762897,-0.055569585
ZNF34,0.053385362,-0.1234943,0.47569904,-0.031185387,0.4298486,0.025309548
ZNF513,0.021837018,-0.018438919,-0.021674097,0.012025987,0.2517343,-0.03243419
ZNF737,-0.019277634,-0.025020372,-0.18377838,-0.028040323,-0.18377838,0.071879126
ZNF345,-0.08706039,-0.05766679,-0.32948148,-0.108811654,1.1061305,0.25541884
ZFP69,0.05191928,-0.065243505,0.3898775,0.0025153884,-0.14401822,-0.03714877
ZNF211,-0.006566609,-0.043929957,-0.29065695,-0.061875712,0.4482421,0.09251395
TP73,-0.04009474,-0.041455314,-0.0996019,0.010305265,0.17197704,0.04454561
FOSL2,0.26906228,0.020634452,-0.35979134,-0.41521376,-0.77797455,-0.011516288
NR4A1,-0.0055216504,-0.08805668,-0.35472736,0.32898748,-0.10590807,-0.23486614
ZNF687,0.008896515,-0.02060849,0.01261386,0.034230825,0.20140979,-0.032595724
ZXDC,-0.16544764,-0.081921756,-0.18705828,0.07383389,0.36392447,0.22105621
ZNF419,0.049123548,-0.03873679,-0.15641354,0.06201048,0.018782172,-0.10255948
FOXK1,-0.107307956,-0.034208816,-0.08505871,0.021135323,0.9101153,0.15046322
ZNF460,-0.03627646,-0.025562637,0.16946356,-0.012145895,-0.066116825,0.079375714
ZNF507,-0.08196544,-0.05459376,-0.08329306,0.088952914,0.20612998,0.07018719
ZNF587,0.018406097,-0.0768569,-0.10815835,-0.0017190193,0.30108246,0.022672256
ARID5B,0.2457697,-0.23983358,-0.5368907,0.08199901,-0.36483377,-0.26946104
PITX2,0.06160925,-0.06554578,0.105640374,0.03790484,-0.04938554,-0.08155368
THAP9,0.026654202,-0.07648856,-0.19968696,0.0049893092,-0.19968697,0.008698904
THAP8,0.104440585,-0.13713145,-0.24505271,0.03174504,0.05490681,-0.090580516
ZNF121,-0.04261312,-0.0526642,-0.22490203,0.08293584,1.6406529,0.007649615
E4F1,0.057038885,-0.10546973,-0.19001631,0.0056069423,0.50153226,-0.022385985
ZNF701,0.01478031,-0.11648895,-0.15552427,0.05973985,0.2859116,-0.0027294217
ZNF790,0.0034636413,-0.088796884,-0.3206767,-0.06098715,0.5362786,0.10553841
ESRRG,-0.15633315,-0.068027526,0.23317564,0.34738052,0.26306626,-0.05344549
ZKSCAN8,-0.08331866,-0.039883763,0.19187152,-0.030236663,0.34843233,0.16958396
ZNF629,-0.026013944,-0.020890411,-0.12186819,0.010805086,-0.1218682,0.036269896
MYC,0.27775437,-0.23263907,-0.44373834,0.09061103,-0.46905646,-0.3276922
ZNF816,0.08870922,-0.13418612,-0.18395132,0.055481344,-0.1839513,-0.09011597
ZNF226,0.12084875,-0.083128415,-0.3159767,0.027916979,-0.24049054,-0.1427096
ZNF579,-0.009473261,-0.04544892,-0.08393722,0.03526256,-0.08393722,-0.038354784
ZNF132,-0.02342933,-0.0443953,-0.064911604,-0.020152146,0.2945495,-0.0020082735
ZNF572,-0.023905918,-0.033496667,0.4581628,-0.0014403372,-0.071939185,-0.018363537
ZNF621,-0.056810502,-0.023802789,0.07541733,-0.00023994253,0.6385396,0.0919832
HOXA10,-0.042537693,-0.041520573,-0.07554081,0.01062548,-0.07554082,0.014101656
ZNF181,-0.00087014487,-0.040993474,-0.1288821,0.041999154,-0.1288821,-0.014361628
ZNF408,0.10479091,-0.06412558,-0.28006563,-0.011226067,-0.28006563,-0.09575436
ZFP3,-0.025596526,-0.023857564,-0.11011057,0.03266284,0.11882477,0.007428415
ZNF433,0.04021635,-0.08511551,-0.23358825,0.087502144,0.20194079,-0.08389733
GLIS3,-0.29736006,-0.051115908,0.6099821,-0.2865552,-0.026505914,0.7207276
