,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
ZNF687,0.0375,yes,yes,no,no,yes,EVT_2,EVT_2_ZNF687
MEIS3,0.005055,no,yes,no,no,no,EVT_2,EVT_2_MEIS3
FOXN1,not_enough_cells_expr_limma,no,yes,no,no,no,EVT_2,EVT_2_FOXN1
EPAS1,2.068286,yes,yes,no,no,yes,EVT_2,EVT_2_EPAS1
ZNF536,0.001538,no,yes,no,no,no,EVT_2,EVT_2_ZNF536
ZXDC,0.104834,no,yes,no,no,no,EVT_2,EVT_2_ZXDC
FOXC1,0.005675,yes,no,no,no,no,EVT_2,EVT_2_FOXC1
POGZ,0.216802,no,yes,no,no,no,EVT_2,EVT_2_POGZ
LYL1,0.004525,no,yes,no,no,no,EVT_2,EVT_2_LYL1
PRDM2,0.380979,yes,yes,no,no,yes,EVT_2,EVT_2_PRDM2
NFATC4,0.004828,no,yes,no,yes,no,EVT_2,EVT_2_NFATC4
GLIS2,0.010161,no,yes,no,no,no,EVT_2,EVT_2_GLIS2
CREB3L2,1.080408,yes,yes,no,no,yes,EVT_2,EVT_2_CREB3L2
WIZ,0.073669,yes,no,no,no,no,EVT_2,EVT_2_WIZ
TBX3,0.113832,yes,no,no,yes,yes,EVT_2,EVT_2_TBX3
SP110,0.216638,no,yes,no,no,no,EVT_2,EVT_2_SP110
TBX4,0.000548,no,yes,no,no,no,EVT_2,EVT_2_TBX4
NR4A3,0.019663,yes,no,no,no,no,EVT_2,EVT_2_NR4A3
NR1H3,0.031618,no,yes,no,no,no,EVT_2,EVT_2_NR1H3
TBX6,0.003895,no,yes,no,yes,no,EVT_2,EVT_2_TBX6
KLF2,0.112049,yes,no,no,no,no,EVT_2,EVT_2_KLF2
KMT2A,0.226663,yes,no,no,no,no,EVT_2,EVT_2_KMT2A
MYCN,0.688719,yes,no,no,no,no,EVT_2,EVT_2_MYCN
GATA5,0.000313,no,yes,no,no,no,EVT_2,EVT_2_GATA5
ZNF506,0.047195,yes,yes,no,no,yes,EVT_2,EVT_2_ZNF506
KDM5C,0.199834,yes,yes,no,no,yes,EVT_2,EVT_2_KDM5C
ETS2,0.767115,yes,no,no,yes,yes,EVT_2,EVT_2_ETS2
FOXL1,not_enough_cells_expr_limma,no,yes,no,no,no,EVT_2,EVT_2_FOXL1
NEUROD2,0.0,no,yes,no,yes,no,EVT_2,EVT_2_NEUROD2
IRX6,0.002937,no,yes,no,no,no,EVT_2,EVT_2_IRX6
ZFHX4,0.005583,no,yes,no,no,no,EVT_2,EVT_2_ZFHX4
KLF8,0.187592,no,yes,no,no,no,EVT_2,EVT_2_KLF8
ARNTL,0.026922,no,yes,no,no,no,EVT_2,EVT_2_ARNTL
