,ME
ZNF311,ME_3_artery_remodelling
ZNF615,ME_3_artery_remodelling
ZNF264,ME_3_artery_remodelling
NR3C2,ME_3_artery_remodelling
ZNF600,ME_3_artery_remodelling
ZNF142,ME_3_artery_remodelling
ZNF513,ME_3_artery_remodelling
ZNF587,ME_3_artery_remodelling
ZNF121,ME_3_artery_remodelling
ZNF132,ME_3_artery_remodelling
ZNF621,ME_3_artery_remodelling
RORA,ME_4_fusion
ZBTB6,ME_4_fusion
ZNF529,ME_4_fusion
ZNF546,ME_4_fusion
RFX2,ME_4_fusion
MECOM,ME_4_fusion
MLXIP,ME_4_fusion
FOXP1,ME_4_fusion
ZNF213,ME_4_fusion
LHX4,ME_4_fusion
BNC2,ME_4_fusion
KLF16,ME_4_fusion
ZNF460,ME_4_fusion
ZNF572,ME_4_fusion
GLIS3,ME_4_fusion
