,VCT_CCC,EVT_1,EVT_2,eEVT,iEVT,GC,Cluster
VEGFB,0.47015769067260543,-0.4904489782110011,-0.9172773333486143,-1.0538511793351555,0.10029515797939646,1.891124642242767,2
WNT6,2.2325073161113487,-0.4099575235532416,-0.40671252812569963,-0.5206496995606626,-0.3745378653110821,-0.5206496995606626,1
DLK1,-0.31493571478638815,-0.7814488558407364,-0.3494471023349496,-0.4672924453248634,-0.29236862918227247,2.2054927474692105,2
CPM,-1.416917209879766,-0.8778378750227738,-0.4938152847986198,0.4424303656762301,1.0506737963812256,1.2954662076437031,0
CD55,0.48046585687865123,1.6577278744222619,0.24236791955594605,-0.42589606175857125,-0.3175591938786163,-1.6371063952196685,7
ICAM3,0.14575380418752132,1.7861520652214387,-0.11476176024740317,0.052348248664008355,-0.21885331341799155,-1.6506390444075743,7
CD96,-0.48252989954591513,-0.7863296019416708,-0.476489705875511,2.136448007002297,-0.5703286623098244,0.17922986267062452,6
ENTPD1,-0.989335113662768,-0.9134577143254368,-0.5207882387243833,1.9480869320292629,0.2989868281889779,0.17650730649434745,6
EPHB2,-1.1433226751517762,-1.034885496839597,-0.5570969828863106,0.4710404090376471,0.6192280280366684,1.6450367178033691,0
NT5E,-1.2072283894919387,-1.191143848078106,-0.5039995905970518,1.1618660769892624,0.9209847475650809,0.8195210036127518,0
TIGIT,-0.0774588403244293,0.029963570932179683,0.622574429069269,-1.1487079183816193,1.722336677086218,-1.1487079183816193,4
IL1RAP,-1.6567959567183554,-0.9839870735514845,0.1267329627852898,0.6314596667997338,0.7177770424012537,1.164813358283564,0
VEGFA,1.0560395299859808,-0.344556800128188,0.9970449495177037,-1.069079601100849,0.7813173713779962,-1.4207654496526443,4
CCL7,-0.6853620126363332,1.7969557343352933,-0.6853620126363332,-0.6853620126363332,0.9444923162100395,-0.6853620126363332,5
EPHA2,2.1285889269303935,-0.5726882433352949,-0.4794201079083516,0.22741311022241895,-0.5829989588316316,-0.7208947270775351,1
CDH2,1.9999372403735736,-0.501116097900302,-0.012378234919310428,-0.9062680790562395,0.32609325055851884,-0.9062680790562395,1
KLRB1,0.9166885129860034,-0.17375694224522506,0.15104578602479626,-1.1961644254784027,1.4983514941912315,-1.1961644254784027,4
LRPAP1,2.007458180622939,0.3125534868303436,-0.6275894663444405,-1.1007520477498198,-0.510149771509763,-0.08152038184925929,1
MC1R,1.0130709883634388,-0.4275837148020653,0.3102854872662674,0.9945608630749252,0.034310176184651146,-1.9246438000872172,3
RARRES2,0.7551408542464119,-0.01929680560991056,0.66548202847027,-1.316809816477133,1.2322935558474961,-1.316809816477133,4
EFNA1,-0.36723791807656975,1.4702712135071911,-0.15613126020274506,-1.6150686225508408,-0.3168360370127183,0.9850026243356851,5
ERBB2,-1.4738060473495245,-0.9327635676464585,-0.04518007123843108,1.58845570801236,0.258475340022565,0.6048186381994893,0
WNT9A,1.7522181625757178,-0.5115541649448005,0.1609805912391763,-1.0427233210191822,0.6838020531682711,-1.0427233210191822,1
LILRB5,0.26597796576232996,-0.5505470735625686,-0.45704182770304425,1.0124654421086927,1.3402927499350203,-1.6111472565404303,3
VSIR,0.11904775893492973,1.950397084732373,0.06141310334555871,-1.2044583660327233,-0.8493210320523494,-0.07707854892778881,5
DSC3,2.2007881609311095,-0.2013551631616637,-0.2308351010023468,-0.5516749219335515,-0.5138392323982439,-0.7030837424353038,1
CCL14,-0.9150951444222768,0.7720991955153429,0.2992309516658578,-0.9150951444222768,1.6739552860856295,-0.9150951444222768,4
ROBO1,0.4755120009261951,-0.8083434370381519,-0.7495417347279768,1.081935871792536,-1.3013325569961955,1.3017698560435935,2
CYP19A1,-0.39071408288292137,-1.150959613683611,-0.255924457271534,-0.10728700391364164,-0.19458246704867987,2.0994676248003885,2
SEMA4D,0.49730861405405696,-1.6034354335510095,-0.07766924165381818,-0.25696633697235316,-0.2973900422942526,1.7381524404173745,2
NTS,0.23662414432201828,0.1316929795949458,1.8104601034891525,-1.1478717439325616,0.11696626045900677,-1.1478717439325616,4
CD276,-2.0511155975412008,0.36187278423346664,-0.048704486652337425,1.229445091631697,0.15735351580522927,0.3511486925231473,0
ABCA1,-1.074686755084807,-1.3047310320267456,-0.5061265012199002,0.9836481418567659,1.185887570032489,0.7160085764421978,0
UNC5B,-0.24827055554380129,-0.4489921780439545,-0.2595048279959616,2.1019377623136903,-0.026885893570684813,-1.1182843071592872,6
TNFSF14,-0.4970235133681504,-0.07827933282724718,0.5135819631403561,-0.9352683848777172,1.9322576528104765,-0.9352683848777172,4
PPIA,0.68930814390236,1.5835074970946603,-0.1610926649831462,-1.659335621587945,-0.4866601610363326,0.034272806610405396,5
RNASET2,0.3791524191097163,1.4093207874477534,0.14046608720588322,-0.8631655185565069,0.5934647575571179,-1.6592385327639634,7
AGRN,-1.0683450536410837,-1.6083021012963477,0.13059036494951134,1.0897666410760392,0.787168472349007,0.6691216765628756,0
ADM,-0.4475435913374977,1.1035812249062578,0.7526852936505924,-1.8567103667727094,0.70750085701936,-0.25951341746600143,5
ERBB3,0.023150200479084972,0.23471750219118787,0.539861265978567,-0.49263346845506445,1.4850865511922642,-1.790182051386039,4
ROBO2,-0.508679737510355,-0.46678207877347444,-0.36479549073021444,2.1754310970228885,-0.02450574697507838,-0.810668043033767,6
EPHA7,0.9037940971453277,-0.48612828037114053,-0.02799601098857111,-1.0331652312920458,1.6766606567984752,-1.0331652312920458,4
PGR,-0.6511361578911777,-0.6753786675089012,-0.37632412300268125,-0.08559302360139151,-0.40418589494124735,2.1926178669453997,2
CXCL14,-0.2898456321252578,-1.0380569027380575,0.3428090270088014,1.543453236991949,0.76551594256246,-1.3238756716998932,6
VLDLR,0.412617032123875,0.7157996572053797,0.35649677643050465,-1.7895876286552495,1.1375403677132376,-0.832866204817747,4
GFRA2,0.478144584486026,0.24745760462556224,0.6536841237519377,-1.339979499686726,1.3006726865099265,-1.339979499686726,4
PVR,-0.9546301106470189,-0.2211290521340239,0.24015631967510154,-0.1319841271515878,2.0161594077195204,-0.9485724374619915,4
LTA,0.9576824046368396,-0.332091871158351,-0.79375667151486,-0.79375667151486,1.755679481066091,-0.79375667151486,4
HLA-G,-1.9657212351954099,0.23176317936159435,0.2216335816524823,-0.17191009964243822,0.30117908457857284,1.3830554892451967,0
TGFA,-0.34790029827746616,0.5837959815220259,0.2619072493796918,-1.1134705582520485,1.7291381838798459,-1.1134705582520485,4
LGALS3,0.28670248985077856,1.5714705879006805,-0.05385529194287717,-1.8450794244740305,0.16221283792414645,-0.12145119925869935,5
CXCL10,0.871842063438871,-0.5175941608630994,-0.06907685233583748,-1.0024441612658344,1.7197172722917347,-1.0024441612658344,4
TNFRSF1A,0.10764102618211278,1.3381807381489466,-0.45422315780471045,-1.8920590482489414,0.5052988091363236,0.39516163258626674,5
RELN,-0.1406378322505575,-0.11077499378925018,0.49254112908381603,-1.0555660127932878,1.870003722542567,-1.0555660127932878,4
CDH5,0.998681395371521,0.28662473946131434,-0.07247422104174965,1.305712527747632,-1.1199686683523042,-1.3985757731864132,7
CD47,2.1416507107182947,0.1760679314227857,-0.6851678550438673,-0.6343778032079315,-0.4207683039779435,-0.5774046799113389,1
PTPRC,-0.29997343492855366,-0.5978181771921484,-0.11369414612646536,2.1312700531866895,-0.1295245526828148,-0.9902597422567071,6
OPRK1,-0.42920611956002097,1.732632115883474,0.5750090063872367,-1.0928640480910152,0.30729309347134065,-1.0928640480910152,5
LILRA4,-0.44721359549995787,2.2360679774997894,-0.44721359549995787,-0.44721359549995787,-0.44721359549995787,-0.44721359549995787,5
CXCL2,2.1477403285036885,-0.35660363297710024,-0.17608302852703836,-0.7831552192941026,-0.048743228411345006,-0.7831552192941026,1
CCL13,-0.032562749492749725,0.15948063298822066,1.1070099960492181,-1.2519943768803392,1.2700608742159887,-1.2519943768803392,4
LDLR,-0.4597398582006459,-1.576545232787526,0.36175033443912885,-0.5563175158356305,1.5481159663607231,0.682736306023952,0
FGFR3,-0.8931829584309324,0.21909961124475288,0.9116440580187015,1.5921889018837025,-0.6760575616908325,-1.1536920510253916,3
MERTK,-0.3235227058896066,-0.6007242739624674,0.014374046144300347,2.076720322986597,-0.0634606779715837,-1.10338671130724,6
PTGES3,1.3233411236032213,1.4664542003198788,-0.4237643678339923,-0.9726649578723192,-0.7274448808202726,-0.665921117396515,7
SEMA3A,-0.4610574763047444,-0.5178081667983049,-0.18630101476862704,-0.6691046672952519,-0.37797358664525466,2.2122449118121827,2
SIRPB1,1.7953518870785414,0.34651922900851445,0.5007009231433251,-0.9950250716219222,-0.6525218959865368,-0.9950250716219222,1
CD22,-0.9100291940330237,-0.7645601319342662,-0.43742347123743586,0.06196229371283431,2.095250115547713,-0.045199612055820626,0
KLRC1,-0.36702513752282157,-0.638544151552603,-0.04570628112530741,2.1366991869400374,-0.15482701783766897,-0.9305965989016358,6
DSG2,-0.44748182461123176,-0.9556618922782765,-0.47576057571289104,2.143052898529875,-0.2596659758562778,-0.004482630071199353,6
JAML,0.5585976788925943,0.923832457808931,0.5610297284685449,-1.4031688076086664,0.7628777500472625,-1.4031688076086664,4
NTF3,0.63357975712292,0.3710949787795497,0.19894685877635845,-1.3084359187212744,1.4132502427637208,-1.3084359187212744,4
HFE,-0.13422053392306416,-0.4040115229563145,1.0564143662926488,-0.15030726576654002,1.3346950746711213,-1.702570118317852,4
SLC3A2,2.0913126089237535,0.2602038396739283,-0.6361607798719933,-0.8592829454117338,-0.5848922854398817,-0.27118043787407464,1
CD200R1,0.38556905015280324,0.17022427948534444,0.26786084914710634,-1.2341064430823376,1.6445587073794214,-1.2341064430823376,4
TGFBR3,-1.1253567479881832,-1.347710809442401,-0.10242374573148227,0.1924689030266026,1.0683954379291178,1.3146269622063462,0
ADGRE2,-0.5294543072423408,-0.1492008705964378,0.2846891072949986,1.9933347852571903,-0.3730723321950639,-1.226296382518346,6
STRA6,1.9266589558918068,-0.5156502991880187,-0.5448249193978749,-0.866887875441894,-0.6974161615569358,0.6981202996929161,1
ADORA1,-0.44880446067849294,-0.45577472179761114,-0.44044852462981526,2.2357250560821655,-0.41609422126680473,-0.4746031277094417,6
TGFB2,-1.5655855253408082,-0.9855938345028098,-0.16618477838129075,0.9536002665135382,1.08821226541962,0.6755516062917487,0
CCL5,0.23754099835611928,-0.8077081811345647,-0.10492408675268558,1.990184166862072,-0.18078391767453603,-1.134308979656404,6
TNF,1.251836884437628,-0.5595169299949566,0.8249822685011431,-1.17308135981644,0.8288604966890657,-1.17308135981644,4
WNT2,-0.34139883984769603,-0.6511049810834248,-0.32534023980060606,-0.5632224858107531,-0.33759770971563974,2.2186642562581196,2
CXCL12,-0.45550519628129615,-0.4558157666958321,-0.43591559205810326,2.2356323612249613,-0.4121901633369836,-0.4762056428527463,6
SEMA4C,-1.214400428466946,-0.5990851605842472,0.2807523626851319,-0.5770347037148696,0.18053355706221438,1.9292343730187158,2
APLP2,2.0484140300963696,-0.4648849392925171,-0.6787740649991842,-0.6906058340939525,-0.6671109192166393,0.4529617275059243,1
JAM3,-0.10965101771194188,1.4476276321019408,0.9745017510791927,-1.355938998808073,-1.046883296322011,0.0903439296608889,5
LRP6,0.16454257493056787,-0.2393569411699619,-0.023539103066975584,0.9580497425978118,1.0912833099966206,-1.9509795832880639,3
GH2,-0.8562019329632516,-0.6220490607010891,-0.38003974632606263,2.164967681366145,-0.18010199752585174,-0.1265749438498911,6
SORT1,2.058542962639463,-0.33750526052600655,-0.29669524959532234,-0.9777280385643853,0.2790764433252641,-0.7256908572790116,1
TACR3,-1.489205617234761,-0.685670409608134,-0.6938269131938475,1.1790581138473601,0.9257516363350478,0.7638931898543353,0
TNFRSF1B,-0.37445523814062764,-0.45877471474215464,-0.21752411767613375,2.2005486345451213,-0.35290152607983144,-0.7968930379063734,6
CHAT,0.3359094149083611,-0.6599553402557184,0.057911203248927505,-0.8621354936109134,1.9904057093202572,-0.8621354936109134,4
HLA-E,-1.742099992983152,1.1311103166401306,0.42375681548833033,-0.9196417143996056,0.39887228216096665,0.7080022930933288,5
SEMA7A,-0.5646202866738375,-0.31296601207943675,0.18442426657731517,-0.6314503321065822,-0.7994077805296526,2.124020144812193,2
LAIR1,-0.49709653539266657,-0.5637790588291822,-0.4194766651174871,1.7361197974757814,-1.1796125997985267,0.9238450616620809,6
LIFR,-1.1217177101209665,-0.9903451978967416,-0.4227856806806029,1.776927046843861,0.11673398510384661,0.6411875567506038,6
CCR3,-0.44531427917660404,-0.8192818919799412,-0.711847530084859,1.9575486692105775,-0.6196670064292096,0.638562038460036,6
PLXNA4,-0.6220239093555265,-0.48717376645648686,0.07235745875680494,2.0120022799618322,0.1631449771675071,-1.1383070400741304,6
CD46,-0.9429635241794045,-1.3296469247123202,-0.44037124673725375,0.3510526306878088,0.8372061803556606,1.52472288458551,0
RBP4,-0.6983962410643502,1.9885049362448588,0.4127894879150022,-0.22367500727225578,-0.39060260748324166,-1.0886205683400139,5
CD80,0.1384838713532794,-0.10990030750498475,-0.19894831243138794,-0.9364798405762749,2.0433244297356428,-0.9364798405762749,4
BTN3A1,1.3622705096603025,0.7063425804172269,0.4641366834738519,-1.3082187725216317,0.08368777149188317,-1.3082187725216317,7
CD226,-0.3497320770481123,-0.4347273533090715,-0.3176543676512519,2.204176084033824,-0.30391532531363324,-0.7981469607117552,6
WNT7A,0.23284856208823537,1.8928598634318057,0.30571262918212955,-1.004378032409268,-1.0616606695135997,-0.3653823527793043,5
SLIT2,-0.9378336539199894,-1.2628189498798243,-0.2707930257179953,0.12158260535898832,0.5932455880010924,1.7566174361577283,2
UNC5D,-0.8233994507563133,-0.8192283114885083,-0.6337091392369326,1.4069596149317216,-0.5378974078701022,1.4072746944201342,2
NOTCH3,1.801216205473134,-0.5767003494317827,-0.27087164386070073,0.770770691400253,-0.4956187162223539,-1.22879618735855,1
IGSF8,-0.7736310195725451,1.3897630692589247,-0.057416907505337976,1.3108366526803348,-0.9554189200630594,-0.9141328747983153,3
ADORA2B,-0.5865672261890117,-1.0898730490046455,-0.6728032390229706,-0.42121309643083515,1.3726577160480082,1.3977988945994555,2
SORL1,-0.7985893902080261,-1.215176226219122,-0.04681719051512021,1.7968522993672247,-0.4248908865904368,0.6886213941654783,6
LTBR,-0.6986342071201889,-0.8194345995537082,-0.6845337265364803,0.30192886201554875,-0.16196022882046465,2.0626339000152925,2
LEPR,-0.8164564315501541,-1.2188921999444946,-0.3472426835417849,1.7390382656489425,0.8196665054838332,-0.17611345609634235,6
DLL1,1.488515474656603,0.7542216851781963,0.4581046891572314,-0.42945864590435684,-0.7881388221631157,-1.4832443809245588,7
CD74,0.6948695146535334,-1.7248123930635613,0.32940165915540937,-0.04366384062775891,1.410092413497272,-0.6658873536148947,4
NTN1,-0.5696887473117512,-0.2971621710674108,0.7076759979754439,-0.20887022642008782,1.761201807143325,-1.3931566603195196,4
ATP6AP2,-0.08727795695100997,1.05486407595544,-0.2858585803049528,-1.9337758997371353,0.255465526617407,0.9965828344202475,5
PRL,-0.5035925155588753,-0.38863079143013757,1.5380061930863071,-0.9329988193462107,1.2202147525951275,-0.9329988193462107,4
