,VCT_CCC,EVT_1,EVT_2,eEVT,iEVT,GC,Cluster
ACKR2,0.4290366418894952,1.5382196957660574,0.5301626438247403,-1.0366751707147306,-0.013729160130671419,-1.4470146506348902,4
WNT2,-0.34139883984769603,-0.6511049810834248,-0.32534023980060606,-0.5632224858107531,-0.33759770971563974,2.2186642562581196,5
LDLR,-0.4597398582006459,-1.576545232787526,0.36175033443912885,-0.5563175158356305,1.5481159663607231,0.682736306023952,3
HLA-C,-0.8105810850790334,1.880747048389349,0.448765085880067,-1.214340933325073,0.051846156048837654,-0.35643627191414656,4
CCL13,-0.032562749492749725,0.15948063298822066,1.1070099960492181,-1.2519943768803392,1.2700608742159887,-1.2519943768803392,2
EPHB2,-1.1433226751517762,-1.034885496839597,-0.5570969828863106,0.4710404090376471,0.6192280280366684,1.6450367178033691,3
IGF1,-0.7683692999735833,-0.9224999757942479,-0.5068615273792355,0.47721497941750135,-0.27857313775323406,1.9990889614827996,5
NT5E,-1.2072283894919387,-1.191143848078106,-0.5039995905970518,1.1618660769892624,0.9209847475650809,0.8195210036127518,6
ROR1,-0.8676943422134651,-0.7280774182459434,-0.4344433500606195,2.1246663971718154,-0.11651112186584167,0.02205983521405528,1
SIRPG,-0.5488582908689582,-0.5488582908689582,0.0056875256838040695,-0.5488582908689582,2.1897456377920292,-0.5488582908689582,2
FLT4,-0.8689121051990425,-0.331550774009062,-0.010932696806185768,2.1590481591718333,-0.5843583028407553,-0.36329428031678807,1
ROBO1,0.4755120009261951,-0.8083434370381519,-0.7495417347279768,1.081935871792536,-1.3013325569961955,1.3017698560435935,6
HBEGF,1.2687774316521967,0.6420066205714025,0.7501079556890784,-1.3063393231958025,-0.04821336152107207,-1.3063393231958025,4
LILRB5,0.26597796576232996,-0.5505470735625686,-0.45704182770304425,1.0124654421086927,1.3402927499350203,-1.6111472565404303,7
SCARA5,0.18325219776512194,-0.4097186160224539,1.3734898546808323,-1.143209142372283,1.139394848321065,-1.143209142372283,2
CLEC2D,-0.4823693546856293,-0.7464192304231937,-0.5145867329632856,-0.5641279084362094,0.16257736895524846,2.1449258575530683,5
CCR1,-1.6198680682836772,1.4687245747438695,0.63180681567147,0.5433845058504144,-0.5052410542061472,-0.518806773775927,4
TNFRSF21,1.6122981534530703,-0.5792379873492859,-0.46238763575956743,1.1187056984194597,-0.5508576549586456,-1.1385205738050306,7
WNT7A,0.23284856208823537,1.8928598634318057,0.30571262918212955,-1.004378032409268,-1.0616606695135997,-0.3653823527793043,4
CD33,1.4783364345923147,0.015052476699447696,0.541764549887243,-1.2756238925381778,0.5160943238973515,-1.2756238925381778,2
GH2,-0.8562019329632516,-0.6220490607010891,-0.38003974632606263,2.164967681366145,-0.18010199752585174,-0.1265749438498911,1
PROC,-0.5749854794705073,0.13074437572637404,0.11994104030963916,-0.8582379899179723,2.040776043270439,-0.8582379899179723,2
CSF1R,-1.0917763262928057,0.9681958111250603,1.4023478442808763,0.29945744774282074,-0.2557408658672016,-1.3224839109887498,7
TACR3,-1.489205617234761,-0.685670409608134,-0.6938269131938475,1.1790581138473601,0.9257516363350478,0.7638931898543353,6
SEMA4A,1.1650161513441106,-0.20770989477311902,0.3038515851298454,-1.234541455213125,1.2079250687254135,-1.234541455213125,2
ABCA1,-1.074686755084807,-1.3047310320267456,-0.5061265012199002,0.9836481418567659,1.185887570032489,0.7160085764421978,6
LRRC15,-0.4620762168905728,-0.1280086270742513,1.8647613523252424,-0.9651335341946037,0.6555905600287896,-0.9651335341946037,2
NOTCH4,0.18012943285734365,0.44698256687411625,1.2126570031460173,-1.3400039945800277,0.8402389862825786,-1.3400039945800277,2
HSD17B1,1.5513734818571883,-1.1748556857816403,-0.8783320729892016,0.052684627321727774,-0.5933143887521111,1.0424440383440385,5
PIGR,-0.5321770546618454,-0.7812374385303592,0.2494398392670402,1.8960105570682642,0.32669245940385555,-1.1587283625469558,1
LILRB2,-0.4702754093578589,-0.5147124143993451,-0.423905273574278,2.2241152466250633,-0.24142701669759586,-0.5737951325959855,1
