,ME
ZNF823,ME_1_early_inv_column
ZNF827,ME_1_early_inv_column
ZNF83,ME_1_early_inv_column
ZNF84,ME_1_early_inv_column
ZNF85,ME_1_early_inv_column
ZNF90,ME_1_early_inv_column
ZNF93,ME_1_early_inv_column
ZXDC,ME_1_early_inv_column
AHRR,ME_2_inv_front
ARID1B,ME_2_inv_front
ARID3A,ME_2_inv_front
ARID4A,ME_2_inv_front
ARID4B,ME_2_inv_front
ARNT,ME_2_inv_front
ATF1,ME_2_inv_front
ATF2,ME_2_inv_front
ATF3,ME_2_inv_front
BACH1,ME_2_inv_front
BATF3,ME_2_inv_front
CNOT4,ME_2_inv_front
CREB5,ME_2_inv_front
CUX1,ME_2_inv_front
DNAJC1,ME_2_inv_front
ELF4,ME_2_inv_front
ESRRA,ME_2_inv_front
FOSL2,ME_2_inv_front
FOXJ3,ME_2_inv_front
FOXK1,ME_2_inv_front
FOXN2,ME_2_inv_front
FOXN3,ME_2_inv_front
FOXO1,ME_2_inv_front
FOXO3,ME_2_inv_front
FOXP2,ME_2_inv_front
GATAD2A,ME_2_inv_front
GATAD2B,ME_2_inv_front
GLI4,ME_2_inv_front
GLIS3,ME_2_inv_front
GRHL1,ME_2_inv_front
HIF1A,ME_2_inv_front
HIF3A,ME_2_inv_front
HMBOX1,ME_2_inv_front
HMGXB3,ME_2_inv_front
ID1,ME_2_inv_front
IKZF2,ME_2_inv_front
JARID2,ME_2_inv_front
KAT6A,ME_2_inv_front
KDM2A,ME_2_inv_front
KDM5A,ME_2_inv_front
KLF13,ME_2_inv_front
KLF7,ME_2_inv_front
KLF8,ME_2_inv_front
KMT2A,ME_2_inv_front
L3MBTL1,ME_2_inv_front
LRRFIP2,ME_2_inv_front
MAX,ME_2_inv_front
MEIS2,ME_2_inv_front
MNT,ME_2_inv_front
MTA3,ME_2_inv_front
MTF1,ME_2_inv_front
NFKB1,ME_2_inv_front
NFKB2,ME_2_inv_front
NFKBIZ,ME_2_inv_front
NFXL1,ME_2_inv_front
NFYB,ME_2_inv_front
NR3C1,ME_2_inv_front
NR6A1,ME_2_inv_front
OSR2,ME_2_inv_front
POU6F1,ME_2_inv_front
POU6F2,ME_2_inv_front
PPARA,ME_2_inv_front
PPARG,ME_2_inv_front
PPP1R13L,ME_2_inv_front
PRDM10,ME_2_inv_front
PRDM2,ME_2_inv_front
PRDM5,ME_2_inv_front
PSPC1,ME_2_inv_front
RC3H2,ME_2_inv_front
RCOR1,ME_2_inv_front
REL,ME_2_inv_front
RFX1,ME_2_inv_front
RFX2,ME_2_inv_front
RFX3,ME_2_inv_front
RREB1,ME_2_inv_front
RUNX1,ME_2_inv_front
SMAD1,ME_2_inv_front
SMAD2,ME_2_inv_front
SMARCA1,ME_2_inv_front
SMARCA5,ME_2_inv_front
SMARCC1,ME_2_inv_front
SMARCC2,ME_2_inv_front
SP4,ME_2_inv_front
TBX20,ME_2_inv_front
TCF12,ME_2_inv_front
TCF25,ME_2_inv_front
TCF3,ME_2_inv_front
TCF7,ME_2_inv_front
TCF7L2,ME_2_inv_front
TEAD1,ME_2_inv_front
TEAD3,ME_2_inv_front
TFAP2A,ME_2_inv_front
TSC22D1,ME_2_inv_front
TSHZ1,ME_2_inv_front
ZBED4,ME_2_inv_front
ZBTB2,ME_2_inv_front
ZBTB40,ME_2_inv_front
ZBTB43,ME_2_inv_front
ZBTB46,ME_2_inv_front
ZC3H4,ME_2_inv_front
ZFP42,ME_2_inv_front
ZHX2,ME_2_inv_front
ZNF100,ME_2_inv_front
ZNF117,ME_2_inv_front
ZNF124,ME_2_inv_front
ZNF131,ME_2_inv_front
ZNF133,ME_2_inv_front
ZNF148,ME_2_inv_front
ZNF215,ME_2_inv_front
ZNF224,ME_2_inv_front
ZNF235,ME_2_inv_front
ZNF251,ME_2_inv_front
ZNF253,ME_2_inv_front
ZNF254,ME_2_inv_front
ZNF26,ME_2_inv_front
ZNF274,ME_2_inv_front
ZNF280D,ME_2_inv_front
ZNF32,ME_2_inv_front
ZNF33A,ME_2_inv_front
ZNF345,ME_2_inv_front
ZNF431,ME_2_inv_front
ZNF432,ME_2_inv_front
ZNF438,ME_2_inv_front
ZNF439,ME_2_inv_front
ZNF441,ME_2_inv_front
ZNF461,ME_2_inv_front
ZNF462,ME_2_inv_front
ZNF480,ME_2_inv_front
ZNF487,ME_2_inv_front
ZNF512,ME_2_inv_front
