,Empty_droplet_sum,Nuclei_sum,Soup_probability,Selected
AL731533.3,11.0,9.0,0.55,False
AL731537.1,33.0,48.0,0.4074074074074074,False
AL731537.2,1.0,0.0,1.0,False
AL731544.1,2.0,3.0,0.4,False
AL731553.1,1.0,3.0,0.25,True
AL731557.1,12.0,11.0,0.5217391304347826,False
AL731559.1,9.0,5.0,0.6428571428571429,False
AL731563.2,32.0,118.0,0.2133333333333333,True
AL731563.3,313.0,574.0,0.3528748590755355,True
AL731566.1,79.0,199.0,0.2841726618705036,True
AL731566.2,24.0,42.0,0.3636363636363636,False
AL731566.3,1.0,8.0,0.1111111111111111,True
AL731567.1,77.0,191.0,0.2873134328358209,True
AL731568.1,16.0,13.0,0.5517241379310345,False
AL731569.1,333.0,564.0,0.3712374581939799,False
AL731571.1,52.0,123.0,0.2971428571428571,True
AL731574.1,97.0,206.0,0.3201320132013201,True
AL731575.1,1.0,9.0,0.1,True
AL731577.1,513.0,1515.0,0.2529585798816568,True
AL731577.2,2311.0,5037.0,0.3145073489384866,True
AL731661.1,87.0,198.0,0.3052631578947368,True
AL731661.2,58.0,168.0,0.2566371681415929,True
AL731684.1,517.0,1680.0,0.2353208921256258,True
AL731684.2,20.0,74.0,0.2127659574468085,True
AL731702.1,5.0,5.0,0.5,False
AL731769.1,1.0,0.0,1.0,False
AL731769.2,265.0,571.0,0.3169856459330143,True
AL732292.2,92.0,205.0,0.3097643097643097,True
AL732314.4,85.0,233.0,0.2672955974842767,True
AL732314.6,421.0,997.0,0.2968970380818053,True
AL732323.1,20.0,45.0,0.3076923076923077,True
AL732372.1,80.0,155.0,0.3404255319148936,True
AL732437.1,1.0,0.0,1.0,False
AL732437.3,4.0,8.0,0.3333333333333333,True
AL732509.1,875.0,1862.0,0.319693094629156,True
AL772155.1,5.0,6.0,0.4545454545454545,False
AL772202.1,3.0,12.0,0.2,True
AL772284.2,2.0,0.0,1.0,False
AL772337.1,3.0,0.0,1.0,False
AL772337.2,3.0,0.0,1.0,False
AL772363.1,14.0,40.0,0.2592592592592592,True
AL773573.1,10.0,23.0,0.303030303030303,True
AL805961.1,51.0,95.0,0.3493150684931507,True
AL805961.2,13.0,32.0,0.2888888888888888,True
AL807740.1,33.0,140.0,0.1907514450867052,True
AL807742.1,1901.0,3960.0,0.3243473809930046,True
AL807752.2,34.0,76.0,0.3090909090909091,True
AL807752.4,2.0,0.0,1.0,False
AL807752.5,6.0,26.0,0.1875,True
AL807752.6,179.0,250.0,0.4172494172494173,False
AL807752.7,9.0,0.0,1.0,False
AL807757.1,36.0,68.0,0.3461538461538461,True
AL807757.2,16.0,34.0,0.32,True
AL807761.3,15.0,14.0,0.5172413793103449,False
AL807761.4,640.0,1813.0,0.260905014268243,True
AL807776.1,1.0,9.0,0.1,True
AL831784.1,1.0,3.0,0.25,True
AL844175.1,14.0,16.0,0.4666666666666667,False
AL844892.2,9.0,3.0,0.75,False
AL844908.1,13.0,49.0,0.2096774193548387,True
AL844908.2,1.0,4.0,0.2,True
AL845311.1,53.0,134.0,0.2834224598930481,True
AL845331.2,141.0,269.0,0.3439024390243902,True
