,Empty_droplet_sum,Nuclei_sum,Soup_probability
NDST2,501.0,809.0,0.38244274809160306
NDST3,662.0,1668.0,0.28412017167381975
NDST4,266.0,256.0,0.5095785440613027
NDUFA1,14387.0,14120.0,0.5046830603009788
NDUFA10,15944.0,29703.0,0.3492891099086468
NDUFA11,7732.0,9895.0,0.4386452601123277
NDUFA12,8729.0,11206.0,0.43787308753448706
NDUFA13,11466.0,16311.0,0.4127875580516254
NDUFA2,8363.0,7759.0,0.5187321672249101
NDUFA3,6152.0,6574.0,0.4834197705484834
NDUFA4,22439.0,17100.0,0.5675156174915906
NDUFA4L2,430.0,396.0,0.5205811138014528
NDUFA5,11391.0,17020.0,0.400936257083524
NDUFA6,11542.0,13215.0,0.46621157652381146
NDUFA6-DT,258.0,564.0,0.31386861313868614
NDUFA7,1747.0,2045.0,0.4607067510548523
NDUFA8,3962.0,4521.0,0.4670517505599434
NDUFA9,2588.0,4038.0,0.3905825535768186
NDUFAB1,7890.0,9057.0,0.46556912727916444
NDUFAF1,2739.0,4532.0,0.3767019667170953
NDUFAF2,17050.0,31712.0,0.34965752020015584
NDUFAF3,3630.0,3897.0,0.4822638501394978
NDUFAF4,1911.0,2820.0,0.4039315155358275
NDUFAF5,5787.0,12260.0,0.3206627140244916
NDUFAF6,12364.0,25089.0,0.3301204175900462
NDUFAF7,5275.0,9653.0,0.35336280814576637
NDUFAF8,4883.0,6077.0,0.445529197080292
NDUFB1,9965.0,11824.0,0.4573408600670063
NDUFB10,8439.0,8401.0,0.5011282660332541
NDUFB11,11902.0,11728.0,0.5036817604739737
NDUFB2,14262.0,17124.0,0.45440642324603325
NDUFB2-AS1,638.0,1897.0,0.25167652859960554
NDUFB3,7728.0,7019.0,0.5240387875500102
NDUFB4,11075.0,11100.0,0.49943630214205187
NDUFB5,7602.0,8562.0,0.47030438010393466
NDUFB6,6705.0,8239.0,0.4486750535331906
NDUFB7,11561.0,12171.0,0.4871481543906961
NDUFB8,3868.0,5775.0,0.4011199834076532
NDUFB9,10435.0,14960.0,0.41090765898798975
NDUFC1,7100.0,7853.0,0.47482110613254863
NDUFC2,6475.0,8174.0,0.4420096934944365
NDUFC2-KCTD14,210.0,536.0,0.28150134048257375
NDUFS1,18176.0,34521.0,0.3449152703189935
NDUFS2,7986.0,12015.0,0.3992800359982001
NDUFS3,5040.0,7052.0,0.4168044988422097
NDUFS4,23619.0,38341.0,0.38119754680438994
NDUFS5,15753.0,15311.0,0.5071143445789338
NDUFS6,12511.0,17307.0,0.41957877791937753
NDUFS7,5792.0,8268.0,0.4119487908961593
NDUFS8,7349.0,10661.0,0.4080510827318157
NDUFV1,10322.0,19207.0,0.34955467506519017
NDUFV2,17276.0,24476.0,0.4137765855527879
NDUFV2-AS1,1559.0,3309.0,0.32025472473294986
NDUFV3,9959.0,16179.0,0.38101614507613435
NEAT1,1453894.0,3560891.0,0.28992150211823636
NEB,4561.0,11668.0,0.28104011337728757
NEBL,129089.0,293236.0,0.30566270052684547
NEBL-AS1,128.0,265.0,0.3256997455470738
NECAB1,762.0,1569.0,0.3268983268983269
NECAB2,72.0,81.0,0.47058823529411764
NECAB3,3218.0,7126.0,0.3110982211910286
NECAP1,3172.0,4900.0,0.3929633300297324
NECAP2,5180.0,8663.0,0.3741963447229647
NECTIN1,2734.0,6041.0,0.3115669515669516
NECTIN1-AS1,20.0,47.0,0.29850746268656714
NECTIN2,11988.0,18428.0,0.3941346659652814
NECTIN3,154089.0,291051.0,0.3461585119288314
NECTIN3-AS1,11726.0,26791.0,0.3044370018433419
NECTIN4,16293.0,33113.0,0.3297777597862608
NEDD1,6765.0,9556.0,0.41449666074382696
NEDD4,37264.0,81324.0,0.31423078220393297
NEDD4L,30826.0,66755.0,0.31590166118404195
NEDD8,7241.0,9619.0,0.42947805456702254
NEDD8-MDP1,14.0,9.0,0.6086956521739131
NEDD9,25509.0,46842.0,0.3525728739063731
NEFH,136.0,137.0,0.4981684981684982
NEFL,28.0,0.0,1.0
NEFM,30.0,15.0,0.6666666666666666
NEGR1,7086.0,9899.0,0.4171916396820724
NEIL1,1440.0,3138.0,0.3145478374836173
NEIL2,1237.0,1991.0,0.3832094175960347
NEIL3,1861.0,3476.0,0.3486977702829305
NEK1,20564.0,44566.0,0.31573775525871334
NEK10,3585.0,6451.0,0.35721402949382225
NEK11,9977.0,21203.0,0.3199807568954458
NEK2,746.0,839.0,0.47066246056782335
NEK3,5309.0,9917.0,0.34867988966241953
NEK4,6881.0,12803.0,0.34957325746799434
NEK5,1536.0,3543.0,0.3024217365623154
NEK6,5565.0,17817.0,0.23800359250705672
NEK7,112511.0,216367.0,0.3421055832253906
NEK8,1445.0,3900.0,0.27034611786716556
NEK9,13771.0,28307.0,0.3272731593706925
NELFA,7119.0,14993.0,0.3219518813314038
NELFB,4585.0,9021.0,0.3369836836689696
NELFCD,8461.0,20013.0,0.29714827561986373
NELFE,4782.0,6923.0,0.40854335753951304
NELL1,1013.0,1412.0,0.4177319587628866
NELL2,698.0,736.0,0.48675034867503486
NEMF,35307.0,76325.0,0.31628027805647124
NEMP1,10189.0,17048.0,0.37408672027022066
NEMP2,1729.0,2978.0,0.36732526025069046
NENF,6623.0,7851.0,0.45757910736493024
NEO1,3403.0,5900.0,0.3657959797914651
NEPRO,6920.0,12860.0,0.34984833164812945
NES,974.0,1429.0,0.40532667498959635
NET1,23199.0,40457.0,0.3644432575091115
NETO1,158.0,85.0,0.6502057613168725
NETO2,2003.0,2770.0,0.41965221034988476
NEU1,6696.0,8067.0,0.4535663483031904
NEU2,1.0,0.0,1.0
NEU3,3581.0,6125.0,0.3689470430661447
NEU4,34.0,23.0,0.5964912280701754
NEURL1,38573.0,110382.0,0.25895740324259003
NEURL1-AS1,1277.0,4012.0,0.2414445074683305
NEURL1B,1589.0,3380.0,0.31978265244515997
NEURL2,1101.0,2347.0,0.3193155452436195
NEURL3,55.0,74.0,0.4263565891472868
NEURL4,548.0,1356.0,0.28781512605042014
NEUROD1,58.0,23.0,0.7160493827160493
NEUROD2,41.0,49.0,0.45555555555555555
NEUROD4,1.0,0.0,1.0
NEUROD6,1.0,0.0,1.0
NEXMIF,1344.0,2945.0,0.3133597575192352
NEXN,7451.0,16715.0,0.30832574691715636
NEXN-AS1,201.0,581.0,0.2570332480818414
NF1,140556.0,300260.0,0.3188541250771297
NF2,5049.0,9769.0,0.34073424213794035
NFAM1,1016.0,1902.0,0.34818368745716244
NFASC,4459.0,7330.0,0.37823394689965223
NFAT5,126759.0,257421.0,0.32994689989067627
NFATC1,1558.0,3605.0,0.30176254115824136
NFATC2,11554.0,20509.0,0.3603530549231201
NFATC2IP,13465.0,31538.0,0.29920227540386196
NFATC3,29050.0,55701.0,0.34276881688711636
NFATC4,1495.0,2711.0,0.35544460294816926
NFE2,303.0,478.0,0.3879641485275288
NFE2L1,7730.0,11433.0,0.4033815164640192
NFE2L2,42200.0,78400.0,0.34991708126036486
NFE2L3,12696.0,23074.0,0.3549343024881185
NFE4,42.0,57.0,0.42424242424242425
NFIA,41763.0,70641.0,0.37154371730543395
NFIA-AS1,7.0,10.0,0.4117647058823529
NFIA-AS2,186.0,304.0,0.3795918367346939
NFIB,25119.0,41498.0,0.377065914106009
NFIC,7602.0,15338.0,0.331386224934612
NFIL3,8624.0,14119.0,0.3791935980301631
NFIX,1673.0,2895.0,0.3662434325744308
NFKB1,25439.0,43643.0,0.36824353666657017
NFKB2,2609.0,5467.0,0.3230559683011392
NFKBIA,19497.0,25739.0,0.43100627818551596
NFKBIB,2654.0,4668.0,0.362469270691068
NFKBID,2532.0,4018.0,0.38656488549618323
NFKBIE,527.0,683.0,0.43553719008264463
NFKBIL1,1763.0,3040.0,0.3670622527586925
NFKBIZ,19303.0,34034.0,0.36190636893713557
NFRKB,5361.0,12020.0,0.3084402508486278
NFS1,1805.0,3350.0,0.3501454898157129
NFU1,10842.0,22720.0,0.3230439187175973
NFX1,22479.0,51856.0,0.3024012914508643
NFXL1,21330.0,43615.0,0.3284317499422588
NFYA,5913.0,11918.0,0.3316134821378498
NFYB,6921.0,10970.0,0.38684254653177574
NFYC,19619.0,38693.0,0.33644875840307314
NFYC-AS1,241.0,421.0,0.3640483383685801
NGB,71.0,88.0,0.44654088050314467
NGDN,3421.0,6969.0,0.32925890279114534
NGEF,179.0,319.0,0.35943775100401604
NGF,339.0,648.0,0.3434650455927052
NGF-AS1,23.0,23.0,0.5
NGFR,219.0,263.0,0.45435684647302904
NGLY1,21406.0,37988.0,0.3604067750951275
NGRN,1382.0,1921.0,0.41840750832576445
NHEJ1,366.0,738.0,0.33152173913043476
NHLH1,69.0,159.0,0.3026315789473684
NHLH2,5.0,3.0,0.625
NHLRC1,96.0,130.0,0.4247787610619469
NHLRC2,20279.0,34503.0,0.37017633529261434
NHLRC3,16597.0,27068.0,0.38009847704110844
NHLRC4,25.0,21.0,0.5434782608695652
NHP2,5840.0,6688.0,0.4661558109833972
NHS,32652.0,81392.0,0.28631054680649576
NHS-AS1,82.0,351.0,0.18937644341801385
NHSL1,244855.0,542794.0,0.31086816589623045
NHSL2,3153.0,3753.0,0.4565595134665508
NIBAN1,548.0,1603.0,0.2547652254765225
NIBAN2,10022.0,21518.0,0.3177552314521243
NIBAN3,40.0,33.0,0.547945205479452
NICN1,131.0,283.0,0.3164251207729469
NID1,35230.0,55563.0,0.38802550857444956
NID2,6177.0,6463.0,0.4886867088607595
NIF3L1,3529.0,5867.0,0.37558535547041294
NIFK,3899.0,5238.0,0.426726496661924
NIFK-AS1,2099.0,4135.0,0.3367019570099455
NIM1K,4998.0,11938.0,0.29511100614076524
NIN,29554.0,65227.0,0.31181354912904485
NINJ1,5193.0,6320.0,0.4510553287587944
NINJ2,1136.0,2067.0,0.35466749921948176
NINL,5404.0,13155.0,0.2911794816531063
NIP7,1939.0,2443.0,0.4424920127795527
NIPA1,2010.0,3685.0,0.35294117647058826
NIPA2,10996.0,20177.0,0.3527411542039586
NIPAL1,14986.0,30507.0,0.3294133163343811
NIPAL2,3166.0,5155.0,0.38048311501021514
NIPAL3,3372.0,6745.0,0.3333003854897697
NIPAL4,39.0,134.0,0.2254335260115607
NIPBL,97294.0,181174.0,0.3493902351437149
NIPBL-DT,289.0,353.0,0.4501557632398754
NIPSNAP1,1690.0,3461.0,0.32809163269268105
NIPSNAP2,9020.0,15808.0,0.3632995005638795
NIPSNAP3A,5447.0,6706.0,0.44820209001892536
NIPSNAP3B,1983.0,2877.0,0.4080246913580247
NISCH,9171.0,21475.0,0.299256020361548
NIT1,6376.0,13377.0,0.3227864121905533
NIT2,3855.0,6747.0,0.36361063950198075
NKAIN1,674.0,1581.0,0.29889135254988913
NKAIN2,3512.0,6406.0,0.3541036499294212
NKAIN3,4560.0,7732.0,0.3709729905629678
NKAIN3-IT1,4.0,15.0,0.21052631578947367
NKAIN4,504.0,782.0,0.39191290824261277
NKAP,4024.0,7503.0,0.3490934328099245
NKAPD1,2884.0,4634.0,0.38361266294227186
NKAPL,357.0,743.0,0.3245454545454545
NKD1,1599.0,4138.0,0.27871709952937074
NKD2,203.0,348.0,0.3684210526315789
NKG7,10927.0,12340.0,0.46963510551424764
NKILA,32.0,36.0,0.47058823529411764
NKIRAS1,4261.0,9282.0,0.31462748283245956
NKIRAS2,3924.0,6333.0,0.38256800233986543
NKPD1,62.0,146.0,0.2980769230769231
NKRF,4011.0,6781.0,0.3716641957005189
NKTR,55993.0,109218.0,0.3389181107795486
NKX1-2,4.0,0.0,1.0
NKX2-1,2.0,0.0,1.0
NKX2-2,7.0,0.0,1.0
NKX2-3,2.0,0.0,1.0
NKX2-5,38.0,27.0,0.5846153846153846
NKX2-6,4.0,4.0,0.5
NKX2-8,1.0,0.0,1.0
NKX3-1,143.0,199.0,0.41812865497076024
NKX3-2,3.0,0.0,1.0
NKX6-1,10.0,0.0,1.0
NKX6-2,5.0,6.0,0.45454545454545453
NKX6-3,2.0,0.0,1.0
NLE1,802.0,1341.0,0.3742417172188521
NLGN1,21208.0,36590.0,0.36693311187238314
NLGN1-AS1,26.0,67.0,0.27956989247311825
NLGN2,1604.0,3879.0,0.29254057997446653
NLGN3,605.0,1370.0,0.30632911392405066
NLGN4X,12496.0,25358.0,0.33011042426163684
NLGN4Y,528.0,305.0,0.6338535414165666
NLGN4Y-AS1,6.0,0.0,1.0
NLK,41315.0,73227.0,0.36069738611164465
NLN,8147.0,14616.0,0.35790537275403067
NLRC3,1316.0,2003.0,0.39650497137692076
NLRC4,1275.0,2624.0,0.3270069248525263
NLRC5,7980.0,17723.0,0.3104695949889118
NLRP1,5355.0,10239.0,0.3434013081954598
NLRP10,774.0,1813.0,0.29918824893699264
NLRP11,68.0,116.0,0.3695652173913043
NLRP12,346.0,781.0,0.3070097604259095
NLRP13,41.0,62.0,0.39805825242718446
NLRP14,47.0,85.0,0.3560606060606061
NLRP2,19371.0,39805.0,0.3273455454914154
NLRP2B,2.0,3.0,0.4
NLRP3,1168.0,1497.0,0.4382739212007505
NLRP4,62.0,89.0,0.4105960264900662
NLRP5,139.0,338.0,0.2914046121593291
NLRP6,10.0,10.0,0.5
NLRP7,413.0,872.0,0.32140077821011676
NLRP8,110.0,189.0,0.36789297658862874
NLRP9,154.0,292.0,0.3452914798206278
NLRX1,1118.0,2195.0,0.3374584968306671
NMB,455.0,432.0,0.5129650507328072
NMBR,600.0,1111.0,0.3506721215663355
NMBR-AS1,1.0,0.0,1.0
NMD3,18900.0,41359.0,0.3136460943593488
NME1,2294.0,3196.0,0.4178506375227687
NME1-NME2,59.0,122.0,0.3259668508287293
NME2,5725.0,7220.0,0.44225569718037855
NME3,8496.0,14134.0,0.375430844012373
NME4,2427.0,2985.0,0.44844789356984477
NME5,460.0,580.0,0.4423076923076923
NME6,2530.0,4395.0,0.36534296028880864
NME7,7906.0,14119.0,0.35895573212258797
NME8,59.0,96.0,0.38064516129032255
