,VCT,VCT_CCC,EVT_1_like,EVT_early,EVT_mid,iEVT,EVT_late
ZNF773,0.013978626,0.013521549,0.01286953,0.0131889805,0.009501824,0.017770423,0.008285863
IRX4,0.021159528,0.14997822,0.0370423,0.06478634,0.012905082,0.0023032203,0.0019067818
TGIF2,0.0588228,0.13305518,0.048160516,0.06453042,0.0120473625,0.018725393,0.011243777
KAT5,0.14037408,0.11924857,0.14432347,0.11049604,0.09993172,0.07678654,0.06655994
ZNF10,0.038467173,0.022134593,0.01736152,0.021323258,0.013122305,0.026708633,0.009021188
ZNF33B,0.12147415,0.1588077,0.1539862,0.13590199,0.09080946,0.08939681,0.06993763
ZNF2,0.010323143,0.010057863,0.009948944,0.012046493,0.010605777,0.0147940265,0.0145319095
ZNF282,0.07233202,0.08536049,0.056213208,0.072314575,0.045684192,0.079610124,0.029023822
ZNF569,0.01679383,0.014072031,0.016204732,0.010751274,0.018359376,0.032951348,0.023805544
SHOX2,0.0023731443,0.003071015,0.009262416,0.008458789,0.013609657,0.055037547,0.018212153
HAND2,0.0,0.00016819274,0.0,0.0,0.0,0.0,0.0
ZNF784,0.025451465,0.020831762,0.018106168,0.012872045,0.014234358,0.015544638,0.015374089
ZNF43,0.105746195,0.106837675,0.11915444,0.10388785,0.07570198,0.16370687,0.07900359
NRL,0.0054289075,0.0031526496,0.0041956636,0.0032673615,0.0032025801,0.0,0.007880573
ZNF254,0.067304455,0.084382616,0.084450774,0.100457124,0.07938459,0.20046693,0.09113249
DEAF1,0.13056605,0.10517244,0.049834587,0.09478187,0.037957937,0.034318853,0.028707018
ZNF570,0.023634164,0.0250739,0.032273676,0.03249246,0.04526952,0.10728316,0.06986491
KLF9,0.015647337,0.057216402,0.021804012,0.06722071,0.023115957,0.042035677,0.07484839
ZNF507,0.109416395,0.109828435,0.07904995,0.11050012,0.058722407,0.14535546,0.030309206
ZNF350,0.03791001,0.062260386,0.07597029,0.08265377,0.04860673,0.07471223,0.042206306
FOXD1,0.0049019754,0.0017864039,0.0013965773,0.0017417938,0.0011405845,0.0050028358,0.0015110123
FOXJ2,0.11228179,0.13349657,0.040356282,0.1204631,0.038650982,0.049079046,0.020770807
GMEB1,0.12994891,0.1117814,0.12700197,0.08969692,0.08682083,0.07862026,0.07824243
JDP2,0.047147643,0.08809542,0.07428116,0.06269861,0.04843103,0.05201563,0.049722455
ELF1,0.39048395,0.53089803,0.5987462,0.5837802,0.574138,0.8059888,0.4682047
E2F6,0.08549592,0.088206984,0.07284758,0.07581354,0.047399066,0.039763093,0.020902395
NFKBIL1,0.118417375,0.1327344,0.13710636,0.1904267,0.10496903,0.04885735,0.0764779
TP73,0.00071414566,0.0017502478,0.0008516883,0.0013292606,0.00053620606,0.0,0.001742129
ZNF749,0.0072617987,0.0046596113,0.0033886954,0.006853898,0.0052260812,0.0,0.0025590726
ZNF774,0.010488035,0.014217742,0.01063275,0.007703825,0.005832693,0.01060516,0.006122847
KLF12,0.0002583948,0.0003057896,0.0004942009,0.00027208563,0.00062830775,0.0016109896,0.0
ZBTB24,0.093707494,0.095494464,0.11021753,0.08821833,0.0720384,0.10698711,0.06712458
ZNF79,0.011275588,0.010287882,0.0042633596,0.011624127,0.0051382687,0.007611524,0.008368735
ZNF14,0.016233195,0.016487725,0.011861606,0.01563338,0.008780072,0.0022289439,0.010699108
GATAD1,0.34925482,0.33626172,0.28505665,0.31718504,0.18976553,0.20751697,0.12410895
ZNF793,0.044573955,0.039253406,0.04844422,0.032331128,0.04040937,0.09292186,0.04247498
GLI4,0.035426658,0.050705653,0.040068727,0.070347935,0.05395509,0.074745536,0.04818198
ZNF524,0.108689725,0.15662254,0.08066486,0.17426524,0.07740852,0.023163224,0.06874918
POU2F3,0.008758622,0.012690862,0.0023050574,0.009253727,0.001042531,0.0074200956,0.00052324403
FOSL2,0.18969293,0.5063202,0.5639406,0.77867097,0.43295997,0.389966,0.15936013
CEBPD,0.90731096,0.74239236,0.70995325,0.90464425,0.91034436,0.57636034,0.6847394
YBX3,1.0426788,1.3034501,0.9675698,1.0162513,0.85680234,0.6204445,1.0650928
ZNF771,0.020707743,0.009455131,0.012559111,0.007111914,0.012068126,0.016997492,0.029623412
ZFP69B,0.003025632,0.0031665275,0.005198973,0.0035498678,0.0052173478,0.0074270014,0.0076271985
ZFP30,0.027990703,0.029227197,0.041982938,0.024450736,0.026052823,0.05762214,0.022795077
ZNF615,0.018902775,0.02885662,0.02313528,0.031867094,0.01573676,0.0353218,0.010562442
ZNF655,0.2599752,0.2869846,0.2199819,0.23790354,0.23737323,0.5817183,0.32115927
ZNF75D,0.016283918,0.020371096,0.018493442,0.0159079,0.008932354,0.016693307,0.010046869
STAT1,0.4679562,0.370379,0.42032087,0.3549066,0.5555465,1.1248422,0.7453604
PURA,0.4515356,0.40251055,0.4576426,0.4569981,0.44081804,0.68747246,0.32574162
ZNF561,0.053627536,0.05797904,0.057756327,0.055689074,0.066287294,0.13084656,0.14835164
ZNF543,0.01892099,0.021002037,0.01385774,0.023172768,0.013747252,0.03611278,0.005477858
ZNF180,0.02537017,0.021069583,0.021225117,0.016380593,0.013406698,0.039649807,0.0114766285
ZNF219,0.047433764,0.026645944,0.004607343,0.015198975,0.0038320948,0.0,0.0009759325
ZNF629,0.013137535,0.03311998,0.028323067,0.030435797,0.016111784,0.01322336,0.00417848
ZNF672,0.15199666,0.093049236,0.09896476,0.106246695,0.10362153,0.11021406,0.11951321
BATF2,0.011031353,0.0068896525,0.0072711925,0.007579381,0.014172547,0.08849155,0.032812472
NFATC4,0.0009934686,0.003596057,0.00042898316,0.0020229283,0.00074764463,0.0,0.0
ZNF512,0.010145086,0.007272859,0.0073164706,0.007883538,0.0071520233,0.027041052,0.009433273
ZNF384,0.10552154,0.09719307,0.08550353,0.0985316,0.06895097,0.12929167,0.035708293
ZNF600,0.08768083,0.12610161,0.07561753,0.10960611,0.055443004,0.098425426,0.05624021
ZNF280C,0.03256181,0.023246944,0.021060692,0.020468166,0.016471658,0.06485054,0.0116636325
