,pre-GC_vs_iEVT,pre-eEVT_vs_iEVT,iEVT_vs_EVT_early,EVT_early_vs_VCT_CCC,VCT_CCC_vs_VCT,SCT_vs_VCT_fusing,VCT_fusing_vs_VCT
HOXC9,0.11342605203390121,0.2015184760093689,0.21313397586345673,0.041809212416410446,-0.029977086931467056,-0.09470504522323608,-0.1118307113647461
TFAP2A,-0.32846954464912415,-0.6221810579299927,-0.014912627637386322,0.28446871042251587,0.022959964349865913,-0.09456422924995422,0.32025477290153503
ZBTB26,0.11072832345962524,-0.10600496828556061,-0.05474574863910675,0.0035068034194409847,0.03589816391468048,-0.04040024057030678,-0.005573024973273277
MEIS2,0.12030994892120361,0.13220320641994476,0.21087776124477386,0.18032577633857727,-0.06001126766204834,-0.25637444853782654,-0.2901918590068817
ELK4,0.1474006474018097,-0.3004745543003082,-0.1031586304306984,0.08029089123010635,0.11657737195491791,-0.12456484884023666,0.04250972718000412
KAT6B,0.14522887766361237,-0.24450534582138062,-0.02493855357170105,0.21166309714317322,0.07688339799642563,-0.19852769374847412,-0.0393449030816555
RELB,0.0737527385354042,0.027203578501939774,-0.05873303860425949,0.044673673808574677,-0.007218861486762762,0.006025045644491911,-0.004839095752686262
ZFP62,0.021487843245267868,-0.12025560438632965,-0.072006456553936,0.001732195494696498,0.05371206998825073,0.00981725100427866,-0.08157344907522202
RC3H2,0.7578608989715576,-0.18167854845523834,-0.05290977656841278,0.028493719175457954,0.01144275814294815,-0.10536379367113113,0.09538073092699051
ZNF776,0.18991483747959137,-0.1250847429037094,-0.04360463470220566,0.004189170431345701,0.02596239373087883,-0.05555032566189766,0.0425228476524353
ZNF133,0.011537646874785423,-0.11251553893089294,-0.07035089284181595,0.04046894609928131,0.06943736225366592,-0.041380446404218674,-0.11459983140230179
ZNF100,0.2071562111377716,-0.08734984695911407,-0.031459610909223557,0.10968589782714844,0.04074573889374733,-0.1581789255142212,0.009670600295066833
VEZF1,0.1802857369184494,0.006432187277823687,0.005744725000113249,0.09380802512168884,0.03534238040447235,-0.07305416464805603,-0.0725080594420433
ZNF251,0.07651050388813019,-0.03030000440776348,-0.026426080614328384,0.014425159431993961,0.02716921642422676,-0.04124003276228905,-0.014004823751747608
BARX2,-0.3518047332763672,-0.3404785692691803,-0.2379542738199234,0.26586952805519104,0.4481518864631653,-0.31376612186431885,-0.33596718311309814
ZNF717,-0.08076880127191544,-0.08062131702899933,-0.040721237659454346,0.046073175966739655,0.08869056403636932,-0.06403201818466187,-0.10391124337911606
PLAGL1,0.41211825609207153,-0.12190201878547668,0.10210913419723511,0.2233455628156662,0.022951897233724594,-0.20672722160816193,-0.27048832178115845
ZNF841,0.6472610235214233,0.01910381019115448,0.09233002364635468,0.18094441294670105,-0.03405053913593292,0.003714408492669463,-0.07888779044151306
ZNF276,0.15953974425792694,-0.09706920385360718,-0.02975870482623577,-0.006907718721777201,0.03221522644162178,-0.046727392822504044,-0.0657682940363884
TSC22D2,0.42162594199180603,-0.3768100440502167,-0.12082154303789139,0.13707782328128815,0.06774761527776718,-0.060188017785549164,0.3528865873813629
ZNF587,0.44958409667015076,-0.09896388649940491,-0.04343419149518013,0.022603260353207588,0.045672498643398285,-0.0927799791097641,-0.002611763309687376
KLF7,0.08070380985736847,-0.1163584515452385,-0.059255462139844894,0.03079242818057537,0.02067611552774906,-0.018908903002738953,-0.050553467124700546
GLIS2,-0.16474872827529907,-0.210043266415596,-0.18575350940227509,-0.08918104320764542,0.04257174953818321,0.15865810215473175,-0.0339939221739769
ZBTB37,0.3445468246936798,-0.1822352260351181,-0.023570941761136055,0.010381045751273632,0.035538967698812485,-0.07184053212404251,0.021393615752458572
ZNF621,0.3126443326473236,-0.11496701836585999,-0.06070307269692421,0.03830363601446152,0.07005136460065842,-0.10707870125770569,-0.09358479827642441
ZBTB43,0.11460880190134048,-0.14540806412696838,-0.15342770516872406,0.08720309287309647,-0.003194116521626711,0.07517939805984497,0.5821523666381836
ZBTB44,0.25644350051879883,-0.35171523690223694,-0.15844698250293732,0.039656899869441986,0.18860895931720734,-0.24522365629673004,-0.22335292398929596
ATF4,-0.04833442345261574,-0.6659104824066162,-0.17994089424610138,0.21793779730796814,0.00987045094370842,0.009481074288487434,0.10274262726306915
ZNF791,0.21944665908813477,-0.1971363127231598,-0.07153203338384628,0.0864592045545578,0.09210830926895142,-0.18665069341659546,0.29191824793815613
TAF1,0.3167252838611603,-0.16422228515148163,-0.0195635836571455,0.04421926662325859,0.02851833589375019,-0.11638344824314117,-0.0492849163711071
ZNF90,-0.17393290996551514,-0.24427637457847595,-0.14897523820400238,0.05748634412884712,0.13816536962985992,-0.1904933601617813,-0.07812697440385818
ATF2,0.4879738390445709,-0.1483527272939682,0.05017642676830292,0.21811504662036896,0.05217314511537552,-0.27393773198127747,-0.29359251260757446
USF2,-0.059538792818784714,0.14766360819339752,-0.027065295726060867,-0.027453340590000153,0.017821891233325005,0.1012219563126564,-0.17943061888217926
ZNF558,0.34142476320266724,-0.10463175922632217,-0.03457840159535408,0.05855316296219826,0.0732342004776001,-0.09937161952257156,-0.11748028546571732
ZNF333,0.47302183508872986,-0.08082609623670578,-0.016664739698171616,0.014382059685885906,0.05364566296339035,-0.010053819045424461,-0.0881553366780281
ELF2,0.1051095500588417,-0.24337708950042725,0.007868572138249874,0.17213395237922668,0.09651973843574524,-0.2115728259086609,-0.3467526137828827
ZSCAN12,-0.09178709983825684,-0.13188353180885315,-0.07605582475662231,0.006578570697456598,0.07180976122617722,-0.0534127838909626,-0.08624739944934845
ARID4B,0.17843085527420044,0.0012330771423876286,0.0028364078607410192,0.156982421875,0.13033312559127808,-0.31780922412872314,0.31259483098983765
ETS1,0.23186960816383362,0.05647462606430054,0.3249341547489166,-0.04825684800744057,-0.04632585495710373,-0.10560114681720734,-0.07966496795415878
ZNF292,-0.532031774520874,-0.8297445178031921,-0.5411998629570007,0.4357878863811493,0.39213940501213074,-0.032725024968385696,1.2862781286239624
ZNF700,0.16017869114875793,-0.06927699595689774,-0.03652280196547508,0.007404021453112364,0.06393139809370041,-0.06097470596432686,-0.1040245071053505
ZNF708,0.15607786178588867,-0.027110373601317406,-0.0032969005405902863,0.002514118095859885,0.07760999351739883,-0.15929469466209412,-0.02103715017437935
ZNF507,0.19884780049324036,-0.2539013624191284,-0.142085000872612,0.041980303823947906,0.059035904705524445,-0.05588970705866814,-0.050911795347929
ZNF805,0.0366847924888134,-0.056581396609544754,-0.0014131354400888085,0.041352156549692154,0.013187475502490997,-0.03418492525815964,0.07588564604520798
ZNF236,0.1400563269853592,-0.13891226053237915,-0.0384686142206192,-0.02789139747619629,0.0559716671705246,-0.10192278772592545,-0.05198490992188454
PPP1R13L,0.1205134466290474,-0.27175894379615784,-0.14616672694683075,0.09539607912302017,0.03255602717399597,-0.04281831905245781,0.20327045023441315
LHX4,0.05331752821803093,-0.12861883640289307,-0.07954376935958862,0.060914862900972366,0.07385718077421188,-0.0842268243432045,-0.10782494395971298
