,VCT_CCC,EVT_early,EVT,iEVT
TSHZ1,0.042277515,-0.016760433,-0.04351823,-0.10087832
ELF1,0.11047132,0.21713506,0.17692961,0.6414153
ZNF571,-0.0036786534,0.06467641,-0.009512974,0.50968355
ZNF133,0.06943736,0.040468946,-0.0738563,0.011537647
ZNF214,-0.0052475124,-0.018116169,-0.0104416665,-0.043624867
PLAG1,0.108444035,0.08472549,-0.108928055,0.052249655
ZBTB11,-0.023014255,-0.07052035,-0.16628963,0.18460324
ZNF451,-0.03022691,0.052707992,0.01572858,1.1501039
HLF,-0.067187645,-0.067886315,-0.06825653,0.03358562
ZBTB6,0.039231114,0.050179645,-0.014112996,0.20818846
SOX15,0.2910724,0.015351112,-0.23974556,-0.26017544
ARID4A,0.10339312,0.18165232,0.03171613,-0.0507703
GLIS2,0.04257175,-0.08918104,-0.18777286,-0.16474873
IKZF2,0.17345858,0.08773427,-0.24553023,-0.20819889
ZBTB39,0.0031692537,-0.0078487275,-0.058897264,0.10480522
PRDM15,-0.0040765493,-0.028853787,-0.045727454,0.17605941
ZNF736,0.06524456,0.06871168,-0.06291852,0.009969904
ZNF236,0.055971667,-0.027891397,-0.046819102,0.14005633
ZNF500,0.06943872,0.009211991,-0.07132441,0.053238694
KDM5C,0.016284706,0.031505678,-0.112600155,0.4635286
ZNF587,0.0456725,0.02260326,-0.048050713,0.4495841
JDP2,0.17228974,0.052309383,-0.029397115,-0.011644119
DNAJC1,-0.32790762,0.13222447,0.3862501,0.62106633
ZNF182,0.049703084,0.03678535,-0.031821754,0.045156788
CIC,-0.032047406,-0.010150759,-0.056453537,0.27950037
ZNF418,0.010825544,-0.013836848,-0.041450538,0.14377111
ZSCAN12,0.07180976,0.0065785707,-0.08069713,-0.0917871
ZNF789,0.05276154,-0.045514222,-0.027057702,-0.07578222
ZNF93,0.08992434,0.1315437,-0.071904235,-0.16136317
ZNF737,0.021059563,-0.016062077,-0.0032648481,0.15902276
ZNF8,0.017614452,-0.012172204,-0.054209087,0.15216649
ZNF227,0.04000871,0.049638238,-0.040899098,0.0010839263
ZNF142,0.002079806,-0.026179468,-0.04888019,0.20476054
GLIS3,0.2276348,0.23446497,-0.13621485,-0.13420396
GATAD2A,-0.073921524,-0.046084333,0.10042227,0.47875953
ZNF570,-0.027060965,0.02750882,0.13638252,0.5761736
ZNF555,0.0257595,0.05585506,0.026863895,0.0934843
ZNF32,-0.022736289,-0.069606364,0.1055478,0.26377103
PPARG,-0.28310835,0.29690343,0.6954459,0.34891388
CNOT4,0.019155746,0.13443695,-0.07253707,-0.05311495
CSRNP1,-0.12905957,0.053630397,-0.04737571,0.2684543
ZNF678,0.02686859,0.049334045,-0.0044471268,0.19037727
POGZ,0.14994101,0.090205476,-0.070483014,0.25207603
ZBTB21,-0.018428663,0.05563843,-0.06456101,0.51279914
KLF4,0.015734507,0.056136627,-0.46352983,-0.44951737
ZFAT,-0.020781677,-0.29492015,-0.35636535,-0.1989099
GABPA,-0.015445105,0.010450999,-0.104711786,0.2209612
ZNF334,0.056759674,-0.0028312986,-0.013268,0.13043283
ZSCAN26,0.047244,0.06837965,-0.013991999,0.0781858
ZNF646,0.0078302035,0.049304843,-0.018158779,0.18726245
ARID3A,0.031213406,0.39012703,0.46221548,0.7449244
TSC22D2,0.067747615,0.13707782,-0.14210342,0.42162594
ZBTB26,0.035898164,0.0035068034,-0.059007246,0.11072832
