,EVT_late_vs_iEVT,iEVT_vs_EVT_early,EVT_early_vs_VCT_CCC,VCT_CCC_vs_VCT,SCT_vs_VCT_fusing,VCT_fusing_vs_VCT
ZNF585B,-0.10752682387828827,-0.004738146904855967,0.045723579823970795,0.022097516804933548,-0.04928688332438469,-0.03856229782104492
FOXQ1,-0.002642108127474785,-0.020472126081585884,-0.011988828890025616,-0.00868056621402502,-0.018594227731227875,-0.020472124218940735
PBX4,1.0681675672531128,0.05177728086709976,-0.051136258989572525,-0.04983770102262497,-0.054229605942964554,-0.061248816549777985
ZNF510,-0.019413337111473083,-0.006455262191593647,0.02139863558113575,0.03598550707101822,-0.07942060381174088,-0.09733685106039047
RREB1,-0.251891553401947,0.041342560201883316,0.1531917005777359,-0.006967159453779459,-0.18475069105625153,0.47972261905670166
ZNF75D,-0.04549316316843033,-0.05524054169654846,0.008441917598247528,0.05309170484542847,-0.06860841065645218,-0.05449670925736427
ZBTB41,-0.09993837773799896,0.07762361317873001,0.14546117186546326,0.0022066044621169567,-0.09730053693056107,-0.16834059357643127
ZNF600,-0.15016992390155792,-0.14913080632686615,0.03353429585695267,0.11704685539007187,0.014200658537447453,0.0687650665640831
ZC3H6,-0.30747106671333313,-0.11571460962295532,0.19365815818309784,0.1122170090675354,-0.04297570139169693,-0.2744802236557007
ZNF254,0.07010365277528763,0.031247923150658607,0.10023964196443558,0.04008859023451805,-0.15073002874851227,-0.01675884984433651
ZSCAN26,-0.014527964405715466,-0.011653211899101734,0.06837964802980423,0.04724400117993355,-0.08087754994630814,-0.12432395666837692
TEAD1,0.3232668340206146,0.5696821808815002,0.14470097422599792,0.05321094021201134,-0.5091445446014404,-0.45195794105529785
ZNF623,-0.13064293563365936,-0.029245130717754364,0.047252051532268524,0.04605541005730629,-0.09279955923557281,-0.12674200534820557
ZNF320,-0.06294060498476028,-0.02952200546860695,-0.025849992409348488,0.009347910061478615,-0.0012750615132972598,-0.028263885527849197
ZKSCAN1,-0.2581709921360016,-0.16311541199684143,0.06437718868255615,0.11908412724733353,-0.20420481264591217,0.6682490706443787
BARX2,-0.3404785692691803,-0.2407844215631485,0.26586952805519104,0.4481518864631653,-0.31376612186431885,-0.33596718311309814
ZNF467,0.02850443683564663,-0.036824990063905716,-0.01800154708325863,-0.0022785181645303965,0.02782914601266384,-0.04586568474769592
SP100,0.13146120309829712,0.045857202261686325,0.13132058084011078,0.02966579794883728,-0.20305083692073822,-0.14281828701496124
TAF1,-0.16422228515148163,-0.01120398472994566,0.04421926662325859,0.02851833589375019,-0.11638344824314117,-0.0492849163711071
ZNF439,-0.18467402458190918,0.042686134576797485,0.12083040922880173,0.11270744353532791,-0.3463591933250427,-0.246202751994133
ZNF644,-0.2404513657093048,-0.1553400754928589,0.04414359852671623,0.17408308386802673,-0.2182946801185608,-0.2618511915206909
THAP6,-0.109942726790905,-0.0606306716799736,0.062309276312589645,0.04609787464141846,0.04539092257618904,-0.14204058051109314
ZNF615,-0.08976375311613083,-0.04407181963324547,0.0687534511089325,0.053699616342782974,-0.07131920754909515,0.0012107136426493526
ELK4,-0.3004745543003082,-0.0969301164150238,0.08029089123010635,0.11657737195491791,-0.12456484884023666,0.04250972718000412
ZNF266,-0.09568177163600922,-0.03708935156464577,0.0005261491751298308,0.07791506499052048,-0.08522652834653854,-0.042418308556079865
ZNF417,-0.04877830669283867,-0.005523793399333954,-0.00391782633960247,-0.009328518062829971,-0.03358921408653259,0.014193754643201828
SP140L,-0.1350620836019516,-0.07014957815408707,0.018817372620105743,0.012789219617843628,-0.002680966630578041,0.12425286322832108
IRX4,-0.2361862063407898,-0.18594619631767273,0.03743189573287964,0.45623287558555603,-0.21532265841960907,-0.21972641348838806
ZBTB44,-0.35171523690223694,-0.14813347160816193,0.039656899869441986,0.18860895931720734,-0.24522365629673004,-0.22335292398929596
MAX,0.1835014969110489,0.03878751024603844,0.038919273763895035,-0.04153527319431305,-0.11073083430528641,0.0629921406507492
ZFP90,-0.07206525653600693,0.011135309934616089,0.01487212348729372,0.054439887404441833,-0.09458073228597641,-0.15517082810401917
VEZF1,0.006432187277823687,0.010083533823490143,0.09380802512168884,0.03534238040447235,-0.07305416464805603,-0.0725080594420433
TFAP4,-0.2056768238544464,-0.1509913206100464,0.015224510803818703,0.15198025107383728,-0.1232936680316925,-0.17623676359653473
ZBTB47,0.16099779307842255,0.028821464627981186,-0.039817146956920624,-0.020218079909682274,-0.030787033960223198,-0.03367677703499794
LHX4,-0.12861883640289307,-0.07624104619026184,0.060914862900972366,0.07385718077421188,-0.0842268243432045,-0.10782494395971298
ZBTB26,-0.10600496828556061,-0.050632331520318985,0.0035068034194409847,0.03589816391468048,-0.04040024057030678,-0.005573024973273277
ZNF76,-0.06245611235499382,-0.07692563533782959,-0.041702769696712494,0.016756169497966766,0.03868900611996651,-0.07283272594213486
SOX4,0.6482481956481934,0.2278188169002533,0.2370426207780838,0.17003245651721954,-0.5504727959632874,-0.5941564440727234
ZNF33A,-0.13358360528945923,-0.10639780759811401,-0.02999892458319664,0.12405645102262497,-0.16783063113689423,-0.05700830742716789
HOXC9,0.2015184760093689,0.21065540611743927,0.041809212416410446,-0.029977086931467056,-0.09470504522323608,-0.1118307113647461
JDP2,-0.02335193008184433,-0.02949032001197338,0.05230938270688057,0.17228974401950836,-0.18826152384281158,-0.2607036828994751
