,pre-GC_vs_iEVT,pre-eEVT_vs_iEVT,iEVT_vs_EVT_early,EVT_early_vs_VCT_CCC,VCT_CCC_vs_VCT,SCT_vs_VCT_fusing,VCT_fusing_vs_VCT
ZBED4,0.2603699266910553,0.02444135583937168,0.013425487093627453,0.0807475671172142,0.05205041542649269,-0.19804596900939941,-0.034235745668411255
ZNF776,0.18991483747959137,-0.1250847429037094,-0.04360463470220566,0.004189170431345701,0.02596239373087883,-0.05555032566189766,0.0425228476524353
ZNF28,0.4826970100402832,-0.07398103922605515,-0.06695333123207092,0.004034195560961962,0.0032535300124436617,0.09752847999334335,-0.0021732866298407316
ZNF100,0.2071562111377716,-0.08734984695911407,-0.031459610909223557,0.10968589782714844,0.04074573889374733,-0.1581789255142212,0.009670600295066833
ZBED5,0.1497332602739334,-0.19719217717647552,-0.16955702006816864,-0.03883868828415871,0.13116340339183807,-0.08079874515533447,-0.09895322471857071
ZNF500,0.05323869362473488,-0.1331932097673416,-0.06571450084447861,0.009211990982294083,0.06943871825933456,-0.10217761248350143,-0.08856858313083649
SIX4,0.14341120421886444,-0.1548600196838379,-0.12486477196216583,-0.09873189777135849,-0.021581435576081276,-0.07264243066310883,-0.1307794749736786
ID4,0.4854108691215515,0.14434361457824707,0.01567978598177433,-0.1706259548664093,-0.2684725821018219,0.2495843768119812,0.08943894505500793
ZNF461,0.18041212856769562,0.03640829771757126,-0.015145735815167427,0.005158881191164255,-0.01827472634613514,-0.03563973307609558,0.10451405495405197
ZNF75A,0.1951368898153305,-0.09595125913619995,0.004246539901942015,0.03675054386258125,0.034429922699928284,-0.11791127175092697,-0.06360601633787155
PLAGL1,0.41211825609207153,-0.12190201878547668,0.10210913419723511,0.2233455628156662,0.022951897233724594,-0.20672722160816193,-0.27048832178115845
ZNF841,0.6472610235214233,0.01910381019115448,0.09233002364635468,0.18094441294670105,-0.03405053913593292,0.003714408492669463,-0.07888779044151306
ZNF317,0.38760024309158325,-0.12084279209375381,-0.07170248031616211,0.028369517996907234,-0.010426336899399757,-0.0008109263144433498,0.14409425854682922
ZNF761,0.07262314110994339,-0.26860496401786804,-0.17560315132141113,0.0949399471282959,0.06322363018989563,0.07290588319301605,0.3807995021343231
ZBTB6,0.20818845927715302,-0.10310957580804825,-0.00604328652843833,0.05017964541912079,0.03923111408948898,-0.04040059074759483,-0.006458114832639694
ZNF276,0.15953974425792694,-0.09706920385360718,-0.02975870482623577,-0.006907718721777201,0.03221522644162178,-0.046727392822504044,-0.0657682940363884
TSC22D2,0.42162594199180603,-0.3768100440502167,-0.12082154303789139,0.13707782328128815,0.06774761527776718,-0.060188017785549164,0.3528865873813629
ZNF587,0.44958409667015076,-0.09896388649940491,-0.04343419149518013,0.022603260353207588,0.045672498643398285,-0.0927799791097641,-0.002611763309687376
HIVEP1,0.055836424231529236,-0.12297932058572769,-0.11193057894706726,-0.11514844745397568,0.05240027233958244,-0.03175491467118263,0.07833036035299301
ZBTB37,0.3445468246936798,-0.1822352260351181,-0.023570941761136055,0.010381045751273632,0.035538967698812485,-0.07184053212404251,0.021393615752458572
ZNF621,0.3126443326473236,-0.11496701836585999,-0.06070307269692421,0.03830363601446152,0.07005136460065842,-0.10707870125770569,-0.09358479827642441
ZBTB43,0.11460880190134048,-0.14540806412696838,-0.15342770516872406,0.08720309287309647,-0.003194116521626711,0.07517939805984497,0.5821523666381836
ZBTB44,0.25644350051879883,-0.35171523690223694,-0.15844698250293732,0.039656899869441986,0.18860895931720734,-0.24522365629673004,-0.22335292398929596
ZNF451,1.1501039266586304,-0.0785502940416336,0.024277260527014732,0.05270799249410629,-0.03022691048681736,-0.3829047977924347,-0.44933921098709106
